id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,off_camera,dribble,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,counterpress,duel,clearance,out,interception,ball_recovery,miscontrol,foul_committed,foul_won,block,substitution,injury_stoppage,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,carry_end_location_0,carry_end_location_1,related_events_2,related_events,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,related_events_3,goalkeeper_body_part_id,goalkeeper_body_part_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_switch
bbd43d91-3ac4-4806-9584-c5fbf563f00f,325,1,00:06:31.016,6,31,23,Goal Keeper,25,360,Rayo Vallecano,4,From Throw In,222,Villarreal,0.0,,5a278756-ff9f-493a-b0b1-f2fd002d26ce,3379,Alphonse Areola,1,Goalkeeper,3.6,40.4,,,,,,,,45.0,Diving,43.0,Prone,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93ea6094-4433-4e9b-8198-1e4341bbc49f,370,1,00:08:03.556,8,3,30,Pass,27,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.097131,,f13ff153-e94e-4a13-b810-baaece7aad11,26222,José Eduardo Rosa Vale de Castro,3,Right Center Back,23.2,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,f99eeed3-f5ca-40f3-972a-000bfd39c5d1,24138.0,Joaquín José Marín Ruiz,8.792042,0.59115714,2.0,Low Pass,30.5,62.1,37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,
f13ff153-e94e-4a13-b810-baaece7aad11,371,1,00:08:04.653,8,4,42,Ball Receipt*,27,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,93ea6094-4433-4e9b-8198-1e4341bbc49f,24138,Joaquín José Marín Ruiz,2,Right Back,30.5,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9d583a7-77d1-4751-baf9-7e8488ab3b1e,372,1,00:08:04.653,8,4,43,Carry,27,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.633039,,f13ff153-e94e-4a13-b810-baaece7aad11,24138,Joaquín José Marín Ruiz,2,Right Back,30.5,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,faf0a1f3-1922-4c5a-8964-ce073488861c,,,,,,,,,,,,,,34.7,61.0,,,,,,,,,,,,,,,,,,
faf0a1f3-1922-4c5a-8964-ce073488861c,373,1,00:08:05.286,8,5,30,Pass,27,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.841195,,6a91d5ac-3b9e-49b2-af2b-0fdb2f0f1a13,24138,Joaquín José Marín Ruiz,2,Right Back,34.7,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26848.0,Roberto Trashorras Gayoso,6.9720874,-1.4268708,1.0,Ground Pass,35.7,54.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,
3e6fb00d-f4b3-481a-b4d7-75721e3b3d3b,374,1,00:08:06.096,8,6,17,Pressure,27,360,Rayo Vallecano,1,Regular Play,222,Villarreal,0.839745,,470e8c7e-904d-49df-9427-b36c4ca8106d,6357,Jonathan dos Santos Ramírez,11,Left Defensive Midfield,80.9,27.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,5be95e58-5184-4533-be24-4581802e9bf3,,,,,,,,,,,,,,,,6a91d5ac-3b9e-49b2-af2b-0fdb2f0f1a13,,,,,,,,,,,,,,,,,
6a91d5ac-3b9e-49b2-af2b-0fdb2f0f1a13,375,1,00:08:06.128,8,6,42,Ball Receipt*,27,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,3e6fb00d-f4b3-481a-b4d7-75721e3b3d3b,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,35.7,54.1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,faf0a1f3-1922-4c5a-8964-ce073488861c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5be95e58-5184-4533-be24-4581802e9bf3,376,1,00:08:06.128,8,6,43,Carry,27,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.694571,,3e6fb00d-f4b3-481a-b4d7-75721e3b3d3b,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,35.7,54.1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,470e8c7e-904d-49df-9427-b36c4ca8106d,,,,,,,,,,,,,,36.8,53.1,6a91d5ac-3b9e-49b2-af2b-0fdb2f0f1a13,,,,,,,,,,,,,,,,,
470e8c7e-904d-49df-9427-b36c4ca8106d,377,1,00:08:06.822,8,6,30,Pass,27,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.736284,,024d033a-f84c-4e91-82ef-789232f3f4c8,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,36.8,53.1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,3e6fb00d-f4b3-481a-b4d7-75721e3b3d3b,24138.0,Joaquín José Marín Ruiz,11.574109,1.7444675,1.0,Ground Pass,34.8,64.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,
024d033a-f84c-4e91-82ef-789232f3f4c8,378,1,00:08:07.558,8,7,42,Ball Receipt*,27,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,470e8c7e-904d-49df-9427-b36c4ca8106d,24138,Joaquín José Marín Ruiz,2,Right Back,34.8,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
