id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,ball_receipt,under_pressure,duel,out,clearance,carry,dribble,counterpress,foul_won,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,interception,shot,50_50,foul_committed,miscontrol,substitution,ball_recovery,related_events,goalkeeper,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_switch,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location_0,carry_end_location_1,related_events_2,pass_cross,pass_outcome_id,pass_outcome_name,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,related_events_3,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,foul_committed_advantage,foul_won_advantage,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,clearance_aerial_won,clearance_left_foot
d4f4bee1-7251-435e-a378-2007dabe2658,2512,2,00:32:19.403,77,19,23,Goal Keeper,182,360,Rayo Vallecano,1,Regular Play,214,Espanyol,0.0,,d2e9fd1a-568e-4c57-81ec-90bc0369c49a,,6792,Pau López Sabata,1,Goalkeeper,1.2,40.8,,,,,,,,,,,45.0,Diving,44.0,Set,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c05332d-d4b2-4563-b3e9-3119348a5849,2519,2,00:33:17.293,78,17,2,Ball Recovery,184,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,43.7,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9880a150-e1d4-4fce-bc80-fafe28bb2904,2520,2,00:33:18.663,78,18,17,Pressure,184,360,Rayo Vallecano,1,Regular Play,214,Espanyol,0.994077,,5dede5e4-284a-40ca-ba0d-8a45f9de8222,,6624,Jorge Franco Alviz,17,Right Wing,70.3,3.7,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f01067e-3484-479c-acff-57e66fa1173d,2521,2,00:33:19.268,78,19,22,Foul Committed,184,360,Rayo Vallecano,1,Regular Play,214,Espanyol,0.0,,5dede5e4-284a-40ca-ba0d-8a45f9de8222,,6624,Jorge Franco Alviz,17,Right Wing,70.1,4.6,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dede5e4-284a-40ca-ba0d-8a45f9de8222,2522,2,00:33:19.268,78,19,21,Foul Won,184,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,8f01067e-3484-479c-acff-57e66fa1173d,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,50.0,75.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,9880a150-e1d4-4fce-bc80-fafe28bb2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e62fbb1-aff6-4e92-b96e-efe1e9457b5b,2523,2,00:33:30.927,78,30,30,Pass,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,3.160079,,463ae15c-d128-4ab7-876c-8f8234faa069,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,56.3,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10727.0,Răzvan Dincă Raț,68.526344,-1.5430663,3.0,High Pass,58.2,8.4,True,62.0,Free Kick,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463ae15c-d128-4ab7-876c-8f8234faa069,2524,2,00:33:34.088,78,34,42,Ball Receipt*,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,8e62fbb1-aff6-4e92-b96e-efe1e9457b5b,,10727,Răzvan Dincă Raț,6,Left Back,58.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1c9093d-5b5b-4fe3-ace4-cddcb5e3daaf,2525,2,00:33:34.088,78,34,43,Carry,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.782996,,2b76b51d-4898-4619-b18b-2f978e5e6af0,,10727,Răzvan Dincă Raț,6,Left Back,58.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,463ae15c-d128-4ab7-876c-8f8234faa069,,,,,,,,,,,,,,55.8,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b76b51d-4898-4619-b18b-2f978e5e6af0,2526,2,00:33:35.871,78,35,30,Pass,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.663563,,6992de9d-e295-4e70-a9d1-b8272de4dcc4,,10727,Răzvan Dincă Raț,6,Left Back,55.8,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26607.0,José Raúl Baena Urdiales,35.68669,2.252977,1.0,Ground Pass,33.3,40.1,,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6992de9d-e295-4e70-a9d1-b8272de4dcc4,2527,2,00:33:37.534,78,37,42,Ball Receipt*,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,2b76b51d-4898-4619-b18b-2f978e5e6af0,,26607,José Raúl Baena Urdiales,9,Right Defensive Midfield,33.3,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f06b4e6f-2e36-43f7-9ef6-067d5f9317df,2528,2,00:33:37.534,78,37,43,Carry,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.423639,,2e49c9b2-ba5d-41d9-a3f6-3be54f7abcd1,,26607,José Raúl Baena Urdiales,9,Right Defensive Midfield,33.3,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6992de9d-e295-4e70-a9d1-b8272de4dcc4,,,,,,,,,,,,,,27.2,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e49c9b2-ba5d-41d9-a3f6-3be54f7abcd1,2529,2,00:33:38.958,78,38,30,Pass,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.607614,,56b9ba83-a0b2-4485-be6a-47cd98d45c2f,,26607,José Raúl Baena Urdiales,9,Right Defensive Midfield,27.2,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26848.0,Roberto Trashorras Gayoso,24.804031,0.5611634,1.0,Ground Pass,48.2,61.2,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56b9ba83-a0b2-4485-be6a-47cd98d45c2f,2530,2,00:33:40.565,78,40,42,Ball Receipt*,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,2e49c9b2-ba5d-41d9-a3f6-3be54f7abcd1,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,48.2,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e73d6c6e-1b04-4c09-b495-74bb3477d602,2531,2,00:33:40.565,78,40,43,Carry,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,3.69543,,56b9ba83-a0b2-4485-be6a-47cd98d45c2f,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,48.2,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,97e0ebbd-4c35-49c7-8973-e4d121896861,,,,,,,,,,,,,,63.5,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97e0ebbd-4c35-49c7-8973-e4d121896861,2532,2,00:33:44.261,78,44,30,Pass,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,2.50273,,84a4c075-76bb-4b6f-96e3-d7f6350f13bf,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,63.5,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26607.0,José Raúl Baena Urdiales,27.600725,-1.9728338,1.0,Ground Pass,52.7,40.4,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84a4c075-76bb-4b6f-96e3-d7f6350f13bf,2533,2,00:33:46.764,78,46,42,Ball Receipt*,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,97e0ebbd-4c35-49c7-8973-e4d121896861,,26607,José Raúl Baena Urdiales,9,Right Defensive Midfield,52.7,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcddc2a7-4aed-4307-9c02-d29a96dcf78a,2534,2,00:33:46.764,78,46,43,Carry,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.45332,,84a4c075-76bb-4b6f-96e3-d7f6350f13bf,,26607,José Raúl Baena Urdiales,9,Right Defensive Midfield,52.7,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,f135e9fa-f88e-47d1-8de8-7660acefc4ff,,,,,,,,,,,,,,55.0,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f135e9fa-f88e-47d1-8de8-7660acefc4ff,2535,2,00:33:48.217,78,48,30,Pass,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.144749,,17d99548-0ced-4530-8eff-776f0b427c4c,,26607,José Raúl Baena Urdiales,9,Right Defensive Midfield,55.0,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26848.0,Roberto Trashorras Gayoso,15.641611,1.0413413,1.0,Ground Pass,62.9,54.9,,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17d99548-0ced-4530-8eff-776f0b427c4c,2536,2,00:33:49.362,78,49,42,Ball Receipt*,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,f135e9fa-f88e-47d1-8de8-7660acefc4ff,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,62.9,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7035339-a411-4869-a688-aa8df9addd92,2537,2,00:33:49.362,78,49,43,Carry,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.818919,,17d99548-0ced-4530-8eff-776f0b427c4c,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,62.9,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,567f2cbb-c065-4493-a2b6-fcff090f6d61,,,,,,,,,,,,,,65.8,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567f2cbb-c065-4493-a2b6-fcff090f6d61,2538,2,00:33:51.180,78,51,30,Pass,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.922568,,319fe562-ca49-4881-9a7c-cb5916210812,,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,65.8,60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11539.0,Adrián Embarba Blázquez,13.309395,0.037576288,1.0,Ground Pass,79.1,60.8,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8eea34e3-ce7c-4718-b78c-95dd660a21da,2539,2,00:33:52.075,78,52,17,Pressure,185,360,Rayo Vallecano,3,From Free Kick,214,Espanyol,0.875313,,20a0caef-6a78-4913-8b19-f7adbdba870c,,4741,Juan Rafael Fuentes Hernández,6,Left Back,38.6,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,319fe562-ca49-4881-9a7c-cb5916210812,,,,,,,,,,,,,,,,fbbdd9b6-4d23-4cd0-9e65-3f4ef16fa17a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319fe562-ca49-4881-9a7c-cb5916210812,2540,2,00:33:52.103,78,52,42,Ball Receipt*,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,567f2cbb-c065-4493-a2b6-fcff090f6d61,,11539,Adrián Embarba Blázquez,17,Right Wing,79.1,60.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,8eea34e3-ce7c-4718-b78c-95dd660a21da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20a0caef-6a78-4913-8b19-f7adbdba870c,2541,2,00:33:52.103,78,52,43,Carry,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.84208703,,319fe562-ca49-4881-9a7c-cb5916210812,,11539,Adrián Embarba Blázquez,17,Right Wing,79.1,60.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,8eea34e3-ce7c-4718-b78c-95dd660a21da,,,,,,,,,,,,,,74.2,63.8,fbbdd9b6-4d23-4cd0-9e65-3f4ef16fa17a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbbdd9b6-4d23-4cd0-9e65-3f4ef16fa17a,2542,2,00:33:52.945,78,52,30,Pass,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.479883,,8eea34e3-ce7c-4718-b78c-95dd660a21da,,11539,Adrián Embarba Blázquez,17,Right Wing,74.2,63.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,acdb169c-65a5-4f3d-9684-b211fa7d5895,6914.0,Roberto Román Triguero,17.0,2.2142975,1.0,Ground Pass,64.0,77.4,,,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acdb169c-65a5-4f3d-9684-b211fa7d5895,2543,2,00:33:54.425,78,54,42,Ball Receipt*,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,,,fbbdd9b6-4d23-4cd0-9e65-3f4ef16fa17a,,6914,Roberto Román Triguero,2,Right Back,64.0,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bdf9127d-be4c-44cd-8f05-81ae3f0f97ab,2544,2,00:33:54.425,78,54,43,Carry,185,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,0.641008,,acdb169c-65a5-4f3d-9684-b211fa7d5895,,6914,Roberto Román Triguero,2,Right Back,64.0,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,d8fc8c81-ec79-4106-ada3-5854e311b12e,,,,,,,,,,,,,,63.1,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
