id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,duel,clearance,counterpress,out,off_camera,interception,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,shot,dribble,foul_won,foul_committed,ball_recovery,50_50,miscontrol,block,substitution,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,goalkeeper,pass_recipient_id,pass_recipient_name,related_events_1,related_events,carry_end_location_0,carry_end_location_1,pass_cross,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,related_events_2,duel_type_id,duel_type_name,related_events_3,pass_aerial_won,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,ball_recovery_recovery_failure
c68f218c-8d80-4d58-85e5-c7874c1d7f0f,354,1,00:07:50.885,7,50,23,Goal Keeper,21,360,Rayo Vallecano,1,Regular Play,219,RC Deportivo La Coruña,0.0,,c3a56feb-6dd6-4616-8d03-6fd64bbc7e94,27457,Manuel Fernández Muñíz,1,Goalkeeper,1.9,36.6,,,,,,,,,,,46.0,Standing,42.0,Moving,26.0,Goal Conceded,55.0,No Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edbb7aa9-4e11-475c-bdff-ee41d1e92ba1,420,1,00:10:29.411,10,29,30,Pass,27,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.583624,,71357f40-6b1b-4a93-bde6-99a108479f54,6914,Roberto Román Triguero,5,Left Center Back,9.7,25.2,,,,,,,,,True,,,,,,,,,,,,,,,,,,,18.603495,-0.25540853,1.0,Ground Pass,27.7,20.5,40.0,Right Foot,62.0,Free Kick,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afdef08d-1df0-445b-a4e1-b83204d595b8,433,1,00:11:27.389,11,27,30,Pass,30,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,1.336625,,831e2fac-65a2-4e40-b1f5-ec5598f4caf5,24255,Juan Carlos Martín Corral,1,Goalkeeper,6.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.912003,0.28353977,3.0,High Pass,66.4,53.6,40.0,Right Foot,63.0,Goal Kick,,,,26685.0,Nicolás Ladislao Fedor Flores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e7aa82c-dff0-45b8-915d-40257204b280,434,1,00:11:28.537,11,28,17,Pressure,30,360,Rayo Vallecano,7,From Goal Kick,219,RC Deportivo La Coruña,0.217508,,831e2fac-65a2-4e40-b1f5-ec5598f4caf5,6777,Sidnei Rechel da Silva Júnior,5,Left Center Back,49.9,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f13234bd-9c2a-4e5e-8d33-643f1e4239b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831e2fac-65a2-4e40-b1f5-ec5598f4caf5,435,1,00:11:28.725,11,28,42,Ball Receipt*,30,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,,,1e7aa82c-dff0-45b8-915d-40257204b280,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,66.4,53.6,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,afdef08d-1df0-445b-a4e1-b83204d595b8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f13234bd-9c2a-4e5e-8d33-643f1e4239b7,436,1,00:11:28.725,11,28,30,Pass,30,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,0.969002,,1e7aa82c-dff0-45b8-915d-40257204b280,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,67.4,53.4,,,,True,,,,,,,,,,,,,,,,,,,,,,,,11.321661,3.0797248,2.0,Low Pass,56.1,54.1,70.0,Other,,,9.0,Incomplete,,,,790ce486-02a6-4c55-874a-bc8c863684f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790ce486-02a6-4c55-874a-bc8c863684f7,437,1,00:11:29.694,11,29,30,Pass,30,360,Rayo Vallecano,7,From Goal Kick,219,RC Deportivo La Coruña,2.987111,,5e36e922-80fb-4d6b-a191-e9c703918c23,23806,Alejandro Bergantiños García,9,Right Defensive Midfield,64.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.069744,-0.47133976,3.0,High Pass,89.9,12.8,40.0,Right Foot,64.0,Interception,,,,25921.0,Rubén Gracia Calmache,f13234bd-9c2a-4e5e-8d33-643f1e4239b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47142551-afa5-4ffe-86b0-abf6d97bbe27,438,1,00:11:29.749,11,29,17,Pressure,30,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,0.312372,,,6713,Diego Javier Llorente Ríos,11,Left Defensive Midfield,52.3,56.2,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e36e922-80fb-4d6b-a191-e9c703918c23,439,1,00:11:32.681,11,32,42,Ball Receipt*,30,360,Rayo Vallecano,7,From Goal Kick,219,RC Deportivo La Coruña,,,790ce486-02a6-4c55-874a-bc8c863684f7,25921,Rubén Gracia Calmache,21,Left Wing,89.9,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995f5282-b7de-4bb4-8ba2-6f4ab3e00bb3,440,1,00:11:32.681,11,32,43,Carry,30,360,Rayo Vallecano,7,From Goal Kick,219,RC Deportivo La Coruña,3.089503,,44916c60-2f11-42dc-836e-1b3af69663a8,25921,Rubén Gracia Calmache,21,Left Wing,89.9,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e36e922-80fb-4d6b-a191-e9c703918c23,,110.6,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
