index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
2139,2,57,35,30,Rayo Vallecano,Pass,127,Regular Play,6914,Roberto Román Triguero,6,Left Back,52.5,40.2,7900.0,Tiago Manuel Dias Correia,11.923087,1.0,Ground Pass,63.5,35.6,Right Foot,
2142,2,57,38,30,Rayo Vallecano,Pass,127,Regular Play,7900,Tiago Manuel Dias Correia,21,Left Wing,64.3,32.7,26848.0,Roberto Trashorras Gayoso,12.756175,3.0,High Pass,72.7,42.3,Right Foot,
2146,2,57,41,30,Rayo Vallecano,Pass,127,Regular Play,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,68.3,41.3,6914.0,Roberto Román Triguero,22.33786,1.0,Ground Pass,69.6,19.0,Left Foot,
2149,2,57,46,30,Rayo Vallecano,Pass,127,Regular Play,6914,Roberto Román Triguero,6,Left Back,92.0,19.2,26690.0,Alberto Mateus Contreiras Gonçalves,47.8599,3.0,High Pass,119.6,58.3,Left Foot,Out
2178,2,58,28,30,Rayo Vallecano,Pass,129,Regular Play,6743,Manuel Rolando Iturra Urrutia,13,Right Center Midfield,71.4,69.0,18404.0,José Ángel Crespo Rincón,27.320688,1.0,Ground Pass,56.5,46.1,Right Foot,
2181,2,58,30,30,Rayo Vallecano,Pass,129,Regular Play,18404,José Ángel Crespo Rincón,5,Left Center Back,56.3,46.5,26848.0,Roberto Trashorras Gayoso,14.928162,3.0,High Pass,71.0,49.1,Right Foot,
2264,2,60,14,30,Rayo Vallecano,Pass,133,Regular Play,24138,Joaquín José Marín Ruiz,2,Right Back,57.6,70.3,11539.0,Adrián Embarba Blázquez,9.219544,2.0,Low Pass,66.8,69.7,Right Foot,
2270,2,60,23,30,Rayo Vallecano,Pass,134,From Throw In,24138,Joaquín José Marín Ruiz,2,Right Back,83.4,80.0,26848.0,Roberto Trashorras Gayoso,6.61211,2.0,Low Pass,83.0,73.4,,
2274,2,60,24,30,Rayo Vallecano,Pass,134,From Throw In,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,82.4,72.0,11539.0,Adrián Embarba Blázquez,11.543396,2.0,Low Pass,91.8,78.7,Right Foot,
2277,2,60,26,30,Rayo Vallecano,Pass,134,From Throw In,11539,Adrián Embarba Blázquez,17,Right Wing,96.0,78.1,26848.0,Roberto Trashorras Gayoso,14.676852,1.0,Ground Pass,108.9,71.1,Right Foot,
2281,2,60,31,30,Rayo Vallecano,Pass,134,From Throw In,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,104.4,73.2,,,37.8,3.0,High Pass,104.4,35.4,Left Foot,Incomplete
2407,2,63,51,30,Rayo Vallecano,Pass,139,From Goal Kick,24255,Juan Carlos Martín Corral,1,Goalkeeper,7.0,44.1,26690.0,Alberto Mateus Contreiras Gonçalves,75.62275,3.0,High Pass,70.8,3.5,Right Foot,
2410,2,63,54,30,Rayo Vallecano,Pass,139,From Goal Kick,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,71.0,3.5,11539.0,Adrián Embarba Blázquez,22.426992,3.0,High Pass,84.9,21.1,,Incomplete
2417,2,63,58,30,Rayo Vallecano,Pass,139,From Goal Kick,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,71.0,16.1,11539.0,Adrián Embarba Blázquez,10.10198,1.0,Ground Pass,71.2,6.0,Right Foot,
2421,2,63,59,30,Rayo Vallecano,Pass,139,From Goal Kick,11539,Adrián Embarba Blázquez,17,Right Wing,69.3,4.9,26848.0,Roberto Trashorras Gayoso,6.0827627,1.0,Ground Pass,64.9,9.1,Right Foot,
2428,2,64,3,30,Rayo Vallecano,Pass,139,From Goal Kick,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,71.9,2.8,6914.0,Roberto Román Triguero,12.801562,1.0,Ground Pass,71.7,15.6,Right Foot,
2431,2,64,5,30,Rayo Vallecano,Pass,139,From Goal Kick,6914,Roberto Román Triguero,6,Left Back,75.0,26.2,6743.0,Manuel Rolando Iturra Urrutia,32.27956,1.0,Ground Pass,78.4,58.3,Right Foot,
2436,2,64,8,30,Rayo Vallecano,Pass,139,From Goal Kick,6743,Manuel Rolando Iturra Urrutia,13,Right Center Midfield,86.2,52.0,24782.0,Jonhatan Montiel Caballero,11.46342,1.0,Ground Pass,95.2,44.9,Right Foot,
2488,2,68,29,30,Rayo Vallecano,Pass,143,From Free Kick,24255,Juan Carlos Martín Corral,1,Goalkeeper,6.5,34.4,,,32.875828,3.0,High Pass,25.4,7.5,Right Foot,Incomplete
2492,2,69,24,30,Rayo Vallecano,Pass,145,From Free Kick,24255,Juan Carlos Martín Corral,1,Goalkeeper,12.2,51.8,26690.0,Alberto Mateus Contreiras Gonçalves,76.87503,3.0,High Pass,85.1,27.4,Right Foot,
2495,2,69,27,30,Rayo Vallecano,Pass,145,From Free Kick,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,85.1,27.4,11539.0,Adrián Embarba Blázquez,8.213404,3.0,High Pass,91.2,32.9,,Incomplete
2498,2,69,30,30,Rayo Vallecano,Pass,145,From Free Kick,24138,Joaquín José Marín Ruiz,2,Right Back,58.2,42.3,24782.0,Jonhatan Montiel Caballero,12.3,2.0,Low Pass,70.2,39.6,Head,Incomplete
