index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
2775,2,77,47,30,Rayo Vallecano,Pass,159,From Kick Off,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,60.0,40.0,11542.0,Javier Guerra Rodríguez,2.4186773,1.0,Ground Pass,61.2,42.1,Left Foot,
2778,2,77,49,30,Rayo Vallecano,Pass,159,From Kick Off,11542,Javier Guerra Rodríguez,19,Center Attacking Midfield,63.6,43.1,11539.0,Adrián Embarba Blázquez,28.183683,1.0,Ground Pass,70.2,70.5,Right Foot,
2786,2,77,55,30,Rayo Vallecano,Pass,159,From Kick Off,11539,Adrián Embarba Blázquez,17,Right Wing,76.6,67.3,11542.0,Javier Guerra Rodríguez,11.228535,1.0,Ground Pass,87.8,66.5,Right Foot,Incomplete
2789,2,78,5,30,Rayo Vallecano,Pass,160,From Throw In,11539,Adrián Embarba Blázquez,17,Right Wing,95.5,80.0,24138.0,Joaquín José Marín Ruiz,13.787676,2.0,Low Pass,82.4,75.7,,
2791,2,78,9,30,Rayo Vallecano,Pass,160,From Throw In,24138,Joaquín José Marín Ruiz,2,Right Back,63.8,70.9,6713.0,Diego Javier Llorente Ríos,14.92012,1.0,Ground Pass,54.8,59.0,Right Foot,
2794,2,78,10,30,Rayo Vallecano,Pass,160,From Throw In,6713,Diego Javier Llorente Ríos,3,Right Center Back,54.8,58.5,6914.0,Roberto Román Triguero,22.403572,1.0,Ground Pass,54.4,36.1,Right Foot,
2797,2,78,12,30,Rayo Vallecano,Pass,160,From Throw In,6914,Roberto Román Triguero,5,Left Center Back,54.6,35.9,26848.0,Roberto Trashorras Gayoso,6.0876927,1.0,Ground Pass,59.1,31.8,Right Foot,
2800,2,78,15,30,Rayo Vallecano,Pass,160,From Throw In,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,62.7,32.7,7900.0,Tiago Manuel Dias Correia,48.527622,3.0,High Pass,101.0,2.9,Right Foot,
2814,2,79,3,30,Rayo Vallecano,Pass,162,From Throw In,6914,Roberto Román Triguero,5,Left Center Back,51.0,0.1,6713.0,Diego Javier Llorente Ríos,20.063898,2.0,Low Pass,32.6,8.1,,
2817,2,79,7,30,Rayo Vallecano,Pass,162,From Throw In,6713,Diego Javier Llorente Ríos,3,Right Center Back,32.8,10.4,24138.0,Joaquín José Marín Ruiz,29.775494,1.0,Ground Pass,38.1,39.7,Left Foot,
2820,2,79,10,30,Rayo Vallecano,Pass,162,From Throw In,24138,Joaquín José Marín Ruiz,2,Right Back,43.1,56.8,26607.0,José Raúl Baena Urdiales,16.88609,1.0,Ground Pass,45.6,40.1,Right Foot,
2823,2,79,15,30,Rayo Vallecano,Pass,162,From Throw In,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,52.5,36.3,24138.0,Joaquín José Marín Ruiz,20.7,1.0,Ground Pass,52.5,57.0,Right Foot,
2826,2,79,18,30,Rayo Vallecano,Pass,162,From Throw In,24138,Joaquín José Marín Ruiz,2,Right Back,58.2,61.8,11539.0,Adrián Embarba Blázquez,19.343733,1.0,Ground Pass,73.9,73.1,Right Foot,
2830,2,79,22,30,Rayo Vallecano,Pass,162,From Throw In,11539,Adrián Embarba Blázquez,17,Right Wing,75.1,69.9,24138.0,Joaquín José Marín Ruiz,13.453624,1.0,Ground Pass,61.9,67.3,Right Foot,
2833,2,79,24,30,Rayo Vallecano,Pass,162,From Throw In,24138,Joaquín José Marín Ruiz,2,Right Back,62.5,67.3,26607.0,José Raúl Baena Urdiales,15.493224,1.0,Ground Pass,65.5,52.1,Right Foot,
2836,2,79,26,30,Rayo Vallecano,Pass,162,From Throw In,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,65.3,52.1,6914.0,Roberto Román Triguero,36.93887,1.0,Ground Pass,62.1,15.3,Right Foot,
2839,2,79,31,30,Rayo Vallecano,Pass,162,From Throw In,6914,Roberto Román Triguero,5,Left Center Back,74.5,19.6,11542.0,Javier Guerra Rodríguez,45.684353,1.0,Ground Pass,120.0,15.5,Right Foot,Out
2850,2,80,13,30,Rayo Vallecano,Pass,164,Regular Play,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,20.0,25.4,7900.0,Tiago Manuel Dias Correia,25.633766,3.0,High Pass,34.7,4.4,Left Foot,
2852,2,80,16,30,Rayo Vallecano,Pass,164,Regular Play,7900,Tiago Manuel Dias Correia,6,Left Back,35.4,4.6,11542.0,Javier Guerra Rodríguez,11.833005,3.0,High Pass,46.5,8.7,Head,
2859,2,80,48,30,Rayo Vallecano,Pass,165,From Free Kick,6914,Roberto Román Triguero,5,Left Center Back,42.8,5.7,26848.0,Roberto Trashorras Gayoso,7.0035706,1.0,Ground Pass,41.6,12.6,Right Foot,
2862,2,80,50,30,Rayo Vallecano,Pass,165,From Free Kick,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,41.6,12.8,6713.0,Diego Javier Llorente Ríos,30.104153,1.0,Ground Pass,38.1,42.7,Right Foot,
2865,2,80,56,30,Rayo Vallecano,Pass,165,From Free Kick,6713,Diego Javier Llorente Ríos,3,Right Center Back,50.5,49.3,26607.0,José Raúl Baena Urdiales,9.850888,1.0,Ground Pass,49.5,39.5,Right Foot,
2868,2,81,0,30,Rayo Vallecano,Pass,165,From Free Kick,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,67.0,38.2,26848.0,Roberto Trashorras Gayoso,17.238619,1.0,Ground Pass,63.6,21.3,Right Foot,
2871,2,81,3,30,Rayo Vallecano,Pass,165,From Free Kick,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,63.6,20.0,7900.0,Tiago Manuel Dias Correia,19.191925,2.0,Low Pass,76.4,5.7,Right Foot,
2874,2,81,5,30,Rayo Vallecano,Pass,165,From Free Kick,7900,Tiago Manuel Dias Correia,6,Left Back,75.8,6.1,26848.0,Roberto Trashorras Gayoso,16.888458,1.0,Ground Pass,62.9,17.0,Right Foot,
2878,2,81,8,30,Rayo Vallecano,Pass,165,From Free Kick,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,63.2,18.5,6713.0,Diego Javier Llorente Ríos,26.12164,1.0,Ground Pass,56.7,43.8,Right Foot,
2881,2,81,15,30,Rayo Vallecano,Pass,165,From Free Kick,6713,Diego Javier Llorente Ríos,3,Right Center Back,67.2,57.7,11539.0,Adrián Embarba Blázquez,16.686821,1.0,Ground Pass,75.8,72.0,Right Foot,
2884,2,81,17,30,Rayo Vallecano,Pass,165,From Free Kick,11539,Adrián Embarba Blázquez,17,Right Wing,75.8,72.0,6713.0,Diego Javier Llorente Ríos,14.509652,1.0,Ground Pass,65.1,62.2,Right Foot,
2887,2,81,19,30,Rayo Vallecano,Pass,165,From Free Kick,6713,Diego Javier Llorente Ríos,3,Right Center Back,65.1,62.2,26848.0,Roberto Trashorras Gayoso,15.255491,1.0,Ground Pass,61.4,47.4,Right Foot,
2891,2,81,21,30,Rayo Vallecano,Pass,165,From Free Kick,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,64.7,56.0,11539.0,Adrián Embarba Blázquez,19.309324,1.0,Ground Pass,75.8,71.8,Right Foot,
2894,2,81,26,30,Rayo Vallecano,Pass,165,From Free Kick,11539,Adrián Embarba Blázquez,17,Right Wing,81.8,67.7,26607.0,José Raúl Baena Urdiales,15.402922,1.0,Ground Pass,75.6,53.6,Right Foot,
2896,2,81,27,30,Rayo Vallecano,Pass,165,From Free Kick,26607,José Raúl Baena Urdiales,11,Left Defensive Midfield,74.9,55.1,11539.0,Adrián Embarba Blázquez,12.401613,1.0,Ground Pass,74.7,67.5,Left Foot,
