IdFiles,ScoringTeam,Score,NoInformation
100_1,Real Sociedad,0_1,
100_2,,NF,NF
108_1,Valencia,0_1,
108_2,Valencia,0_2,
108_3,Barcelona,1_2,
108_4,,NF,NF
111_1,Barcelona,1_0,
111_2,Barcelona,2_0,
111_3,Barcelona,3_0,
111_4,Barcelona,4_0,
111_5,Barcelona,5_0,
111_6,Barcelona,6_0,
111_7,Barcelona,7_0,
111_8,Barcelona,8_0,
111_9,,NF,NF
114_1,Barcelona,1_0,
114_2,Barcelona,2_0,
114_3,Barcelona,3_0,
114_4,Barcelona,4_0,
114_5,Barcelona,5_0,
114_6,Barcelona,6_0,
114_7,,NF,NF
121_1,Barcelona,1_0,
121_2,Barcelona,2_0,
121_3,,NF,NF
129_1,Barcelona,1_0,
129_2,Barcelona,2_0,
129_3,Barcelona,3_0,
129_4,Barcelona,4_0,
129_5,Barcelona,5_0,
129_6,,NF,NF
135_1,Barcelona,1_0,
135_2,Barcelona,2_0,
135_3,Barcelona,3_0,
135_4,,NF,NF
17_1,Barcelona,1_0,
17_2,Barcelona,2_0,
17_3,Barcelona,3_0,
17_4,Barcelona,4_0,
17_5,Barcelona,5_0,
17_6,Barcelona,6_0,
17_7,,NF,NF
235_1,Barcelona,1_0,
235_2,,NF,NF
23_1,Barcelona,1_0,
23_2,Barcelona,2_0,
23_3,Barcelona,3_0,
23_4,,NF,NF
241_1,Barcelona,1_0,
241_2,,NF,NF
255_1,Atlético Madrid,0_1,
255_2,Barcelona,1_1,
255_3,Barcelona,2_1,
255_4,,NF,NF
263_1,Barcelona,1_0,
263_2,Levante UD,1_1,
263_3,Barcelona,2_1,
263_4,Levante UD,2_2,
263_5,Barcelona,3_2,
263_6,,NF,NF
266_1,Celta Vigo,0_1,
266_2,Celta Vigo,0_2,
266_3,Celta Vigo,0_3,
266_4,Barcelona,1_3,
266_5,Celta Vigo,1_4,
266_6,,NF,NF
269_1,Barcelona,1_0,
269_2,Barcelona,2_0,
269_3,Barcelona,3_0,
269_4,,NF,NF
276_1,Sevilla,0_1,
276_2,Sevilla,0_2,
276_3,Barcelona,1_2,
276_4,,NF,NF
290_1,Rayo Vallecano,0_1,
290_2,Barcelona,1_1,
290_3,Barcelona,2_1,
290_4,Barcelona,3_1,
290_5,Barcelona,4_1,
290_6,Barcelona,5_1,
290_7,Rayo Vallecano,5_2,
290_8,,NF,NF
298_1,Eibar,0_1,
298_2,Barcelona,1_1,
298_3,Barcelona,2_1,
298_4,Barcelona,3_1,
298_5,,NF,NF
2_1,,,NF
304_1,Barcelona,1_0,
304_2,Barcelona,2_0,
304_3,,NF,NF
30_1,Atlético Madrid,0_1,
30_2,Barcelona,1_1,
30_3,Barcelona,2_1,
30_4,,NF,NF
312_1,Barcelona,1_0,
312_2,Barcelona,2_0,
312_3,Barcelona,3_0,
312_4,,NF,NF
325_1,Barcelona,1_0,
325_2,Barcelona,2_0,
325_3,Barcelona,3_0,
325_4,Barcelona,4_0,
325_5,,NF,NF
332_1,Barcelona,1_0,
332_2,Barcelona,2_0,
332_3,Barcelona,3_0,
332_4,Barcelona,4_0,
332_5,,NF,NF
339_1,Barcelona,1_0,
339_2,Valencia,1_1,
339_3,,NF,NF
346_1,Barcelona,1_0,
346_2,Barcelona,2_0,
346_3,RC Deportivo La Coruña,2_1,
346_4,Barcelona,3_1,
346_5,,NF,NF
364_1,Barcelona,1_0,
364_2,Real Betis,1_1,
364_3,Barcelona,2_1,
364_4,Barcelona,3_1,
364_5,,NF,NF
38_1,Barcelona,1_0,
38_2,Levante UD,1_1,
38_3,,NF,NF
45_1,Barcelona,1_0,
45_2,Celta Vigo,1_1,
45_3,Barcelona,2_1,
45_4,Barcelona,3_1,
45_5,Barcelona,4_1,
45_6,Barcelona,5_1,
45_7,Barcelona,6_1,
45_8,,NF,NF
48_1,Barcelona,1_0,
48_2,Sporting Gijón,1_1,
48_3,Barcelona,2_1,
48_4,Barcelona,3_1,
48_5,,NF,NF
51_1,Barcelona,1_0,
51_2,Las Palmas,1_1,
51_3,Barcelona,2_1,
51_4,,NF,NF
59_1,Sevilla,0_1,
59_2,Barcelona,1_1,
59_3,Barcelona,2_1,
59_4,,NF,NF
63_1,Barcelona,1_0,
63_2,Barcelona,2_0,
63_3,Barcelona,3_0,
63_4,Rayo Vallecano,3_1,
63_5,Barcelona,4_1,
63_6,Barcelona,5_1,
63_7,,NF,NF
66_1,Barcelona,1_0,
66_2,Barcelona,2_0,
66_3,Barcelona,3_0,
66_4,Barcelona,4_0,
66_5,,NF,NF
72_1,Barcelona,1_0,
72_2,Barcelona,2_0,
72_3,Barcelona,3_0,
72_4,Barcelona,4_0,
72_5,Barcelona,5_0,
72_6,Barcelona,6_0,
72_7,,NF,NF
80_1,Barcelona,1_0,
80_2,Barcelona,2_0,
80_3,Villarreal,2_1,
80_4,Villarreal,2_2,
80_5,,NF,NF
93_1,Barcelona,1_0,
93_2,Real Madrid,1_1,
93_3,Real Madrid,1_2,
93_4,,NF,NF
9_1,Barcelona,1_0,
9_2,Barcelona,2_0,
9_3,Barcelona,3_0,
9_4,Barcelona,4_0,
9_5,,NF,NF
