id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,under_pressure,duel,carry,ball_receipt,interception,counterpress,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,dribble,clearance,out,miscontrol,foul_committed,foul_won,shot,ball_recovery,block,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,goalkeeper,related_events,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,related_events_1,carry_end_location_0,carry_end_location_1,pass_switch,pass_body_part_id,pass_body_part_name,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name
50b05dbd-81f1-4ee1-95b9-3044331a3bc4,2570,2,00:15:29.679,60,29,23,Goal Keeper,137,217,Barcelona,5,Other,221,Levante UD,0.0,,8aef0d3b-1739-4035-83a1-dfa73570b967,,6730,Rubén Iván Martínez Andrade,1,Goalkeeper,1.0,40.0,,,,,,,,55.0,No Touch,45.0,Diving,43.0,Prone,28.0,Penalty Conceded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29a02eae-144c-46c0-b52e-6c4bdbc1e7f2,2592,2,00:17:22.584,62,22,30,Pass,139,217,Barcelona,4,From Throw In,217,Barcelona,1.70785,,b593cabd-7a97-4027-94ce-debbc843b94d,True,22102,Adriano Correia Claro,6,Left Back,26.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,5506.0,Javier Alejandro Mascherano,15.730543,2.5782764,2.0,Low Pass,13.3,8.5,67.0,Throw-in,,,,,,,,,,,,,,,,,,
b5664c2d-4c9a-4d24-8646-c280d76c0f7e,2593,2,00:17:23.872,62,23,19,Substitution,139,217,Barcelona,4,From Throw In,221,Levante UD,0.0,,,,27250,Nabil Ghilas,22,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,Tactical,23791.0,Víctor Casadesús Castaño,,,,,,,,,,,
b593cabd-7a97-4027-94ce-debbc843b94d,2594,2,00:17:24.292,62,24,42,Ball Receipt*,139,217,Barcelona,4,From Throw In,217,Barcelona,,,29a02eae-144c-46c0-b52e-6c4bdbc1e7f2,,5506,Javier Alejandro Mascherano,5,Left Center Back,13.3,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f96fe444-3513-4442-aa33-1af8fde15a91,2595,2,00:17:24.292,62,24,43,Carry,139,217,Barcelona,4,From Throw In,217,Barcelona,1.089114,,8378c566-498a-44df-ab80-b0c398f9c290,,5506,Javier Alejandro Mascherano,5,Left Center Back,13.3,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b593cabd-7a97-4027-94ce-debbc843b94d,13.5,10.8,,,,,,,,
8378c566-498a-44df-ab80-b0c398f9c290,2596,2,00:17:25.381,62,25,30,Pass,139,217,Barcelona,4,From Throw In,217,Barcelona,2.255889,,44f22d6f-c4fc-4f45-81c4-0f55f8c2572b,,5506,Javier Alejandro Mascherano,5,Left Center Back,13.5,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,5470.0,Ivan Rakitić,43.817005,1.1674029,1.0,Ground Pass,30.7,51.1,,,,,,,,,,,,,True,40.0,Right Foot,,,,,
44f22d6f-c4fc-4f45-81c4-0f55f8c2572b,2597,2,00:17:27.637,62,27,42,Ball Receipt*,139,217,Barcelona,4,From Throw In,217,Barcelona,,,8378c566-498a-44df-ab80-b0c398f9c290,,5470,Ivan Rakitić,9,Right Defensive Midfield,30.7,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c1169d5-4cf5-40cb-81b6-0e30641f560f,2598,2,00:17:27.637,62,27,43,Carry,139,217,Barcelona,4,From Throw In,217,Barcelona,2.443347,,44f22d6f-c4fc-4f45-81c4-0f55f8c2572b,,5470,Ivan Rakitić,9,Right Defensive Midfield,30.7,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7ba9b357-04f8-4417-bae1-b2723146187e,38.4,56.2,,,,,,,,
7ba9b357-04f8-4417-bae1-b2723146187e,2599,2,00:17:30.080,62,30,30,Pass,139,217,Barcelona,4,From Throw In,217,Barcelona,1.772791,,67fa4dd8-91bd-4a67-8338-234ecf73647c,,5470,Ivan Rakitić,9,Right Defensive Midfield,38.4,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,25.60703,0.81301546,1.0,Ground Pass,56.0,74.8,,,,,,,,,,,,,,40.0,Right Foot,,,,,
67fa4dd8-91bd-4a67-8338-234ecf73647c,2600,2,00:17:31.853,62,31,42,Ball Receipt*,139,217,Barcelona,4,From Throw In,217,Barcelona,,,7ba9b357-04f8-4417-bae1-b2723146187e,,4324,Daniel Alves da Silva,2,Right Back,56.0,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6aab4951-bc8c-499d-ad35-6f2a912bf184,2601,2,00:17:31.853,62,31,43,Carry,139,217,Barcelona,4,From Throw In,217,Barcelona,1.031324,,37c03f7e-a3e1-406e-a221-82a1ef0092ed,,4324,Daniel Alves da Silva,2,Right Back,56.0,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67fa4dd8-91bd-4a67-8338-234ecf73647c,56.3,75.7,,,,,,,,
37c03f7e-a3e1-406e-a221-82a1ef0092ed,2602,2,00:17:32.885,62,32,30,Pass,139,217,Barcelona,4,From Throw In,217,Barcelona,1.182709,,abae98a1-71f0-40f1-b89c-2ca1d1a5c148,,4324,Daniel Alves da Silva,2,Right Back,56.3,75.7,,,,,,,,,,,,,,,,,,,,,,,,,,6616.0,Munir El Haddadi Mohamed,14.25798,0.1905181,1.0,Ground Pass,70.3,78.4,,,,,,,,,,,,,,40.0,Right Foot,,,,,
591d0195-9fe7-40d5-90f4-c580a0ccdd9f,2603,2,00:17:33.572,62,33,17,Pressure,139,217,Barcelona,4,From Throw In,221,Levante UD,0.38876,,,,6784,Antonio García Aranda,8,Left Wing Back,43.1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abae98a1-71f0-40f1-b89c-2ca1d1a5c148,2604,2,00:17:34.067,62,34,42,Ball Receipt*,139,217,Barcelona,4,From Throw In,217,Barcelona,,,37c03f7e-a3e1-406e-a221-82a1ef0092ed,,6616,Munir El Haddadi Mohamed,17,Right Wing,70.3,78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5dec50c-ff00-4393-bdf9-ee6e50fd865e,2605,2,00:17:34.067,62,34,43,Carry,139,217,Barcelona,4,From Throw In,217,Barcelona,0.039975002,,abae98a1-71f0-40f1-b89c-2ca1d1a5c148,,6616,Munir El Haddadi Mohamed,17,Right Wing,70.3,78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daf8a315-176e-438f-bccf-f578023fd3de,71.2,77.4,,,,,,,,
daf8a315-176e-438f-bccf-f578023fd3de,2606,2,00:17:34.107,62,34,30,Pass,139,217,Barcelona,4,From Throw In,217,Barcelona,1.298746,,a280623c-5aa9-4c8d-b751-528759c123bf,,6616,Munir El Haddadi Mohamed,17,Right Wing,71.2,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,4324.0,Daniel Alves da Silva,12.801562,-3.125969,1.0,Ground Pass,58.4,77.2,,,,,,,,,,,,,,40.0,Right Foot,,,,,
a280623c-5aa9-4c8d-b751-528759c123bf,2607,2,00:17:35.406,62,35,42,Ball Receipt*,139,217,Barcelona,4,From Throw In,217,Barcelona,,,daf8a315-176e-438f-bccf-f578023fd3de,,4324,Daniel Alves da Silva,2,Right Back,58.4,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff5b8615-e268-4f6b-ad23-cf35807404a8,2608,2,00:17:35.406,62,35,43,Carry,139,217,Barcelona,4,From Throw In,217,Barcelona,1.438855,,204e65fe-9a6a-467d-8abc-ff6eeb932fd0,,4324,Daniel Alves da Silva,2,Right Back,58.4,77.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a280623c-5aa9-4c8d-b751-528759c123bf,58.0,76.7,,,,,,,,
204e65fe-9a6a-467d-8abc-ff6eeb932fd0,2609,2,00:17:36.845,62,36,30,Pass,139,217,Barcelona,4,From Throw In,217,Barcelona,1.869975,,7738bea3-9478-43bc-9119-5e84831b8b7f,,4324,Daniel Alves da Silva,2,Right Back,58.0,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,7068.0,Marc Bartra Aregall,23.847221,-2.394751,1.0,Ground Pass,40.5,60.5,,,,,,,,,,,,,,40.0,Right Foot,,,,,
