id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,ball_receipt,counterpress,ball_recovery,interception,duel,dribble,shot,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,off_camera,out,clearance,foul_committed,foul_won,block,substitution,miscontrol,injury_stoppage,related_events_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_aerial_won,pass_type_id,pass_type_name,goalkeeper,pass_body_part_id,pass_body_part_name,related_events_2,carry_end_location_0,carry_end_location_1,related_events,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_cross,duel_type_id,duel_type_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,block_offensive,duel_outcome_id,duel_outcome_name,pass_through_ball,shot_one_on_one,shot_end_location_2,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_penalty,foul_won_penalty
44d09e81-170a-4ee4-832b-6e6301206da8,947,1,00:21:39.082,21,39,23,Goal Keeper,50,217,Barcelona,5,Other,360,Rayo Vallecano,0.0,,dcec0f46-2b2a-41df-a59e-4972ae39830d,26070,Antonio Rodríguez Martínez,1,Goalkeeper,1.0,40.0,,,,,,,,,,,44.0,Set,28.0,Penalty Conceded,55.0,No Touch,45.0,Diving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb8f5638-7eeb-4e73-b23e-c4e9dc517571,957,1,00:22:19.097,22,19,30,Pass,52,217,Barcelona,1,Regular Play,217,Barcelona,1.280916,,05ed92ca-11bd-4afd-ad7d-dd1b7742eece,4324,Daniel Alves da Silva,2,Right Back,40.9,70.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,ff8a2041-e7da-4f2d-9e36-076012ea5b32,5470.0,Ivan Rakitić,7.324616,-0.082007445,2.0,Low Pass,48.2,69.7,True,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05ed92ca-11bd-4afd-ad7d-dd1b7742eece,958,1,00:22:20.378,22,20,42,Ball Receipt*,52,217,Barcelona,1,Regular Play,217,Barcelona,,,cb8f5638-7eeb-4e73-b23e-c4e9dc517571,5470,Ivan Rakitić,13,Right Center Midfield,48.2,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f8203385-84d3-40bf-b050-b78611aad07a,959,1,00:22:20.454,22,20,30,Pass,52,217,Barcelona,1,Regular Play,217,Barcelona,2.029927,,93e61bc5-f340-49c1-8007-695e45a6640d,5470,Ivan Rakitić,13,Right Center Midfield,48.4,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10609.0,Jérémy Mathieu,25.897104,-2.1191628,2.0,Low Pass,34.9,47.6,,,,,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93019f56-c33e-4d7b-9a12-1ee841054bbb,960,1,00:22:22.423,22,22,17,Pressure,52,217,Barcelona,1,Regular Play,360,Rayo Vallecano,1.253834,,2b2fa037-25e5-40e7-b4c0-7396efdcf1e8,9246,Patrick Ebert,19,Center Attacking Midfield,78.1,25.6,,,,,True,,,,,,,,,,,,,,,,,,,,,,,3f609f0e-14a5-4f2c-9e1c-91aaf411239a,,,,,,,,,,,,,,,93e61bc5-f340-49c1-8007-695e45a6640d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93e61bc5-f340-49c1-8007-695e45a6640d,961,1,00:22:22.483,22,22,42,Ball Receipt*,52,217,Barcelona,1,Regular Play,217,Barcelona,,,93019f56-c33e-4d7b-9a12-1ee841054bbb,10609,Jérémy Mathieu,5,Left Center Back,34.9,47.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,f8203385-84d3-40bf-b050-b78611aad07a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f609f0e-14a5-4f2c-9e1c-91aaf411239a,962,1,00:22:22.483,22,22,43,Carry,52,217,Barcelona,1,Regular Play,217,Barcelona,1.104757,,2b2fa037-25e5-40e7-b4c0-7396efdcf1e8,10609,Jérémy Mathieu,5,Left Center Back,34.9,47.6,,,True,,,,,,,,,,,,,,,,,,,,,,,,,93019f56-c33e-4d7b-9a12-1ee841054bbb,,,,,,,,,,,,,,,93e61bc5-f340-49c1-8007-695e45a6640d,39.6,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b2fa037-25e5-40e7-b4c0-7396efdcf1e8,963,1,00:22:23.588,22,23,30,Pass,52,217,Barcelona,1,Regular Play,217,Barcelona,1.240865,,3f2a1044-5a42-44ec-abd5-8c0e6e37046a,10609,Jérémy Mathieu,5,Left Center Back,39.6,45.3,,,True,,,,,,,,,,,,,,,,,,,,,,,,,93019f56-c33e-4d7b-9a12-1ee841054bbb,6379.0,Sergi Roberto Carnicer,18.51513,-0.7051113,1.0,Ground Pass,53.7,33.3,,,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f2a1044-5a42-44ec-abd5-8c0e6e37046a,964,1,00:22:24.829,22,24,42,Ball Receipt*,52,217,Barcelona,1,Regular Play,217,Barcelona,,,2b2fa037-25e5-40e7-b4c0-7396efdcf1e8,6379,Sergi Roberto Carnicer,15,Left Center Midfield,53.7,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1f6ed73-8401-4de3-861e-a4c10d8702e4,965,1,00:22:24.829,22,24,43,Carry,52,217,Barcelona,1,Regular Play,217,Barcelona,1.230783,,3f2a1044-5a42-44ec-abd5-8c0e6e37046a,6379,Sergi Roberto Carnicer,15,Left Center Midfield,53.7,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ebb2931f-83f2-470e-95b8-13603ad0fdd8,,,,,,,,,,,,,,,,52.3,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
