id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,ball_receipt,under_pressure,counterpress,duel,foul_won,interception,clearance,dribble,foul_committed,shot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,out,miscontrol,ball_recovery,block,bad_behaviour,injury_stoppage,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,goalkeeper,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,related_events,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,pass_assisted_shot_id,pass_shot_assist,pass_no_touch,shot_one_on_one,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,related_events_3,foul_committed_advantage,foul_won_advantage,related_events_4,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty
cd6c36a1-3662-4679-aa87-0f68ff7ec6f0,2346,2,00:14:33.341,59,33,23,Goal Keeper,132,217,Barcelona,1,Regular Play,222,Villarreal,0.0,,36b9c4d4-a1d4-4421-8a21-9d89e2264d2a,,3379,Alphonse Areola,1,Goalkeeper,5.6,44.1,,,,,,,,,,,,,55.0,No Touch,26.0,Goal Conceded,44.0,Set,46.0,Standing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d087acf5-191b-4503-b7d1-4665332bfa7e,2353,2,00:15:55.450,60,55,30,Pass,134,217,Barcelona,3,From Free Kick,217,Barcelona,1.265543,,a9ff30eb-6855-4b2f-a538-1eb2897bcb92,,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,54.2,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,13.736448,-1.4979328,1.0,Ground Pass,55.2,36.1,40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9ff30eb-6855-4b2f-a538-1eb2897bcb92,2354,2,00:15:56.715,60,56,42,Ball Receipt*,134,217,Barcelona,3,From Free Kick,217,Barcelona,,,d087acf5-191b-4503-b7d1-4665332bfa7e,,5216,Andrés Iniesta Luján,15,Left Center Midfield,55.2,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6a8e829-27d8-411e-9aa6-a499c99d88f8,2355,2,00:15:56.715,60,56,43,Carry,134,217,Barcelona,3,From Free Kick,217,Barcelona,1.050019,,446050f3-971d-400b-ad3e-07e29dad48bf,,5216,Andrés Iniesta Luján,15,Left Center Midfield,55.2,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a9ff30eb-6855-4b2f-a538-1eb2897bcb92,55.2,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446050f3-971d-400b-ad3e-07e29dad48bf,2356,2,00:15:57.765,60,57,30,Pass,134,217,Barcelona,3,From Free Kick,217,Barcelona,1.282547,,6efc7de6-f4df-4bfa-b76d-5e43fdf40226,,5216,Andrés Iniesta Luján,15,Left Center Midfield,55.2,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.0,Jordi Alba Ramos,23.66601,-1.2169712,1.0,Ground Pass,63.4,13.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6efc7de6-f4df-4bfa-b76d-5e43fdf40226,2357,2,00:15:59.048,60,59,42,Ball Receipt*,134,217,Barcelona,3,From Free Kick,217,Barcelona,,,446050f3-971d-400b-ad3e-07e29dad48bf,,5211,Jordi Alba Ramos,6,Left Back,63.4,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745f1575-3b06-45c9-8a7e-29e6733e0252,2358,2,00:15:59.048,60,59,43,Carry,134,217,Barcelona,3,From Free Kick,217,Barcelona,0.695495,,6efc7de6-f4df-4bfa-b76d-5e43fdf40226,,5211,Jordi Alba Ramos,6,Left Back,63.4,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c17991f8-7827-4076-87f7-b4fc7b63339b,63.4,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c17991f8-7827-4076-87f7-b4fc7b63339b,2359,2,00:15:59.743,60,59,30,Pass,134,217,Barcelona,3,From Free Kick,217,Barcelona,0.997286,,f589abb9-db4e-4b74-8a45-23b3985a32cb,,5211,Jordi Alba Ramos,6,Left Back,63.4,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.0,Andrés Iniesta Luján,12.076838,2.0529604,1.0,Ground Pass,57.8,24.6,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f589abb9-db4e-4b74-8a45-23b3985a32cb,2360,2,00:16:00.741,61,0,42,Ball Receipt*,134,217,Barcelona,3,From Free Kick,217,Barcelona,,,c17991f8-7827-4076-87f7-b4fc7b63339b,,5216,Andrés Iniesta Luján,15,Left Center Midfield,57.8,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164ab8f9-b4fe-4cf6-b40e-53e8d1ee5bc7,2361,2,00:16:00.741,61,0,43,Carry,134,217,Barcelona,3,From Free Kick,217,Barcelona,1.445626,,b7285294-f8b9-47f3-a464-b3ef3f5983be,,5216,Andrés Iniesta Luján,15,Left Center Midfield,57.8,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f589abb9-db4e-4b74-8a45-23b3985a32cb,56.1,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
