id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass,carry,under_pressure,out,ball_receipt,off_camera,duel,clearance,counterpress,dribble,foul_committed,foul_won,interception,shot,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,block,ball_recovery,substitution,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,goalkeeper,related_events_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_type_id,pass_type_name,carry_end_location_0,carry_end_location_1,pass_no_touch,dribble_outcome_id,dribble_outcome_name,related_events_2,related_events_3,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,related_events,clearance_head,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,player,position,location
9d30428e-485a-4341-8ee2-d585580618e7,3071,2,00:40:16.463,85,16,23,Goal Keeper,172,217,Barcelona,4,From Throw In,360,Rayo Vallecano,0.0,,e9cffa15-0a6e-411a-9707-40b59ef512cf,24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,2.0,41.0,,,,,,,,,,,,,,,45.0,Diving,42.0,Moving,35.0,Both Hands,26.0,Goal Conceded,58.0,Touched In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb172185-2e48-4f2a-a98b-46e01d1a350f,3097,2,00:42:18.837,87,18,30,Pass,175,217,Barcelona,8,From Keeper,217,Barcelona,2.737,,a0f9dae7-5fd8-486a-ac3e-0f8b9a9859d6,4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,5.8,36.3,,,,,,True,,,,,,,,,,,,,,,,,,,,,,10609.0,Jérémy Mathieu,50.491684,-0.4707334,1.0,Ground Pass,50.8,13.4,69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,
a0f9dae7-5fd8-486a-ac3e-0f8b9a9859d6,3098,2,00:42:21.574,87,21,42,Ball Receipt*,175,217,Barcelona,8,From Keeper,217,Barcelona,,,bb172185-2e48-4f2a-a98b-46e01d1a350f,10609.0,Jérémy Mathieu,6.0,Left Back,50.8,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780c3d46-c718-4038-b0f7-ee040b30d5b6,3099,2,00:42:29.059,87,29,30,Pass,175,217,Barcelona,8,From Keeper,217,Barcelona,0.8707,,26fed834-37f2-47cb-b7f4-e9a483c2c66e,10609.0,Jérémy Mathieu,6.0,Left Back,68.6,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.0,Neymar da Silva Santos Junior,7.889233,-1.0390723,1.0,Ground Pass,72.6,6.0,40.0,Right Foot,,e2ff105a-b6a1-4466-99ef-499e5964cc50,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,
e2ff105a-b6a1-4466-99ef-499e5964cc50,3100,2,00:42:29.930,87,29,42,Ball Receipt*,175,217,Barcelona,8,From Keeper,217,Barcelona,,,780c3d46-c718-4038-b0f7-ee040b30d5b6,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,75.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,
29b7e6ba-0bfd-4cac-89f0-3cacc52aa11f,3125,2,00:43:13.224,88,13,30,Pass,179,217,Barcelona,4,From Throw In,217,Barcelona,1.344377,,603a152e-e89a-4406-ba9c-b1fe8649728e,10609.0,Jérémy Mathieu,6.0,Left Back,15.2,0.1,,,,,,True,,,,,,,,,,,,,,,,,,,,,,11094.0,Arda Turan,27.55068,0.45066133,3.0,High Pass,40.0,12.1,,,,,,,,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,
603a152e-e89a-4406-ba9c-b1fe8649728e,3126,2,00:43:14.569,88,14,42,Ball Receipt*,179,217,Barcelona,4,From Throw In,217,Barcelona,,,29b7e6ba-0bfd-4cac-89f0-3cacc52aa11f,11094.0,Arda Turan,15.0,Left Center Midfield,40.0,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44ddccd8-137b-4632-9bbb-f154e60b6984,3127,2,00:43:17.867,88,17,30,Pass,179,217,Barcelona,4,From Throw In,217,Barcelona,2.0279,,984a0f2f-956c-48fc-8162-6a594168ed54,11094.0,Arda Turan,15.0,Left Center Midfield,48.9,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400.0,Aleix Vidal Parreu,31.31549,1.3420827,1.0,Ground Pass,56.0,55.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,
984a0f2f-956c-48fc-8162-6a594168ed54,3128,2,00:43:19.895,88,19,42,Ball Receipt*,179,217,Barcelona,4,From Throw In,217,Barcelona,,,44ddccd8-137b-4632-9bbb-f154e60b6984,6400.0,Aleix Vidal Parreu,2.0,Right Back,56.0,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6f6af397-fec7-4043-a82e-7a61a5413d63,3129,2,00:43:19.895,88,19,43,Carry,179,217,Barcelona,4,From Throw In,217,Barcelona,1.72,,4358ff1e-afea-4865-9882-eb314c152d7c,6400.0,Aleix Vidal Parreu,2.0,Right Back,56.0,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984a0f2f-956c-48fc-8162-6a594168ed54,,,,,,,67.1,62.8,,,,,,,,,,,,,,,,,
