id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,ball_receipt,under_pressure,dribble,duel,shot,goalkeeper,off_camera,clearance,foul_committed,counterpress,ball_recovery,interception,foul_won,out,bad_behaviour,block,substitution,miscontrol,pass,related_events,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_through_ball,pass_technique_id,pass_technique_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_3,pass_switch,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,dribble_outcome_id,dribble_outcome_name,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate,shot_freeze_frame_16_location_0,shot_freeze_frame_16_location_1,shot_freeze_frame_16_player_id,shot_freeze_frame_16_player_name,shot_freeze_frame_16_position_id,shot_freeze_frame_16_position_name,shot_freeze_frame_16_teammate,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_outswinging,clearance_head,clearance_left_foot,foul_committed_advantage,foul_won_advantage,related_events_4,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,shot_first_time,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,foul_committed_type_id,foul_committed_type_name,clearance_aerial_won,pass_no_touch,clearance_other,shot_aerial_won
0b6d120e-c215-486f-a9d0-7b8a80005dc2,2609,2,00:17:54.475,62,54,30,Pass,113,217,Barcelona,9,From Kick Off,217,Barcelona,0.259653,,1b37406b-f1b6-488b-9d9b-e0649eddbfb6,4320,Neymar da Silva Santos Junior,21,Left Wing,60.0,40.0,5246.0,Luis Alberto Suárez Díaz,0.86023253,-2.5213432,1.0,Ground Pass,59.3,39.5,38.0,Left Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b37406b-f1b6-488b-9d9b-e0649eddbfb6,2610,2,00:17:54.734,62,54,42,Ball Receipt*,113,217,Barcelona,9,From Kick Off,217,Barcelona,,,0b6d120e-c215-486f-a9d0-7b8a80005dc2,5246,Luis Alberto Suárez Díaz,23,Center Forward,59.3,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9978f35a-1ec6-4ae5-87c7-0561fc8e5386,2611,2,00:17:54.774,62,54,30,Pass,113,217,Barcelona,9,From Kick Off,217,Barcelona,1.372537,,685feb19-eb64-4354-834a-4431eb08bfa1,5246,Luis Alberto Suárez Díaz,23,Center Forward,58.7,41.3,5203.0,Sergio Busquets i Burgos,14.420125,2.824228,1.0,Ground Pass,45.0,45.8,40.0,Right Foot,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685feb19-eb64-4354-834a-4431eb08bfa1,2612,2,00:17:56.147,62,56,42,Ball Receipt*,113,217,Barcelona,9,From Kick Off,217,Barcelona,,,9978f35a-1ec6-4ae5-87c7-0561fc8e5386,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,45.0,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6575c77f-1a2f-4112-9258-5c5b69f60e7d,2613,2,00:17:57.151,62,57,30,Pass,113,217,Barcelona,9,From Kick Off,217,Barcelona,1.599531,,80e51da9-3158-40e5-9db4-207c09ad7139,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,45.0,45.8,4324.0,Daniel Alves da Silva,24.5204,1.8137968,1.0,Ground Pass,39.1,69.6,40.0,Right Foot,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80e51da9-3158-40e5-9db4-207c09ad7139,2614,2,00:17:58.751,62,58,42,Ball Receipt*,113,217,Barcelona,9,From Kick Off,217,Barcelona,,,6575c77f-1a2f-4112-9258-5c5b69f60e7d,4324,Daniel Alves da Silva,2,Right Back,39.1,69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a12b2ea6-262a-4e5e-a802-7dcf1234ed50,2615,2,00:17:58.871,62,58,17,Pressure,113,217,Barcelona,9,From Kick Off,222,Villarreal,1.131941,,,6829,Samuel Castillejo Azuaga,16,Left Midfield,78.9,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670ed54e-d351-48e0-93c5-b9f28568f980,2616,2,00:18:00.087,63,0,30,Pass,113,217,Barcelona,9,From Kick Off,217,Barcelona,1.505031,,83a525a0-bd87-4445-8b11-53dc3fb9a10f,4324,Daniel Alves da Silva,2,Right Back,38.7,69.1,5506.0,Javier Alejandro Mascherano,20.47071,-2.143895,1.0,Ground Pass,27.6,51.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83a525a0-bd87-4445-8b11-53dc3fb9a10f,2617,2,00:18:01.592,63,1,42,Ball Receipt*,113,217,Barcelona,9,From Kick Off,217,Barcelona,,,670ed54e-d351-48e0-93c5-b9f28568f980,5506,Javier Alejandro Mascherano,3,Right Center Back,27.6,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f4e9ac49-67b2-47d6-a4c4-8362486dbb69,2618,2,00:18:01.592,63,1,43,Carry,113,217,Barcelona,9,From Kick Off,217,Barcelona,0.765486,,0bf50bcd-db8f-41f9-bc52-039e02315386,5506,Javier Alejandro Mascherano,3,Right Center Back,27.6,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83a525a0-bd87-4445-8b11-53dc3fb9a10f,27.3,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
