index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
2578,2,74,18,30,Barcelona,Pass,158,From Free Kick,4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,9.2,8.4,,,72.40062,3.0,High Pass,56.4,63.3,Right Foot,Incomplete
2581,2,74,22,30,Barcelona,Pass,158,From Free Kick,6379.0,Sergi Roberto Carnicer,2.0,Right Back,45.8,64.5,5503.0,Lionel Andrés Messi Cuccittini,15.979049,2.0,Low Pass,56.0,76.8,,
2585,2,74,26,30,Barcelona,Pass,158,From Free Kick,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,55.8,77.4,6998.0,Rafael Alcântara do Nascimento,11.132385,1.0,Ground Pass,53.1,66.6,Left Foot,
2588,2,74,27,30,Barcelona,Pass,158,From Free Kick,6998.0,Rafael Alcântara do Nascimento,13.0,Right Center Midfield,51.1,65.4,5506.0,Javier Alejandro Mascherano,14.168275,1.0,Ground Pass,37.6,61.1,Left Foot,
2591,2,74,30,30,Barcelona,Pass,158,From Free Kick,5506.0,Javier Alejandro Mascherano,3.0,Right Center Back,37.0,62.5,5203.0,Sergio Busquets i Burgos,15.370751,1.0,Ground Pass,42.1,48.0,Left Foot,
2594,2,74,33,30,Barcelona,Pass,158,From Free Kick,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,43.5,43.7,5216.0,Andrés Iniesta Luján,13.393282,1.0,Ground Pass,55.8,38.4,Right Foot,
2597,2,74,36,30,Barcelona,Pass,158,From Free Kick,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,55.8,38.4,6332.0,Thomas Vermaelen,23.083544,1.0,Ground Pass,60.5,15.8,Right Foot,
2600,2,74,39,30,Barcelona,Pass,158,From Free Kick,6332.0,Thomas Vermaelen,5.0,Left Center Back,65.6,14.7,4320.0,Neymar da Silva Santos Junior,13.748091,1.0,Ground Pass,78.2,9.2,Left Foot,
2608,2,74,47,30,Barcelona,Pass,158,From Free Kick,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,66.8,40.0,5503.0,Lionel Andrés Messi Cuccittini,31.7309,3.0,High Pass,84.1,66.6,Right Foot,Incomplete
2611,2,74,51,30,Barcelona,Pass,159,From Throw In,6379.0,Sergi Roberto Carnicer,2.0,Right Back,91.3,80.0,5503.0,Lionel Andrés Messi Cuccittini,9.752948,3.0,High Pass,99.9,75.4,,Incomplete
2615,2,74,54,30,Barcelona,Pass,159,From Throw In,6379.0,Sergi Roberto Carnicer,2.0,Right Back,99.7,70.3,5503.0,Lionel Andrés Messi Cuccittini,4.7169905,1.0,Ground Pass,103.7,67.8,Right Foot,Incomplete
2618,2,74,56,30,Barcelona,Pass,159,From Throw In,6998.0,Rafael Alcântara do Nascimento,13.0,Right Center Midfield,96.4,67.0,4320.0,Neymar da Silva Santos Junior,7.170077,1.0,Ground Pass,95.4,59.9,Left Foot,
2621,2,74,58,30,Barcelona,Pass,159,From Throw In,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,95.6,59.2,6998.0,Rafael Alcântara do Nascimento,11.574109,3.0,High Pass,107.0,57.2,Right Foot,
