IdFiles,ScoringTeam,Score,NoInformation,passes,completePasses,incompletePasses,minutes
100_1,Real Sociedad,0_1,,44.0,43.0,1.0,4.0
100_2,,NF,NF,653.0,578.0,75.0,88.0
108_1,Valencia,0_1,,213.0,195.0,18.0,25.0
108_2,Valencia,0_2,,122.0,107.0,15.0,18.0
108_3,Barcelona,1_2,,156.0,142.0,14.0,17.0
108_4,,NF,NF,170.0,148.0,22.0,28.0
111_1,Barcelona,1_0,,92.0,87.0,5.0,11.0
111_2,Barcelona,2_0,,103.0,92.0,11.0,13.0
111_3,Barcelona,3_0,,216.0,206.0,10.0,23.0
111_4,Barcelona,4_0,,62.0,60.0,2.0,6.0
111_5,Barcelona,5_0,,63.0,57.0,6.0,11.0
111_6,Barcelona,6_0,,82.0,81.0,1.0,7.0
111_7,Barcelona,7_0,,32.0,32.0,0.0,4.0
111_8,Barcelona,8_0,,9.0,9.0,0.0,2.0
111_9,,NF,NF,78.0,74.0,4.0,9.0
114_1,Barcelona,1_0,,106.0,96.0,10.0,12.0
114_2,Barcelona,2_0,,409.0,372.0,37.0,50.0
114_3,Barcelona,3_0,,95.0,90.0,5.0,9.0
114_4,Barcelona,4_0,,12.0,12.0,0.0,1.0
114_5,Barcelona,5_0,,69.0,63.0,6.0,6.0
114_6,Barcelona,6_0,,8.0,7.0,1.0,2.0
114_7,,NF,NF,19.0,16.0,3.0,3.0
121_1,Barcelona,1_0,,376.0,337.0,39.0,50.0
121_2,Barcelona,2_0,,274.0,252.0,22.0,31.0
121_3,,NF,NF,112.0,104.0,8.0,11.0
129_1,Barcelona,1_0,,77.0,68.0,9.0,7.0
129_2,Barcelona,2_0,,283.0,257.0,26.0,44.0
129_3,Barcelona,3_0,,58.0,50.0,8.0,9.0
129_4,Barcelona,4_0,,68.0,63.0,5.0,13.0
129_5,Barcelona,5_0,,75.0,69.0,6.0,8.0
129_6,,NF,NF,42.0,40.0,2.0,7.0
135_1,Barcelona,1_0,,123.0,107.0,16.0,22.0
135_2,Barcelona,2_0,,121.0,109.0,12.0,16.0
135_3,Barcelona,3_0,,316.0,285.0,31.0,47.0
135_4,,NF,NF,17.0,13.0,4.0,7.0
17_1,Barcelona,1_0,,24.0,21.0,3.0,3.0
17_2,Barcelona,2_0,,214.0,194.0,20.0,24.0
17_3,Barcelona,3_0,,157.0,146.0,11.0,16.0
17_4,Barcelona,4_0,,114.0,104.0,10.0,15.0
17_5,Barcelona,5_0,,68.0,63.0,5.0,6.0
17_6,Barcelona,6_0,,88.0,82.0,6.0,13.0
17_7,,NF,NF,83.0,74.0,9.0,10.0
235_1,Barcelona,1_0,,461.0,402.0,59.0,54.0
235_2,,NF,NF,237.0,190.0,47.0,38.0
23_1,Barcelona,1_0,,15.0,15.0,0.0,1.0
23_2,Barcelona,2_0,,220.0,198.0,22.0,30.0
23_3,Barcelona,3_0,,120.0,101.0,19.0,19.0
23_4,,NF,NF,224.0,196.0,28.0,43.0
241_1,Barcelona,1_0,,484.0,424.0,60.0,73.0
241_2,,NF,NF,197.0,180.0,17.0,20.0
255_1,Atlético Madrid,0_1,,414.0,373.0,41.0,51.0
255_2,Barcelona,1_1,,16.0,13.0,3.0,2.0
255_3,Barcelona,2_1,,194.0,178.0,16.0,22.0
255_4,,NF,NF,101.0,93.0,8.0,15.0
263_1,Barcelona,1_0,,404.0,367.0,37.0,50.0
263_2,Levante UD,1_1,,43.0,39.0,4.0,6.0
263_3,Barcelona,2_1,,40.0,36.0,4.0,4.0
263_4,Levante UD,2_2,,31.0,31.0,0.0,3.0
263_5,Barcelona,3_2,,168.0,153.0,15.0,24.0
263_6,,NF,NF,8.0,7.0,1.0,2.0
266_1,Celta Vigo,0_1,,149.0,130.0,19.0,24.0
266_2,Celta Vigo,0_2,,14.0,10.0,4.0,4.0
266_3,Celta Vigo,0_3,,147.0,127.0,20.0,26.0
266_4,Barcelona,1_3,,133.0,114.0,19.0,23.0
266_5,Celta Vigo,1_4,,4.0,4.0,0.0,1.0
266_6,,NF,NF,30.0,26.0,4.0,7.0
269_1,Barcelona,1_0,,168.0,157.0,11.0,25.0
269_2,Barcelona,2_0,,265.0,245.0,20.0,29.0
269_3,Barcelona,3_0,,175.0,158.0,17.0,32.0
269_4,,NF,NF,15.0,11.0,4.0,3.0
276_1,Sevilla,0_1,,287.0,255.0,32.0,52.0
276_2,Sevilla,0_2,,35.0,32.0,3.0,5.0
276_3,Barcelona,1_2,,85.0,72.0,13.0,15.0
276_4,,NF,NF,147.0,127.0,20.0,20.0
290_1,Rayo Vallecano,0_1,,96.0,83.0,13.0,14.0
290_2,Barcelona,1_1,,45.0,42.0,3.0,7.0
290_3,Barcelona,2_1,,35.0,32.0,3.0,9.0
290_4,Barcelona,3_1,,194.0,157.0,37.0,36.0
290_5,Barcelona,4_1,,2.0,2.0,0.0,1.0
290_6,Barcelona,5_1,,21.0,19.0,2.0,6.0
290_7,Rayo Vallecano,5_2,,14.0,11.0,3.0,7.0
290_8,,NF,NF,31.0,25.0,6.0,6.0
298_1,Eibar,0_1,,98.0,91.0,7.0,9.0
298_2,Barcelona,1_1,,78.0,69.0,9.0,11.0
298_3,Barcelona,2_1,,183.0,161.0,22.0,27.0
298_4,Barcelona,3_1,,189.0,165.0,24.0,37.0
