,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
5211,5.89,1.76,9,5.89,1.45,9,0.73,,1,0.02,,1,0.67,,1,0.34,,1,3.0,,1
10609,4.43,2.44,7,4.71,2.63,7,0.0,,1,0.0,,1,0.36,,1,0.02,,1,3.0,,1
5203,5.18,2.96,11,5.45,2.84,11,0.54,,1,0.17,,1,0.8,,1,0.4,,1,2.0,,1
5216,6.0,2.65,5,6.4,2.41,5,0.7,,1,0.04,,1,0.77,,1,0.33,,1,2.0,,1
5470,4.0,2.12,9,3.89,2.03,9,0.48,,1,0.21,,1,0.75,,1,0.33,,1,3.0,,1
5506,5.56,2.6,9,6.0,2.18,9,0.56,,1,0.1,,1,0.71,,1,0.32,,1,2.0,,1
6998,5.0,,1,9.0,,1,0.66,,1,0.04,,1,0.65,,1,0.23,,1,2.0,,1
5246,5.27,1.9,11,3.36,1.21,11,0.71,,1,0.01,,1,0.6,,1,0.3,,1,4.0,,1
6379,5.14,2.04,7,4.86,1.77,7,0.69,,1,0.03,,1,0.6,,1,0.29,,1,3.0,,1
20055,2.0,1.41,2,3.0,1.41,2,0.33,,1,0.07,,1,0.34,,1,0.07,,1,3.0,,1
4320,5.18,2.52,11,4.55,2.66,11,0.7,,1,0.03,,1,0.57,,1,0.26,,1,3.0,,1
5503,4.9,2.28,10,4.7,2.16,10,0.62,,1,0.04,,1,0.63,,1,0.29,,1,3.0,,1
22102,3.0,0.0,2,2.5,0.71,2,0.17,,1,0.1,,1,0.47,,1,0.33,,1,4.0,,1
4324,4.22,2.77,9,4.44,2.46,9,0.0,,1,0.0,,1,0.44,,1,0.05,,1,4.0,,1
6616,1.5,0.71,2,1.5,0.71,2,0.0,,1,0.0,,1,0.42,,1,0.07,,1,3.0,,1
7068,4.0,1.41,2,5.0,2.83,2,0.77,,1,0.02,,1,0.67,,1,0.23,,1,2.0,,1
3508,3.0,1.41,4,1.75,0.96,4,0.8,,1,0.0,,1,0.46,,1,0.17,,1,3.0,,1
5213,4.75,2.19,8,5.38,2.0,8,0.74,,1,0.04,,1,0.6,,1,0.26,,1,2.0,,1
4691,2.22,0.97,9,3.67,1.5,9,0.52,,1,0.17,,1,0.55,,1,0.16,,1,2.0,,1
6332,6.0,,1,5.0,,1,0.4,,1,0.16,,1,0.67,,1,0.39,,1,2.0,,1
11094,5.5,2.38,4,5.5,2.65,4,0.74,,1,0.03,,1,0.63,,1,0.31,,1,3.0,,1
6400,4.0,2.83,2,4.5,3.54,2,0.79,,1,0.02,,1,0.71,,1,0.27,,1,2.0,,1
