,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities,eigenvector_centrality,eigenvector_centrality,eigenvector_centrality,eccentricity,eccentricity,eccentricity
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,5.29,2.19,7,5.43,3.25,7,0.44,0.0,1,0.05,0.0,1,0.56,0.0,1,0.35,0.0,1,3.0,0.0,1
0_2,4.5,1.5,2,6.0,1.0,2,0.39,0.0,1,0.25,0.0,1,0.53,0.0,1,0.35,0.0,1,2.0,0.0,1
1_2,5.67,1.7,3,7.0,0.0,3,0.62,0.0,1,0.05,0.0,1,0.65,0.0,1,0.25,0.0,1,2.0,0.0,1
1_0,5.96,1.73,23,6.52,2.26,23,0.81,0.0,1,0.01,0.0,1,0.77,0.0,1,0.25,0.0,1,2.0,0.0,1
2_0,5.38,2.87,16,5.69,2.57,16,0.64,0.0,1,0.05,0.0,1,0.59,0.0,1,0.19,0.0,1,2.0,0.0,1
3_0,5.0,1.1,10,6.3,2.0,10,0.72,0.0,1,0.06,0.0,1,0.71,0.0,1,0.23,0.0,1,1.0,0.0,1
4_0,4.71,2.76,7,4.57,2.06,7,0.13,0.0,1,0.32,0.0,1,0.45,0.0,1,0.31,0.0,1,2.0,0.0,1
5_0,3.25,1.09,4,3.75,0.83,4,0.65,0.0,1,0.01,0.0,1,0.53,0.0,1,0.3,0.0,1,2.0,0.0,1
6_0,3.67,1.89,3,3.33,1.7,3,0.45,0.0,1,0.07,0.0,1,0.67,0.0,1,0.32,0.0,1,3.0,0.0,1
7_0,2.0,0.0,1,2.0,0.0,1,0.5,0.0,1,0.03,0.0,1,0.48,0.0,1,0.48,0.0,1,0.48,0.0,1
8_0,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.11,0.0,1,0.11,0.0,1,0.11,0.0,1,0.11,0.0,1
1_1,4.88,1.83,8,5.25,1.79,8,0.43,0.0,1,0.14,0.0,1,0.64,0.0,1,0.35,0.0,1,2.0,0.0,1
2_1,6.0,2.49,9,6.44,2.06,9,0.56,0.0,1,0.1,0.0,1,0.71,0.0,1,0.32,0.0,1,2.0,0.0,1
3_1,4.5,2.6,4,4.75,2.95,4,0.4,0.0,1,0.11,0.0,1,0.22,0.0,1,0.31,0.0,1,2.0,0.0,1
4_1,4.67,0.94,3,7.0,0.82,3,0.36,0.0,1,0.18,0.0,1,0.69,0.0,1,0.35,0.0,1,2.0,0.0,1
0_3,7.0,0.0,1,7.0,0.0,1,0.46,0.0,1,0.11,0.0,1,0.77,0.0,1,0.31,0.0,1,2.0,0.0,1
1_3,7.0,0.0,1,8.0,0.0,1,0.49,0.0,1,0.09,0.0,1,0.73,0.0,1,0.28,0.0,1,2.0,0.0,1
1_4,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.33,0.0,1,0.33,0.0,1,0.33,0.0,1,0.33,0.0,1
5_1,4.0,3.0,2,3.5,2.5,2,0.7,0.0,1,0.04,0.0,1,0.73,0.0,1,0.35,0.0,1,2.0,0.0,1
5_2,4.0,3.0,2,3.5,2.5,2,0.7,0.0,1,0.04,0.0,1,0.73,0.0,1,0.73,0.0,1,0.73,0.0,1
2_2,0.0,0.0,1,2.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
6_1,3.0,0.0,1,3.0,0.0,1,0.0,0.0,1,0.16,0.0,1,0.31,0.0,1,0.31,0.0,1,0.31,0.0,1
