,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,5.57,1.84,7,6.0,1.31,7,0.77,0.0,1,0.02,0.0,1,0.62,0.0,1,0.21,0.0,1,2.0,0.0,1
0_2,3.0,2.16,3,3.33,1.25,3,0.67,0.0,1,0.02,0.0,1,0.4,0.0,1,0.21,0.0,1,4.0,0.0,1
1_2,6.5,0.5,2,6.5,0.5,2,0.45,0.0,1,0.09,0.0,1,0.6,0.0,1,0.31,0.0,1,2.0,0.0,1
1_0,5.87,1.5,15,6.13,1.82,15,0.44,0.0,1,0.16,0.0,1,0.71,0.0,1,0.42,0.0,1,2.0,0.0,1
2_0,5.0,2.83,11,4.91,2.5,11,0.33,0.0,1,0.3,0.0,1,0.45,0.0,1,0.33,0.0,1,3.0,0.0,1
3_0,6.17,1.77,6,6.17,1.57,6,0.72,0.0,1,0.05,0.0,1,0.91,0.0,1,0.35,0.0,1,2.0,0.0,1
4_0,5.2,2.71,5,5.6,2.94,5,0.72,0.0,1,0.04,0.0,1,0.75,0.0,1,0.32,0.0,1,2.0,0.0,1
5_0,4.33,0.47,3,4.33,0.47,3,0.48,0.0,1,0.06,0.0,1,0.62,0.0,1,0.33,0.0,1,3.0,0.0,1
6_0,6.0,2.16,3,4.67,0.94,3,0.47,0.0,1,0.09,0.0,1,0.53,0.0,1,0.34,0.0,1,3.0,0.0,1
7_0,4.0,0.0,1,3.0,0.0,1,0.28,0.0,1,0.13,0.0,1,0.56,0.0,1,0.56,0.0,1,0.56,0.0,1
8_0,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.21,0.0,1,0.19,0.0,1,0.19,0.0,1,0.19,0.0,1
1_1,3.0,1.41,5,3.8,1.47,5,0.69,0.0,1,0.01,0.0,1,0.59,0.0,1,0.2,0.0,1,2.0,0.0,1
2_1,5.43,1.84,7,5.14,1.64,7,0.69,0.0,1,0.03,0.0,1,0.6,0.0,1,0.29,0.0,1,3.0,0.0,1
3_1,4.5,4.5,2,3.5,2.5,2,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.38,0.0,1,2.0,0.0,1
4_1,4.0,0.0,1,4.0,0.0,1,0.39,0.0,1,0.06,0.0,1,0.58,0.0,1,0.27,0.0,1,2.0,0.0,1
0_3,5.0,0.0,1,6.0,0.0,1,0.74,0.0,1,0.02,0.0,1,0.67,0.0,1,0.27,0.0,1,2.0,0.0,1
1_3,5.0,0.0,1,6.0,0.0,1,0.74,0.0,1,0.02,0.0,1,0.67,0.0,1,0.27,0.0,1,2.0,0.0,1
1_4,5.0,0.0,1,6.0,0.0,1,0.74,0.0,1,0.02,0.0,1,0.67,0.0,1,0.67,0.0,1,0.67,0.0,1
5_1,1.0,0.0,1,2.0,0.0,1,0.0,0.0,1,0.11,0.0,1,0.28,0.0,1,0.27,0.0,1,2.0,0.0,1
5_2,1.0,0.0,1,2.0,0.0,1,0.0,0.0,1,0.11,0.0,1,0.28,0.0,1,0.28,0.0,1,0.28,0.0,1
2_2,2.0,1.0,2,3.0,0.0,2,0.31,0.0,1,0.27,0.0,1,0.49,0.0,1,0.49,0.0,1,0.49,0.0,1
6_1,2.0,1.0,2,3.0,0.0,2,0.31,0.0,1,0.27,0.0,1,0.49,0.0,1,0.49,0.0,1,0.49,0.0,1
