,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities,eigenvector_centrality,eigenvector_centrality,eigenvector_centrality,eccentricity,eccentricity,eccentricity
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
5246,7.0,,1,6.0,,1,0.61,,1,0.05,,1,0.77,,1,0.32,,1,2.0,,1
5506,7.0,,1,7.0,,1,0.46,,1,0.11,,1,0.77,,1,0.31,,1,2.0,,1
5213,6.0,,1,6.0,,1,0.55,,1,0.07,,1,0.71,,1,0.26,,1,2.0,,1
4324,7.0,,1,6.0,,1,0.62,,1,0.04,,1,0.77,,1,0.34,,1,2.0,,1
5203,8.0,,1,5.0,,1,0.66,,1,0.03,,1,0.83,,1,0.39,,1,2.0,,1
5503,7.0,,1,7.0,,1,0.62,,1,0.06,,1,0.77,,1,0.36,,1,3.0,,1
6379,5.0,,1,6.0,,1,0.74,,1,0.02,,1,0.67,,1,0.27,,1,2.0,,1
20055,2.0,,1,5.0,,1,0.58,,1,0.01,,1,0.53,,1,0.09,,1,2.0,,1
4320,4.0,,1,6.0,,1,0.7,,1,0.02,,1,0.62,,1,0.21,,1,2.0,,1
5216,8.0,,1,7.0,,1,0.59,,1,0.07,,1,0.83,,1,0.4,,1,2.0,,1
10609,5.0,,1,5.0,,1,0.64,,1,0.03,,1,0.67,,1,0.22,,1,2.0,,1
