,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
5211,6.9,2.13,10,6.1,2.18,10,0.74,,1,0.04,,1,0.83,,1,0.32,,1,2.0,,1
4320,6.15,2.3,13,5.23,1.36,13,0.76,,1,0.02,,1,0.91,,1,0.35,,1,2.0,,1
5216,6.5,1.35,10,6.3,2.06,10,0.4,,1,0.19,,1,0.83,,1,0.48,,1,2.0,,1
4324,5.6,2.67,10,5.8,2.44,10,0.75,,1,0.02,,1,0.83,,1,0.29,,1,2.0,,1
5470,5.67,2.15,12,6.0,2.52,12,0.79,,1,0.04,,1,0.71,,1,0.26,,1,2.0,,1
5503,5.5,2.15,12,5.83,2.33,12,0.75,,1,0.03,,1,0.83,,1,0.32,,1,2.0,,1
7068,4.25,2.22,4,4.25,1.26,4,0.15,,1,0.02,,1,0.46,,1,0.08,,1,2.0,,1
4691,2.5,0.85,10,4.3,2.26,10,0.8,,1,0.0,,1,0.59,,1,0.12,,1,2.0,,1
5506,5.0,1.15,10,6.3,2.11,10,0.72,,1,0.06,,1,0.71,,1,0.23,,1,1.0,,1
5203,5.67,2.35,12,6.33,2.39,12,0.76,,1,0.04,,1,0.83,,1,0.3,,1,2.0,,1
5246,5.83,2.21,12,3.83,1.99,12,0.79,,1,0.02,,1,0.83,,1,0.32,,1,2.0,,1
5213,5.18,2.82,11,5.73,2.45,11,0.69,,1,0.07,,1,0.83,,1,0.3,,1,2.0,,1
20055,2.33,2.31,3,4.0,2.65,3,0.33,,1,0.07,,1,0.34,,1,0.07,,1,3.0,,1
10609,4.14,1.57,7,4.14,1.07,7,0.32,,1,0.19,,1,0.67,,1,0.26,,1,2.0,,1
11094,5.0,3.24,5,5.2,3.11,5,0.71,,1,0.04,,1,0.91,,1,0.35,,1,2.0,,1
6400,6.0,1.0,3,5.67,1.53,3,0.86,,1,0.01,,1,0.71,,1,0.26,,1,2.0,,1
22102,3.0,,1,2.0,,1,0.38,,1,0.05,,1,0.5,,1,0.33,,1,4.0,,1
6616,5.25,2.87,4,3.25,1.5,4,0.57,,1,0.02,,1,0.62,,1,0.34,,1,3.0,,1
3508,2.0,,1,1.0,,1,0.17,,1,0.09,,1,0.5,,1,0.24,,1,5.0,,1
6379,6.17,1.94,6,6.17,1.72,6,0.72,,1,0.05,,1,0.91,,1,0.35,,1,2.0,,1
6332,6.5,0.71,2,4.5,0.71,2,0.86,,1,0.0,,1,0.77,,1,0.29,,1,2.0,,1
