,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
4691,0.0,,1,1.0,,1,0.0,,1,0.0,,1,0.0,,1
5506,1.0,,1,1.0,,1,0.0,,1,0.11,,1,0.11,,1
22102,1.0,,1,2.0,,1,0.0,,1,0.19,,1,0.15,,1
7068,1.0,,1,1.0,,1,0.0,,1,0.21,,1,0.17,,1
4324,1.0,,1,1.0,,1,0.0,,1,0.22,,1,0.18,,1
6379,1.0,,1,1.0,,1,0.0,,1,0.21,,1,0.19,,1
5503,1.0,,1,1.0,,1,0.0,,1,0.17,,1,0.19,,1
5246,1.0,,1,1.0,,1,0.0,,1,0.1,,1,0.19,,1
4320,1.0,,1,0.0,,1,0.0,,1,0.0,,1,0.2,,1
6998,1.0,,1,0.0,,1,0.0,,1,0.0,,1,0.17,,1
