index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
2197,2,71,4,30,Barcelona,Pass,129,Regular Play,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,35.8,15.1,5470.0,Ivan Rakitić,26.683516,1.0,Ground Pass,57.8,30.2,Right Foot,
2200,2,71,7,30,Barcelona,Pass,129,Regular Play,5470.0,Ivan Rakitić,13.0,Right Center Midfield,66.0,29.0,5503.0,Lionel Andrés Messi Cuccittini,61.769005,3.0,High Pass,113.9,68.0,Left Foot,
2203,2,71,15,30,Barcelona,Pass,129,Regular Play,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,108.2,74.5,4324.0,Daniel Alves da Silva,18.891533,1.0,Ground Pass,97.4,59.0,Left Foot,
2206,2,71,16,30,Barcelona,Pass,129,Regular Play,4324.0,Daniel Alves da Silva,2.0,Right Back,97.4,59.0,5503.0,Lionel Andrés Messi Cuccittini,11.107204,1.0,Ground Pass,97.0,70.1,Left Foot,
2210,2,71,18,30,Barcelona,Pass,129,Regular Play,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,94.3,67.2,5506.0,Javier Alejandro Mascherano,16.818146,1.0,Ground Pass,79.4,59.4,Left Foot,
2213,2,71,20,30,Barcelona,Pass,129,Regular Play,5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,79.4,59.4,6998.0,Rafael Alcântara do Nascimento,19.102356,1.0,Ground Pass,83.3,40.7,Right Foot,
2216,2,71,22,30,Barcelona,Pass,129,Regular Play,6998.0,Rafael Alcântara do Nascimento,15.0,Left Center Midfield,85.0,36.0,5246.0,Luis Alberto Suárez Díaz,17.976929,1.0,Ground Pass,96.4,22.1,Left Foot,
2219,2,71,26,30,Barcelona,Pass,129,Regular Play,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,103.3,20.9,,,4.104875,1.0,Ground Pass,105.6,24.3,Right Foot,Incomplete
2221,2,71,29,30,Barcelona,Pass,129,Regular Play,6998.0,Rafael Alcântara do Nascimento,15.0,Left Center Midfield,116.0,10.0,,,29.783384,3.0,High Pass,112.7,39.6,Left Foot,Incomplete
2227,2,71,39,30,Barcelona,Pass,131,Regular Play,10609.0,Jérémy Mathieu,5.0,Left Center Back,44.9,44.9,5211.0,Jordi Alba Ramos,31.402548,2.0,Low Pass,44.5,13.5,Right Foot,
2230,2,71,46,30,Barcelona,Pass,131,Regular Play,5211.0,Jordi Alba Ramos,6.0,Left Back,42.9,9.0,5506.0,Javier Alejandro Mascherano,18.288794,1.0,Ground Pass,44.7,27.2,Left Foot,
2234,2,71,51,30,Barcelona,Pass,131,Regular Play,5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,46.0,29.2,5211.0,Jordi Alba Ramos,15.052574,1.0,Ground Pass,50.7,14.9,Right Foot,
2238,2,71,53,30,Barcelona,Pass,131,Regular Play,5211.0,Jordi Alba Ramos,6.0,Left Back,51.1,15.8,6998.0,Rafael Alcântara do Nascimento,16.248384,2.0,Low Pass,63.5,5.3,Left Foot,
