index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
1321,1,31,51,30,Barcelona,Pass,64,From Kick Off,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,61.0,40.1,5216.0,Andrés Iniesta Luján,12.592458,1.0,Ground Pass,53.9,29.7,Right Foot,
1323,1,31,55,30,Barcelona,Pass,64,From Kick Off,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,52.6,28.9,5211.0,Jordi Alba Ramos,25.836601,1.0,Ground Pass,58.3,3.7,Right Foot,
1326,1,31,57,30,Barcelona,Pass,64,From Kick Off,5211.0,Jordi Alba Ramos,6.0,Left Back,57.2,5.3,10609.0,Jérémy Mathieu,22.803728,1.0,Ground Pass,39.6,19.8,Left Foot,
1329,1,31,59,30,Barcelona,Pass,64,From Kick Off,10609.0,Jérémy Mathieu,5.0,Left Center Back,40.3,19.8,5213.0,Gerard Piqué Bernabéu,30.657137,1.0,Ground Pass,37.2,50.3,Left Foot,
1332,1,32,7,30,Barcelona,Pass,64,From Kick Off,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,49.7,58.1,5506.0,Javier Alejandro Mascherano,24.880917,1.0,Ground Pass,63.2,37.2,Right Foot,
1336,1,32,10,30,Barcelona,Pass,64,From Kick Off,5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,63.7,35.9,5216.0,Andrés Iniesta Luján,13.228001,1.0,Ground Pass,67.4,23.2,Right Foot,
1339,1,32,14,30,Barcelona,Pass,64,From Kick Off,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,65.6,36.7,5506.0,Javier Alejandro Mascherano,13.038404,1.0,Ground Pass,70.2,24.5,Right Foot,
1342,1,32,15,30,Barcelona,Pass,64,From Kick Off,5506.0,Javier Alejandro Mascherano,10.0,Center Defensive Midfield,70.2,24.5,5213.0,Gerard Piqué Bernabéu,25.534487,1.0,Ground Pass,52.6,43.0,Right Foot,
1345,1,32,25,30,Barcelona,Pass,64,From Kick Off,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,74.7,45.8,5216.0,Andrés Iniesta Luján,18.57229,1.0,Ground Pass,71.0,27.6,Right Foot,
1348,1,32,28,30,Barcelona,Pass,64,From Kick Off,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,79.9,24.8,4320.0,Neymar da Silva Santos Junior,15.058553,1.0,Ground Pass,92.9,17.2,Right Foot,
