id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,related_events,player,position,location,pass,carry,ball_receipt,under_pressure,clearance,counterpress,dribble,duel,interception,off_camera,out,foul_won,block,shot,goalkeeper,ball_recovery,foul_committed,miscontrol,50_50,bad_behaviour,substitution,tactics,related_events_0,related_events_1,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,related_events_2,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,related_events_3,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_technique_id,pass_technique_name,pass_through_ball,interception_outcome_id,interception_outcome_name,pass_inswinging,foul_won_defensive,pass_aerial_won,pass_switch,pass_miscommunication,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_right_foot,ball_recovery_recovery_failure,pass_cut_back,block_deflection,shot_first_time,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate
4e747a2f-4658-4e18-8aff-526f8b9c6954,1,1,00:00:00.000,0,0,35,Starting XI,1,217,Barcelona,1,Regular Play,217,Barcelona,0.0,433.0,4691.0,Claudio Andrés Bravo Muñoz,1.0,Goalkeeper,13.0,4324.0,Daniel Alves da Silva,2.0,Right Back,22.0,5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,3.0,5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,14.0,5211.0,Jordi Alba Ramos,6.0,Left Back,18.0,5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,5.0,5470.0,Ivan Rakitić,13.0,Right Center Midfield,4.0,5216.0,Andrés Iniesta Luján,15.0,Left Center Midfield,8.0,5503.0,Lionel Andrés Messi Cuccittini,17.0,Right Wing,10.0,4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,11.0,5246.0,Luis Alberto Suárez Díaz,23.0,Center Forward,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4f56d9e-5cb8-4e74-908d-cf33d73ecd08,2,1,00:00:00.000,0,0,35,Starting XI,1,217,Barcelona,1,Regular Play,212,Atlético Madrid,0.0,4411.0,7069.0,Miguel Ángel Moyà Rumbo,1.0,Goalkeeper,1.0,6375.0,Juan Francisco Torres Belén,2.0,Right Back,20.0,5259.0,José María Giménez de Vargas,3.0,Right Center Back,24.0,5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,2.0,4788.0,Jesús Gámez Duarte,6.0,Left Back,18.0,6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,14.0,20669.0,Tiago Cardoso Mendes,11.0,Left Defensive Midfield,5.0,11094.0,Arda Turan,12.0,Right Midfield,10.0,5199.0,Jorge Resurrección Merodio,16.0,Left Midfield,6.0,5487.0,Antoine Griezmann,19.0,Center Attacking Midfield,7.0,5472.0,Mario Mandžukić,23.0,Center Forward,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad03648c-915a-409b-8330-ab22a4bcb579,3,1,00:00:00.000,0,0,18,Half Start,1,217,Barcelona,1,Regular Play,217,Barcelona,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6203f737-21f2-495f-b01e-8c0dbdf0fef9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6203f737-21f2-495f-b01e-8c0dbdf0fef9,4,1,00:00:00.000,0,0,18,Half Start,1,217,Barcelona,1,Regular Play,212,Atlético Madrid,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad03648c-915a-409b-8330-ab22a4bcb579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbd3baab-711a-4cd5-9598-0d719813e624,30,1,00:00:17.331,0,17,30,Pass,3,217,Barcelona,1,Regular Play,217,Barcelona,0.834954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27207ddd-812e-40e3-a4d2-daa74a39b8b4,4738acad-8b28-4933-b308-2f5c33b0e940,4324.0,Daniel Alves da Silva,2.0,Right Back,11.1,54.8,5470.0,Ivan Rakitić,11.014536,-0.5123895,3.0,High Pass,20.7,49.4,37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236ecd66-9a2c-40af-91ea-9d540bc765e0,31,1,00:00:17.855,0,17,17,Pressure,3,217,Barcelona,1,Regular Play,212,Atlético Madrid,1.043062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,20a517b6-6d78-4168-a381-35f729a615c3,4738acad-8b28-4933-b308-2f5c33b0e940,20669.0,Tiago Cardoso Mendes,11.0,Left Defensive Midfield,93.9,29.4,,,,,,,,,,,,,6b4f9874-2d3f-47f9-b470-7100569a4c34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4738acad-8b28-4933-b308-2f5c33b0e940,32,1,00:00:18.166,0,18,42,Ball Receipt*,3,217,Barcelona,1,Regular Play,217,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,236ecd66-9a2c-40af-91ea-9d540bc765e0,dbd3baab-711a-4cd5-9598-0d719813e624,5470.0,Ivan Rakitić,13.0,Right Center Midfield,20.7,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20a517b6-6d78-4168-a381-35f729a615c3,33,1,00:00:18.166,0,18,43,Carry,3,217,Barcelona,1,Regular Play,217,Barcelona,0.591046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,236ecd66-9a2c-40af-91ea-9d540bc765e0,4738acad-8b28-4933-b308-2f5c33b0e940,5470.0,Ivan Rakitić,13.0,Right Center Midfield,20.7,49.4,,,,,,,,,,,,,6b4f9874-2d3f-47f9-b470-7100569a4c34,18.1,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b4f9874-2d3f-47f9-b470-7100569a4c34,34,1,00:00:18.757,0,18,30,Pass,3,217,Barcelona,1,Regular Play,217,Barcelona,1.616249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,193a38a5-3972-47af-bb44-7ec62e71cb1b,236ecd66-9a2c-40af-91ea-9d540bc765e0,5470.0,Ivan Rakitić,13.0,Right Center Midfield,18.1,49.9,4324.0,Daniel Alves da Silva,22.495556,1.3829907,3.0,High Pass,22.3,72.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193a38a5-3972-47af-bb44-7ec62e71cb1b,35,1,00:00:20.373,0,20,42,Ball Receipt*,3,217,Barcelona,1,Regular Play,217,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6b4f9874-2d3f-47f9-b470-7100569a4c34,,4324.0,Daniel Alves da Silva,2.0,Right Back,22.3,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
