index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
3565,2,83,20,30,Barcelona,Pass,146,Regular Play,5213,Gerard Piqué Bernabéu,3,Right Center Back,29.6,47.8,7068.0,Marc Bartra Aregall,21.666796,2.0,Low Pass,22.3,27.4,,
3568,2,83,25,30,Barcelona,Pass,146,Regular Play,7068,Marc Bartra Aregall,5,Left Center Back,28.2,28.0,5506.0,Javier Alejandro Mascherano,7.387828,1.0,Ground Pass,32.9,33.7,Right Foot,
3572,2,83,28,30,Barcelona,Pass,146,Regular Play,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,35.2,32.7,5213.0,Gerard Piqué Bernabéu,18.553976,1.0,Ground Pass,28.0,49.8,Right Foot,
3575,2,83,31,30,Barcelona,Pass,146,Regular Play,5213,Gerard Piqué Bernabéu,3,Right Center Back,28.0,49.8,7068.0,Marc Bartra Aregall,29.13589,1.0,Ground Pass,31.7,20.9,Right Foot,
3578,2,83,35,30,Barcelona,Pass,146,Regular Play,7068,Marc Bartra Aregall,5,Left Center Back,31.1,20.9,5506.0,Javier Alejandro Mascherano,15.981239,1.0,Ground Pass,42.3,32.3,Right Foot,
3581,2,83,37,30,Barcelona,Pass,146,Regular Play,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,42.3,32.7,5470.0,Ivan Rakitić,16.407316,1.0,Ground Pass,53.7,44.5,Right Foot,
3584,2,83,40,30,Barcelona,Pass,146,Regular Play,5470,Ivan Rakitić,13,Right Center Midfield,53.7,44.5,4324.0,Daniel Alves da Silva,24.729132,1.0,Ground Pass,52.5,69.2,Left Foot,
3587,2,83,43,30,Barcelona,Pass,146,Regular Play,4324,Daniel Alves da Silva,2,Right Back,52.5,69.2,5503.0,Lionel Andrés Messi Cuccittini,55.809856,3.0,High Pass,108.2,72.7,Right Foot,
3593,2,84,7,30,Barcelona,Pass,147,From Free Kick,4324,Daniel Alves da Silva,2,Right Back,108.8,74.3,,,33.457436,3.0,High Pass,115.4,41.5,Right Foot,Incomplete
3688,2,86,57,30,Barcelona,Pass,152,Regular Play,5213,Gerard Piqué Bernabéu,3,Right Center Back,80.3,65.0,5246.0,Luis Alberto Suárez Díaz,14.705441,1.0,Ground Pass,92.3,73.5,Right Foot,
3692,2,87,0,30,Barcelona,Pass,152,Regular Play,5246,Luis Alberto Suárez Díaz,23,Center Forward,88.4,73.5,6998.0,Rafael Alcântara do Nascimento,16.063934,1.0,Ground Pass,85.0,57.8,Right Foot,
3696,2,87,3,30,Barcelona,Pass,152,Regular Play,6998,Rafael Alcântara do Nascimento,15,Left Center Midfield,93.5,46.6,5503.0,Lionel Andrés Messi Cuccittini,4.05216,1.0,Ground Pass,94.6,42.7,Left Foot,Incomplete
3709,2,87,25,30,Barcelona,Pass,154,From Free Kick,5213,Gerard Piqué Bernabéu,3,Right Center Back,57.0,72.7,5470.0,Ivan Rakitić,39.81168,1.0,Ground Pass,52.9,33.1,Right Foot,
3711,2,87,33,30,Barcelona,Pass,154,From Free Kick,5470,Ivan Rakitić,13,Right Center Midfield,63.3,25.1,5506.0,Javier Alejandro Mascherano,8.6,1.0,Ground Pass,63.3,33.7,Right Foot,
3714,2,87,35,30,Barcelona,Pass,154,From Free Kick,5506,Javier Alejandro Mascherano,10,Center Defensive Midfield,63.5,34.9,4324.0,Daniel Alves da Silva,43.588646,3.0,High Pass,97.4,62.3,Right Foot,
3733,2,87,50,30,Barcelona,Pass,156,Regular Play,3958,Pedro Eliezer Rodríguez Ledesma,21,Left Wing,61.5,30.1,5211.0,Jordi Alba Ramos,8.146778,1.0,Ground Pass,55.4,24.7,Right Foot,
3736,2,87,52,30,Barcelona,Pass,156,Regular Play,5211,Jordi Alba Ramos,6,Left Back,55.4,24.7,5470.0,Ivan Rakitić,14.103191,3.0,High Pass,62.3,37.0,Left Foot,
3759,2,88,17,30,Barcelona,Pass,158,Regular Play,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,34.1,46.0,7068.0,Marc Bartra Aregall,15.029637,1.0,Ground Pass,41.1,32.7,Right Foot,
3762,2,88,20,30,Barcelona,Pass,158,Regular Play,7068,Marc Bartra Aregall,5,Left Center Back,39.2,31.5,4691.0,Claudio Andrés Bravo Muñoz,23.256826,1.0,Ground Pass,19.4,43.7,Right Foot,
3766,2,88,22,30,Barcelona,Pass,158,Regular Play,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,21.3,45.4,,,42.26121,3.0,High Pass,46.4,79.4,Right Foot,Injury Clearance
3769,2,89,0,30,Barcelona,Pass,160,Regular Play,5213,Gerard Piqué Bernabéu,3,Right Center Back,26.4,74.6,6998.0,Rafael Alcântara do Nascimento,21.558525,1.0,Ground Pass,45.0,63.7,Right Foot,
3778,2,89,8,30,Barcelona,Pass,160,Regular Play,6998,Rafael Alcântara do Nascimento,15,Left Center Midfield,87.2,47.4,5246.0,Luis Alberto Suárez Díaz,12.725172,1.0,Ground Pass,86.4,34.7,Left Foot,
3783,2,89,9,30,Barcelona,Pass,160,Regular Play,5246,Luis Alberto Suárez Díaz,23,Center Forward,85.0,37.2,3958.0,Pedro Eliezer Rodríguez Ledesma,20.715454,1.0,Ground Pass,93.7,18.4,Right Foot,
3786,2,89,12,30,Barcelona,Pass,160,Regular Play,3958,Pedro Eliezer Rodríguez Ledesma,21,Left Wing,92.5,17.8,5470.0,Ivan Rakitić,16.011246,1.0,Ground Pass,81.9,29.8,Right Foot,
3788,2,89,13,30,Barcelona,Pass,160,Regular Play,5470,Ivan Rakitić,13,Right Center Midfield,81.9,29.8,5211.0,Jordi Alba Ramos,9.441399,1.0,Ground Pass,86.4,21.5,Right Foot,
3791,2,89,15,30,Barcelona,Pass,160,Regular Play,5211,Jordi Alba Ramos,6,Left Back,86.4,21.5,3958.0,Pedro Eliezer Rodríguez Ledesma,21.044,3.0,High Pass,107.0,25.8,Left Foot,Incomplete
3811,2,89,57,30,Barcelona,Pass,162,Regular Play,4324,Daniel Alves da Silva,2,Right Back,23.7,47.8,4691.0,Claudio Andrés Bravo Muñoz,16.332176,1.0,Ground Pass,8.0,43.3,Right Foot,
3814,2,89,59,30,Barcelona,Pass,162,Regular Play,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,9.4,43.3,7068.0,Marc Bartra Aregall,24.324884,1.0,Ground Pass,12.7,19.2,Right Foot,
3817,2,90,2,30,Barcelona,Pass,162,Regular Play,7068,Marc Bartra Aregall,5,Left Center Back,12.7,19.6,3958.0,Pedro Eliezer Rodríguez Ledesma,38.850613,3.0,High Pass,51.1,13.7,Right Foot,
3819,2,90,4,30,Barcelona,Pass,162,Regular Play,3958,Pedro Eliezer Rodríguez Ledesma,21,Left Wing,51.1,13.7,5246.0,Luis Alberto Suárez Díaz,17.50457,2.0,Low Pass,68.6,14.1,Head,
3823,2,90,8,30,Barcelona,Pass,162,Regular Play,5246,Luis Alberto Suárez Díaz,23,Center Forward,64.8,17.8,6998.0,Rafael Alcântara do Nascimento,27.821754,2.0,Low Pass,63.7,45.6,Right Foot,
3826,2,90,10,30,Barcelona,Pass,162,Regular Play,6998,Rafael Alcântara do Nascimento,15,Left Center Midfield,67.2,48.6,5503.0,Lionel Andrés Messi Cuccittini,7.8,1.0,Ground Pass,75.0,48.6,Left Foot,
3830,2,90,14,30,Barcelona,Pass,162,Regular Play,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,96.2,47.6,6998.0,Rafael Alcântara do Nascimento,16.293556,1.0,Ground Pass,108.4,58.4,Left Foot,
