index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name
2132,2,52,6,30,Barcelona,Pass,102,From Kick Off,5246,Luis Alberto Suárez Díaz,23,Center Forward,61.0,40.1,5503.0,Lionel Andrés Messi Cuccittini,0.7,1.0,Ground Pass,61.0,39.4,Right Foot
2135,2,52,7,30,Barcelona,Pass,102,From Kick Off,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,61.0,39.4,5203.0,Sergio Busquets i Burgos,8.558621,1.0,Ground Pass,52.5,40.4,Left Foot
2138,2,52,10,30,Barcelona,Pass,102,From Kick Off,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,55.6,43.3,6998.0,Rafael Alcântara do Nascimento,9.042677,1.0,Ground Pass,57.2,52.2,Right Foot
2141,2,52,11,30,Barcelona,Pass,102,From Kick Off,6998,Rafael Alcântara do Nascimento,13,Right Center Midfield,62.3,56.6,4324.0,Daniel Alves da Silva,19.543797,1.0,Ground Pass,68.3,75.2,Left Foot
2144,2,52,14,30,Barcelona,Pass,102,From Kick Off,4324,Daniel Alves da Silva,2,Right Back,72.6,75.2,5203.0,Sergio Busquets i Burgos,22.11651,1.0,Ground Pass,64.3,54.7,Right Foot
2147,2,52,17,30,Barcelona,Pass,102,From Kick Off,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,64.6,53.0,5506.0,Javier Alejandro Mascherano,24.9,1.0,Ground Pass,64.6,28.1,Right Foot
2150,2,52,20,30,Barcelona,Pass,102,From Kick Off,5506,Javier Alejandro Mascherano,5,Left Center Back,64.3,28.0,5211.0,Jordi Alba Ramos,26.321095,1.0,Ground Pass,79.9,6.8,Right Foot
2153,2,52,22,30,Barcelona,Pass,102,From Kick Off,5211,Jordi Alba Ramos,6,Left Back,79.9,6.8,5216.0,Andrés Iniesta Luján,15.01466,1.0,Ground Pass,91.1,16.8,Left Foot
2156,2,52,23,30,Barcelona,Pass,102,From Kick Off,5216,Andrés Iniesta Luján,15,Left Center Midfield,91.1,16.8,4320.0,Neymar da Silva Santos Junior,12.379418,1.0,Ground Pass,92.5,4.5,Right Foot
2159,2,52,25,30,Barcelona,Pass,102,From Kick Off,4320,Neymar da Silva Santos Junior,21,Left Wing,92.5,4.5,5211.0,Jordi Alba Ramos,10.841587,1.0,Ground Pass,82.0,7.2,Right Foot
2162,2,52,26,30,Barcelona,Pass,102,From Kick Off,5211,Jordi Alba Ramos,6,Left Back,82.0,7.2,5506.0,Javier Alejandro Mascherano,21.892921,1.0,Ground Pass,71.3,26.3,Left Foot
2165,2,52,30,30,Barcelona,Pass,102,From Kick Off,5506,Javier Alejandro Mascherano,5,Left Center Back,70.3,32.2,5203.0,Sergio Busquets i Burgos,14.666969,1.0,Ground Pass,84.9,33.6,Right Foot
2169,2,52,32,30,Barcelona,Pass,102,From Kick Off,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,87.8,35.8,4324.0,Daniel Alves da Silva,40.403095,3.0,High Pass,103.8,72.9,Right Foot
2172,2,52,36,30,Barcelona,Pass,102,From Kick Off,4324,Daniel Alves da Silva,2,Right Back,103.5,73.3,4320.0,Neymar da Silva Santos Junior,49.016937,3.0,High Pass,110.6,24.8,Right Foot
2177,2,52,44,30,Barcelona,Pass,103,From Throw In,5211,Jordi Alba Ramos,6,Left Back,104.7,0.1,4320.0,Neymar da Silva Santos Junior,11.673046,2.0,Low Pass,99.6,10.6,
2180,2,52,45,30,Barcelona,Pass,103,From Throw In,4320,Neymar da Silva Santos Junior,21,Left Wing,99.6,10.6,5211.0,Jordi Alba Ramos,9.343447,2.0,Low Pass,106.5,4.3,Right Foot
2183,2,52,47,30,Barcelona,Pass,103,From Throw In,5211,Jordi Alba Ramos,6,Left Back,106.5,4.3,4320.0,Neymar da Silva Santos Junior,10.630146,1.0,Ground Pass,95.9,5.1,Left Foot
2186,2,52,48,30,Barcelona,Pass,103,From Throw In,4320,Neymar da Silva Santos Junior,21,Left Wing,94.9,4.5,5216.0,Andrés Iniesta Luján,23.226063,1.0,Ground Pass,93.8,27.7,Right Foot
2190,2,52,50,30,Barcelona,Pass,103,From Throw In,5216,Andrés Iniesta Luján,15,Left Center Midfield,93.8,27.7,5246.0,Luis Alberto Suárez Díaz,12.700394,1.0,Ground Pass,106.5,27.6,Right Foot
2194,2,52,53,30,Barcelona,Pass,103,From Throw In,5246,Luis Alberto Suárez Díaz,23,Center Forward,113.3,31.3,5503.0,Lionel Andrés Messi Cuccittini,9.535198,2.0,Low Pass,111.7,40.7,Left Foot
