index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
3366,2,83,1,30,Barcelona,Pass,149,From Throw In,5211,Jordi Alba Ramos,6,Left Back,26.3,1.0,10609.0,Jérémy Mathieu,17.08391,2.0,Low Pass,23.8,17.9,,
3369,2,83,3,30,Barcelona,Pass,149,From Throw In,10609,Jérémy Mathieu,5,Left Center Back,24.0,18.1,5211.0,Jordi Alba Ramos,11.407016,1.0,Ground Pass,23.6,6.7,Right Foot,
3372,2,83,6,30,Barcelona,Pass,149,From Throw In,5211,Jordi Alba Ramos,6,Left Back,26.3,4.8,,,48.132526,3.0,High Pass,71.8,20.5,Left Foot,Incomplete
3378,2,83,10,30,Barcelona,Pass,149,From Throw In,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,56.9,25.2,20131.0,Xavier Hernández Creus,11.595258,1.0,Ground Pass,45.6,22.6,Left Foot,
3393,2,84,32,30,Barcelona,Pass,152,From Goal Kick,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,7.0,45.0,,,64.54843,3.0,High Pass,67.5,67.5,Right Foot,Incomplete
3398,2,84,39,30,Barcelona,Pass,152,From Goal Kick,20131,Xavier Hernández Creus,15,Left Center Midfield,52.2,56.3,4324.0,Daniel Alves da Silva,12.108262,2.0,Low Pass,43.2,64.4,Right Foot,
3402,2,84,41,30,Barcelona,Pass,152,From Goal Kick,4324,Daniel Alves da Silva,2,Right Back,44.4,63.8,,,63.645424,3.0,High Pass,107.9,59.5,Left Foot,Incomplete
3417,2,85,33,30,Barcelona,Pass,154,From Goal Kick,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,7.0,45.0,4320.0,Neymar da Silva Santos Junior,78.38776,3.0,High Pass,83.0,25.8,Right Foot,
3419,2,85,36,30,Barcelona,Pass,154,From Goal Kick,4320,Neymar da Silva Santos Junior,21,Left Wing,85.5,26.0,5203.0,Sergio Busquets i Burgos,21.3,3.0,High Pass,64.2,26.0,,Incomplete
3450,2,86,40,30,Barcelona,Pass,158,From Goal Kick,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,7.0,37.0,,,40.810417,3.0,High Pass,35.2,7.5,Right Foot,Incomplete
3452,2,86,45,30,Barcelona,Pass,159,From Throw In,5211,Jordi Alba Ramos,6,Left Back,65.7,1.0,4320.0,Neymar da Silva Santos Junior,14.422205,2.0,Low Pass,70.5,14.6,,
3455,2,86,46,30,Barcelona,Pass,159,From Throw In,4320,Neymar da Silva Santos Junior,21,Left Wing,70.5,14.6,5503.0,Lionel Andrés Messi Cuccittini,6.47611,2.0,Low Pass,64.2,16.1,Right Foot,
3467,2,86,52,30,Barcelona,Pass,159,From Throw In,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,75.4,19.5,4320.0,Neymar da Silva Santos Junior,3.9661064,1.0,Ground Pass,78.7,17.3,Left Foot,Incomplete
3483,2,87,2,30,Barcelona,Pass,161,Regular Play,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,88.3,28.9,3508.0,Sandro Ramírez Castillo,10.956733,1.0,Ground Pass,83.4,38.7,Left Foot,
3487,2,87,10,30,Barcelona,Pass,161,Regular Play,3508,Sandro Ramírez Castillo,17,Right Wing,91.8,13.2,5211.0,Jordi Alba Ramos,9.90202,1.0,Ground Pass,84.0,7.1,Left Foot,
3490,2,87,12,30,Barcelona,Pass,161,Regular Play,5211,Jordi Alba Ramos,6,Left Back,84.0,10.7,5470.0,Ivan Rakitić,49.5101,3.0,High Pass,87.3,60.1,Left Foot,
