index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name
2548,2,62,25,30,Barcelona,Pass,120,Regular Play,10609,Jérémy Mathieu,5,Left Center Back,58.2,42.7,5203.0,Sergio Busquets i Burgos,6.963476,1.0,Ground Pass,65.0,44.2,Left Foot
2551,2,62,26,30,Barcelona,Pass,120,Regular Play,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,64.9,44.7,5506.0,Javier Alejandro Mascherano,16.484236,1.0,Ground Pass,49.1,49.4,Right Foot
2554,2,62,28,30,Barcelona,Pass,120,Regular Play,5506,Javier Alejandro Mascherano,3,Right Center Back,49.9,47.5,5203.0,Sergio Busquets i Burgos,10.301942,1.0,Ground Pass,60.2,47.3,Right Foot
2557,2,62,30,30,Barcelona,Pass,120,Regular Play,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,61.2,49.0,5503.0,Lionel Andrés Messi Cuccittini,8.188406,1.0,Ground Pass,68.4,45.1,Right Foot
2578,2,63,3,30,Barcelona,Pass,123,Regular Play,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,88.9,72.5,6379.0,Sergi Roberto Carnicer,6.530697,2.0,Low Pass,86.1,66.6,
2581,2,63,5,30,Barcelona,Pass,123,Regular Play,6379,Sergi Roberto Carnicer,15,Left Center Midfield,89.9,63.5,4320.0,Neymar da Silva Santos Junior,14.112761,1.0,Ground Pass,90.5,49.4,Right Foot
2584,2,63,6,30,Barcelona,Pass,123,Regular Play,4320,Neymar da Silva Santos Junior,21,Left Wing,90.8,49.3,6379.0,Sergi Roberto Carnicer,9.972462,2.0,Low Pass,97.7,56.5,Right Foot
2640,2,64,46,30,Barcelona,Pass,126,From Free Kick,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,44.0,12.8,4320.0,Neymar da Silva Santos Junior,52.171352,3.0,High Pass,89.9,37.6,Left Foot
2642,2,64,49,30,Barcelona,Pass,126,From Free Kick,4320,Neymar da Silva Santos Junior,21,Left Wing,84.3,37.6,6379.0,Sergi Roberto Carnicer,2.236068,2.0,Low Pass,83.3,39.6,Head
2646,2,64,50,30,Barcelona,Pass,126,From Free Kick,6379,Sergi Roberto Carnicer,15,Left Center Midfield,83.2,37.9,5506.0,Javier Alejandro Mascherano,12.603571,2.0,Low Pass,70.6,38.2,Right Foot
2649,2,64,51,30,Barcelona,Pass,126,From Free Kick,5506,Javier Alejandro Mascherano,3,Right Center Back,70.6,38.2,20131.0,Xavier Hernández Creus,17.88463,2.0,Low Pass,77.5,21.7,Right Foot
2652,2,64,55,30,Barcelona,Pass,126,From Free Kick,20131,Xavier Hernández Creus,13,Right Center Midfield,80.4,23.0,4324.0,Daniel Alves da Silva,57.670963,3.0,High Pass,92.9,79.3,Right Foot
2655,2,64,58,30,Barcelona,Pass,126,From Free Kick,4324,Daniel Alves da Silva,2,Right Back,92.3,73.1,6616.0,Munir El Haddadi Mohamed,9.402127,1.0,Ground Pass,87.7,64.9,Right Foot
2658,2,65,1,30,Barcelona,Pass,126,From Free Kick,6616,Munir El Haddadi Mohamed,17,Right Wing,85.3,62.7,5506.0,Javier Alejandro Mascherano,15.5128975,1.0,Ground Pass,75.0,51.1,Left Foot
2661,2,65,4,30,Barcelona,Pass,126,From Free Kick,5506,Javier Alejandro Mascherano,3,Right Center Back,78.4,50.8,22102.0,Adriano Correia Claro,51.400875,3.0,High Pass,105.3,7.0,Right Foot
2664,2,65,8,30,Barcelona,Pass,126,From Free Kick,22102,Adriano Correia Claro,6,Left Back,100.6,5.5,20131.0,Xavier Hernández Creus,22.83725,2.0,Low Pass,92.9,27.0,Right Foot
2667,2,65,10,30,Barcelona,Pass,126,From Free Kick,20131,Xavier Hernández Creus,13,Right Center Midfield,97.5,28.6,5503.0,Lionel Andrés Messi Cuccittini,12.880994,1.0,Ground Pass,109.1,23.0,Right Foot
2670,2,65,12,30,Barcelona,Pass,126,From Free Kick,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,113.2,25.4,4320.0,Neymar da Silva Santos Junior,12.083874,1.0,Ground Pass,111.1,37.3,Left Foot
