id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,off_camera,under_pressure,dribble,ball_receipt,counterpress,interception,clearance,foul_committed,foul_won,shot,goalkeeper,duel,out,block,substitution,pass,related_events_1,carry_end_location_0,carry_end_location_1,pass_switch,related_events_2,dribble_outcome_id,dribble_outcome_name,related_events_3,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,related_events,related_events_4,foul_committed_advantage,foul_won_advantage,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate
78be8b8e-39f7-412f-9a3f-fddaf361e312,5,1,00:00:00.460,0,0,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.6072,,1866573c-777e-4363-a993-84a3bb873d6c,4320,Neymar da Silva Santos Junior,21,Left Wing,61.0,40.1,5503.0,Lionel Andrés Messi Cuccittini,4.7927027,1.9784279,1.0,Ground Pass,59.1,44.5,38.0,Left Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbf77143-2348-44f7-b214-aa011508f171,7,1,00:00:01.068,0,1,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.1168,,cf9c23f2-8e3f-4497-ba33-d0f2a708a95b,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,58.9,43.1,5203.0,Sergio Busquets i Burgos,10.815729,-2.8315375,1.0,Ground Pass,48.6,39.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbc92f69-5cc5-41c2-9fa0-d10080e27d6c,10,1,00:00:03.376,0,3,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.5359,,61bc87bd-728f-4721-97d7-1fc5fc472b42,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,48.6,39.7,5506.0,Javier Alejandro Mascherano,14.92012,-2.49407,1.0,Ground Pass,36.7,30.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b155140f-8914-4d35-92a6-c161570dfa95,12,1,00:00:04.912,0,4,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,2.05,,75b46f10-03b5-4f4d-b9e7-28801c8a4816,5506,Javier Alejandro Mascherano,5,Left Center Back,36.7,30.7,5213.0,Gerard Piqué Bernabéu,29.468119,1.8141289,1.0,Ground Pass,29.6,59.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b11fe3f2-c312-4c2d-8e53-120403218470,15,1,00:00:07.827,0,7,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,2.2192,,894f99f0-480f-49e3-9d77-0a922f0ef137,5213,Gerard Piqué Bernabéu,3,Right Center Back,29.6,59.3,5506.0,Javier Alejandro Mascherano,35.431767,-1.6131439,1.0,Ground Pass,28.1,23.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f259d91b-773a-497a-881b-27d33803943a,17,1,00:00:10.128,0,10,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.0874,,dc11e318-e057-4f5e-9371-29fd21dbb178,5506,Javier Alejandro Mascherano,5,Left Center Back,28.7,22.6,4691.0,Claudio Andrés Bravo Muñoz,22.98369,2.340811,1.0,Ground Pass,12.7,39.1,38.0,Left Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f83fd9cb-979b-424b-acdc-b56999ac350c,19,1,00:00:13.498,0,13,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.332,,3a136f65-a102-4a6f-9046-e258c28fecc9,4691,Claudio Andrés Bravo Muñoz,1,Goalkeeper,19.8,40.4,5203.0,Sergio Busquets i Burgos,22.905895,0.096193425,1.0,Ground Pass,42.6,42.6,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f52f664e-54f1-4c01-8159-db5a465c2bc0,21,1,00:00:14.830,0,14,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.9074,,3e214f1d-b47f-4337-9be8-b2eca39bcbc6,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,43.5,42.0,5506.0,Javier Alejandro Mascherano,26.702995,-1.9506073,1.0,Ground Pass,33.6,17.2,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ec922e12-0266-46a9-90cb-1fe81936c7e3,24,1,00:00:17.935,0,17,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.4374,,cb6638d0-c9f9-4761-95b3-d889fb8afc34,5506,Javier Alejandro Mascherano,5,Left Center Back,40.1,12.8,10609.0,Jérémy Mathieu,16.198765,-0.5743048,1.0,Ground Pass,53.7,4.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e7918b7-eb8f-4796-a179-72f1d7963768,27,1,00:00:20.389,0,20,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,2.4556,,e15dd85b-6ae9-49db-b1f8-ae501aac4e2d,10609,Jérémy Mathieu,6,Left Back,53.7,4.0,5506.0,Javier Alejandro Mascherano,17.361164,1.8870825,1.0,Ground Pass,48.3,20.5,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
