id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,off_camera,under_pressure,dribble,ball_receipt,counterpress,interception,clearance,foul_committed,foul_won,shot,goalkeeper,duel,out,block,substitution,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,related_events_3,dribble_outcome_id,dribble_outcome_name,related_events,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,foul_committed_advantage,foul_won_advantage,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_cross,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,pass_switch,pass_inswinging,pass_technique_id,pass_technique_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_aerial_won,block_offensive,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_outswinging
9d41480e-8a1e-4966-a095-2b00322a15df,2054,2,00:05:57.705,50,57,30,Pass,103,217,Barcelona,9,From Kick Off,217,Barcelona,0.850896,,2aab8af3-3e7a-4b26-9cfd-5f71b107879a,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,60.0,40.0,5216.0,Andrés Iniesta Luján,2.596151,-1.8438051,1.0,Ground Pass,59.3,37.5,40.0,Right Foot,65.0,Kick Off,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f4cacf1e-1400-464e-877a-b8669c72ee03,2056,2,00:06:01.920,51,1,30,Pass,103,217,Barcelona,9,From Kick Off,217,Barcelona,0.948083,,556957c1-6393-4a55-9112-a075341002f1,5216,Andrés Iniesta Luján,15,Left Center Midfield,57.9,28.5,20131.0,Xavier Hernández Creus,21.339634,1.509839,1.0,Ground Pass,59.2,49.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2bedf571-c1a5-47a6-964e-63b36a16c918,2059,2,00:06:05.103,51,5,30,Pass,103,217,Barcelona,9,From Kick Off,217,Barcelona,1.2601,,4353d26b-264b-4dd1-8ee4-5b7d2f01fe68,20131,Xavier Hernández Creus,13,Right Center Midfield,64.7,44.0,5216.0,Andrés Iniesta Luján,16.237303,-1.6385934,1.0,Ground Pass,63.6,27.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c96ca9b-4887-4198-815f-eaa99c3a4660,2063,2,00:06:07.107,51,7,30,Pass,103,217,Barcelona,9,From Kick Off,217,Barcelona,1.103267,,d922bd79-6f1a-43a8-90ff-7d27c0dd4fcd,5216,Andrés Iniesta Luján,15,Left Center Midfield,61.8,29.3,5213.0,Gerard Piqué Bernabéu,24.352617,2.1485486,1.0,Ground Pass,48.5,49.7,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ed38d2a-d3d0-4446-a812-d5737ffa88a1,2066,2,00:06:09.126,51,9,30,Pass,103,217,Barcelona,9,From Kick Off,217,Barcelona,1.445338,,f4463b16-f92f-42ce-8c69-3dd4ae7626f6,5213,Gerard Piqué Bernabéu,3,Right Center Back,44.4,54.9,4324.0,Daniel Alves da Silva,24.665766,0.71654165,1.0,Ground Pass,63.0,71.1,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d27c0c16-5942-44c1-bf96-26d33d3f2783,2069,2,00:06:12.176,51,12,30,Pass,103,217,Barcelona,9,From Kick Off,217,Barcelona,1.387552,,d680de4e-85fa-4a28-add6-ed3d9d14cdda,4324,Daniel Alves da Silva,2,Right Back,68.4,71.6,5203.0,Sergio Busquets i Burgos,20.97737,-1.4079988,1.0,Ground Pass,71.8,50.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52b0281f-35a4-4801-885e-c929afe2cf8f,2073,2,00:06:16.091,51,16,30,Pass,103,217,Barcelona,9,From Kick Off,217,Barcelona,1.022031,,5ecfb695-ee6d-40d7-8a65-5b8ffa14fb8b,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,66.6,42.0,5506.0,Javier Alejandro Mascherano,11.92057,-2.4393358,1.0,Ground Pass,57.5,34.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b415f166-4df8-4bcf-aea3-b2317d8eb914,2076,2,00:06:21.727,51,21,30,Pass,103,217,Barcelona,9,From Kick Off,217,Barcelona,1.755372,,00f39521-6b67-47f7-8196-82a90bf446ed,5506,Javier Alejandro Mascherano,5,Left Center Back,72.9,30.6,10609.0,Jérémy Mathieu,37.631104,-0.81170785,3.0,High Pass,98.8,3.3,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe23dbdb-80b2-4dd0-bffa-30b92b850315,2083,2,00:06:26.450,51,26,30,Pass,103,217,Barcelona,9,From Kick Off,217,Barcelona,1.1127,,5d26101b-6c58-4a70-a3f5-017c80bb1469,10609,Jérémy Mathieu,6,Left Back,96.2,8.0,5216.0,Andrés Iniesta Luján,15.400325,-3.1350992,1.0,Ground Pass,80.8,7.9,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cef6c7e5-7859-463f-bb48-c80ab0eecb78,2086,2,00:06:28.714,51,28,30,Pass,103,217,Barcelona,9,From Kick Off,217,Barcelona,0.968876,,ae196b6e-1ca0-4da7-a45d-46b3909f05b0,5216,Andrés Iniesta Luján,15,Left Center Midfield,80.8,7.9,20131.0,Xavier Hernández Creus,8.956003,1.6826866,1.0,Ground Pass,79.8,16.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
