id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events,player_id,player_name,position_id,position_name,location_0,location_1,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,carry,ball_receipt,under_pressure,counterpress,out,clearance,ball_recovery,dribble,duel,interception,foul_won,off_camera,goalkeeper,miscontrol,foul_committed,shot,block,substitution,bad_behaviour,related_events_0,pass,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_recipient_id,pass_recipient_name,related_events_1,carry_end_location_0,carry_end_location_1,dribble_outcome_id,dribble_outcome_name,related_events_2,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_switch,pass_aerial_won,ball_recovery_recovery_failure,miscontrol_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,clearance_aerial_won,foul_won_advantage,foul_won_defensive,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_left_foot,clearance_right_foot,related_events_3,dribble_nutmeg,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,related_events_4,pass_cross,pass_cut_back,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,foul_committed_card_id,foul_committed_card_name,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,block_offensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,player,position,location
a45ea5df-90dd-483e-873d-8b6efedd459d,443,1,00:11:50.775,11,50,30,Pass,34,36,Manchester City,7,From Goal Kick,36,Manchester City,1.678027,,,15409.0,David Seaman,1.0,Goalkeeper,6.0,36.0,101.369865,-0.36200354,3.0,High Pass,100.8,0.1,40.0,Right Foot,63.0,Goal Kick,75.0,Out,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f0fa824-39e3-4c35-975f-8478b0d5946b,498,1,00:13:00.715,13,0,4,Duel,37,36,Manchester City,1,Regular Play,36,Manchester City,0.0,,,40220.0,David Sommeil,3.0,Right Center Back,16.8,54.9,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,8aa732b8-8e11-448c-8988-9987025b8f60,,11.0,Tackle,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e733cb38-d93a-48f8-b7bc-a738d6c5161f,499,1,00:13:02.907,13,2,30,Pass,37,36,Manchester City,1,Regular Play,36,Manchester City,0.929251,,,19636.0,Paul Bosvelt,9.0,Right Defensive Midfield,30.2,54.9,17.520845,1.2634852,1.0,Ground Pass,35.5,71.6,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,3a0dc19b-be81-4e92-8d45-4f2f0ea06d3e,,,,,,38551.0,Shaun Wright-Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a0dc19b-be81-4e92-8d45-4f2f0ea06d3e,500,1,00:13:03.836,13,3,42,Ball Receipt*,37,36,Manchester City,1,Regular Play,36,Manchester City,,,,38551.0,Shaun Wright-Phillips,12.0,Right Midfield,35.5,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e733cb38-d93a-48f8-b7bc-a738d6c5161f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a484f0b3-30aa-4b5e-a21c-453062afdde4,501,1,00:13:03.836,13,3,43,Carry,37,36,Manchester City,1,Regular Play,36,Manchester City,1.47994,,,38551.0,Shaun Wright-Phillips,12.0,Right Midfield,35.5,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a0dc19b-be81-4e92-8d45-4f2f0ea06d3e,,,,,,,,62b2e009-3278-42ad-b143-317d932feb70,37.6,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62b2e009-3278-42ad-b143-317d932feb70,502,1,00:13:05.316,13,5,30,Pass,37,36,Manchester City,1,Regular Play,36,Manchester City,1.080775,,,38551.0,Shaun Wright-Phillips,12.0,Right Midfield,37.6,71.0,21.786694,-0.9025069,1.0,Ground Pass,51.1,53.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,346d5a0f-dc7f-4dee-b79f-78fddc2baed8,,,,,,40223.0,Antoine Sibierski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346d5a0f-dc7f-4dee-b79f-78fddc2baed8,503,1,00:13:06.397,13,6,42,Ball Receipt*,37,36,Manchester City,1,Regular Play,36,Manchester City,,,,40223.0,Antoine Sibierski,22.0,Right Center Forward,51.1,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62b2e009-3278-42ad-b143-317d932feb70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52566fd1-3e33-4b03-9445-875de3332bcc,504,1,00:13:06.397,13,6,43,Carry,37,36,Manchester City,1,Regular Play,36,Manchester City,0.308282,,,40223.0,Antoine Sibierski,22.0,Right Center Forward,51.1,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157add71-0a07-4944-a48e-d2645d482b25,,,,,,,,346d5a0f-dc7f-4dee-b79f-78fddc2baed8,53.2,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157add71-0a07-4944-a48e-d2645d482b25,505,1,00:13:06.705,13,6,14,Dribble,37,36,Manchester City,1,Regular Play,36,Manchester City,0.0,,,40223.0,Antoine Sibierski,22.0,Right Center Forward,53.2,54.2,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,98696d66-1c4d-4e1d-ad7d-8a31bd5629c9,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98696d66-1c4d-4e1d-ad7d-8a31bd5629c9,506,1,00:13:06.705,13,6,4,Duel,37,36,Manchester City,1,Regular Play,1,Arsenal,1.344871,,,15515.0,Patrick Vieira,11.0,Left Defensive Midfield,66.9,25.9,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,157add71-0a07-4944-a48e-d2645d482b25,,11.0,Tackle,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ae8b7f0-bc0c-46bc-a9a0-23d27f21f8c1,507,1,00:13:08.050,13,8,2,Ball Recovery,37,36,Manchester City,1,Regular Play,36,Manchester City,0.0,,,19636.0,Paul Bosvelt,9.0,Right Defensive Midfield,47.7,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
