index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
1597,1,37,17,30,Manchester City,Pass,74,From Kick Off,15519,Nicolas Anelka,23,Center Forward,61.0,40.1,38465.0,Claudio Reyna,11.016806,1.0,Ground Pass,50.1,41.7,Right Foot,
1599,1,37,19,30,Manchester City,Pass,74,From Kick Off,38465,Claudio Reyna,13,Right Center Midfield,50.1,41.7,,,26.217743,2.0,Low Pass,73.2,54.1,Right Foot,Incomplete
1638,1,38,31,30,Manchester City,Pass,77,Regular Play,20329,David James,1,Goalkeeper,13.1,45.2,24758.0,Michael Tarnat,28.585485,2.0,Low Pass,24.3,18.9,Keeper Arm,
1641,1,38,36,30,Manchester City,Pass,77,Regular Play,24758,Michael Tarnat,6,Left Back,33.6,10.1,15519.0,Nicolas Anelka,41.34368,1.0,Ground Pass,74.9,12.0,Left Foot,
1644,1,38,36,30,Manchester City,Pass,77,Regular Play,15519,Nicolas Anelka,23,Center Forward,77.0,10.7,38552.0,Joey Barton,27.28681,1.0,Ground Pass,50.6,17.6,Right Foot,
1647,1,38,41,30,Manchester City,Pass,77,Regular Play,38552,Joey Barton,10,Center Defensive Midfield,46.8,21.8,38551.0,Shaun Wright-Phillips,18.613167,1.0,Ground Pass,65.4,21.1,Right Foot,
1650,1,38,42,30,Manchester City,Pass,77,Regular Play,38551,Shaun Wright-Phillips,18,Right Attacking Midfield,64.6,22.0,15519.0,Nicolas Anelka,16.05148,1.0,Ground Pass,76.0,33.3,Right Foot,Incomplete
1653,1,38,45,30,Manchester City,Pass,77,Regular Play,38552,Joey Barton,10,Center Defensive Midfield,63.6,39.6,,,49.80773,3.0,High Pass,95.2,1.1,Right Foot,Out
1683,1,39,29,30,Manchester City,Pass,79,Regular Play,20329,David James,1,Goalkeeper,10.7,44.0,,,72.82555,3.0,High Pass,79.1,69.0,Right Foot,Incomplete
1686,1,39,34,30,Manchester City,Pass,79,Regular Play,38552,Joey Barton,10,Center Defensive Midfield,65.7,59.9,38465.0,Claudio Reyna,17.613914,2.0,Low Pass,83.2,61.9,Right Foot,
1689,1,39,36,30,Manchester City,Pass,79,Regular Play,38465,Claudio Reyna,13,Right Center Midfield,77.0,62.0,38551.0,Shaun Wright-Phillips,12.709839,1.0,Ground Pass,79.3,74.5,Right Foot,
1693,1,39,40,30,Manchester City,Pass,79,Regular Play,38551,Shaun Wright-Phillips,18,Right Attacking Midfield,86.6,77.3,40215.0,Jihai Sun,12.525574,1.0,Ground Pass,74.1,78.1,Right Foot,
1695,1,39,41,30,Manchester City,Pass,79,Regular Play,40215,Jihai Sun,2,Right Back,74.6,77.6,38552.0,Joey Barton,17.377283,2.0,Low Pass,83.2,62.5,Right Foot,
1698,1,39,42,30,Manchester City,Pass,79,Regular Play,38552,Joey Barton,10,Center Defensive Midfield,83.4,62.5,38465.0,Claudio Reyna,8.99611,1.0,Ground Pass,91.6,58.8,Right Foot,
1792,1,41,50,30,Manchester City,Pass,84,From Keeper,20329,David James,1,Goalkeeper,30.7,65.1,38465.0,Claudio Reyna,24.472433,3.0,High Pass,49.8,49.8,Keeper Arm,
1794,1,41,54,30,Manchester City,Pass,85,Regular Play,38465,Claudio Reyna,13,Right Center Midfield,64.3,46.2,38551.0,Shaun Wright-Phillips,18.280045,1.0,Ground Pass,78.9,57.2,Right Foot,
1799,1,41,57,30,Manchester City,Pass,86,Regular Play,38552,Joey Barton,10,Center Defensive Midfield,75.2,59.2,40215.0,Jihai Sun,24.961771,1.0,Ground Pass,93.0,76.7,Right Foot,
1802,1,42,0,30,Manchester City,Pass,86,Regular Play,40215,Jihai Sun,2,Right Back,93.4,76.7,,,13.507405,3.0,High Pass,102.8,67.0,Right Foot,Incomplete
1804,1,42,8,30,Manchester City,Pass,87,From Throw In,40215,Jihai Sun,2,Right Back,98.2,80.0,38552.0,Joey Barton,17.029387,2.0,Low Pass,85.2,69.0,,
1807,1,42,10,30,Manchester City,Pass,87,From Throw In,38552,Joey Barton,10,Center Defensive Midfield,84.4,68.8,40215.0,Jihai Sun,10.824047,1.0,Ground Pass,89.4,78.4,Right Foot,
1810,1,42,13,30,Manchester City,Pass,87,From Throw In,40215,Jihai Sun,2,Right Back,89.7,78.0,38552.0,Joey Barton,11.545129,1.0,Ground Pass,94.5,67.5,Right Foot,Incomplete
1824,1,42,20,30,Manchester City,Pass,89,Regular Play,38552,Joey Barton,10,Center Defensive Midfield,75.5,63.6,38465.0,Claudio Reyna,9.861542,3.0,High Pass,85.3,62.5,Head,
1827,1,42,22,30,Manchester City,Pass,89,Regular Play,38465,Claudio Reyna,13,Right Center Midfield,86.2,62.9,19636.0,Paul Bosvelt,10.940292,3.0,High Pass,92.7,54.1,Right Foot,
1830,1,42,23,30,Manchester City,Pass,89,Regular Play,19636,Paul Bosvelt,15,Left Center Midfield,89.9,52.3,40217.0,Trevor Sinclair,15.695222,2.0,Low Pass,75.2,46.8,Right Foot,
1832,1,42,25,30,Manchester City,Pass,89,Regular Play,40217,Trevor Sinclair,20,Left Attacking Midfield,75.5,46.5,24758.0,Michael Tarnat,19.062529,1.0,Ground Pass,71.8,27.8,Right Foot,
1835,1,42,29,30,Manchester City,Pass,89,Regular Play,24758,Michael Tarnat,6,Left Back,80.0,20.7,38551.0,Shaun Wright-Phillips,17.634342,1.0,Ground Pass,97.6,21.8,Left Foot,Incomplete
1852,1,42,40,30,Manchester City,Pass,89,Regular Play,24758,Michael Tarnat,6,Left Back,31.0,37.3,38552.0,Joey Barton,18.690372,1.0,Ground Pass,48.8,31.6,Left Foot,
