index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
3165,2,83,59,30,Manchester City,Pass,203,From Kick Off,15399,Robbie Fowler,15,Left Center Midfield,60.0,40.0,15519.0,Nicolas Anelka,2.523886,1.0,Ground Pass,57.9,41.4,Right Foot,
3168,2,84,0,30,Manchester City,Pass,203,From Kick Off,15519,Nicolas Anelka,23,Center Forward,57.9,41.4,38552.0,Joey Barton,9.89798,1.0,Ground Pass,48.5,38.3,Right Foot,
3171,2,84,5,30,Manchester City,Pass,203,From Kick Off,38552,Joey Barton,10,Center Defensive Midfield,57.0,37.8,15519.0,Nicolas Anelka,49.002552,3.0,High Pass,105.5,30.8,Right Foot,Incomplete
3185,2,84,44,30,Manchester City,Pass,205,From Goal Kick,20329,David James,1,Goalkeeper,6.0,44.0,,,96.37889,3.0,High Pass,95.2,7.5,Right Foot,Incomplete
3191,2,84,51,30,Manchester City,Pass,205,From Goal Kick,40218,Sylvain Distin,5,Left Center Back,63.3,16.0,40217.0,Trevor Sinclair,32.28653,1.0,Ground Pass,91.4,0.1,Left Foot,Out
3237,2,85,45,30,Manchester City,Pass,207,Regular Play,40218,Sylvain Distin,5,Left Center Back,30.2,30.6,20329.0,David James,21.51488,1.0,Ground Pass,9.4,36.1,Left Foot,
3240,2,85,48,30,Manchester City,Pass,207,Regular Play,20329,David James,1,Goalkeeper,9.1,36.1,40218.0,Sylvain Distin,14.851936,1.0,Ground Pass,16.8,23.4,Right Foot,
3243,2,85,53,30,Manchester City,Pass,207,Regular Play,40218,Sylvain Distin,5,Left Center Back,16.8,23.4,40215.0,Jihai Sun,31.287697,1.0,Ground Pass,24.2,53.8,Right Foot,
3246,2,85,56,30,Manchester City,Pass,207,Regular Play,40215,Jihai Sun,2,Right Back,29.2,58.4,20447.0,Richard Dunne,13.366376,1.0,Ground Pass,25.7,45.5,Right Foot,
3249,2,86,1,30,Manchester City,Pass,207,Regular Play,20447,Richard Dunne,3,Right Center Back,44.6,48.8,15519.0,Nicolas Anelka,58.692844,3.0,High Pass,89.5,11.0,Right Foot,Incomplete
3253,2,86,12,30,Manchester City,Pass,208,From Throw In,24758,Michael Tarnat,6,Left Back,81.8,0.1,40217.0,Trevor Sinclair,18.832153,2.0,Low Pass,99.9,5.3,,
3259,2,86,38,30,Manchester City,Pass,209,From Free Kick,24758,Michael Tarnat,6,Left Back,107.3,6.6,40218.0,Sylvain Distin,26.488676,3.0,High Pass,111.2,32.8,Left Foot,
3269,2,86,49,30,Manchester City,Pass,210,From Throw In,15399,Robbie Fowler,15,Left Center Midfield,110.2,80.0,15407.0,Steve McManaman,6.306346,2.0,Low Pass,111.8,73.9,,Incomplete
3272,2,87,3,30,Manchester City,Pass,211,From Throw In,15407,Steve McManaman,13,Right Center Midfield,109.1,80.0,15399.0,Robbie Fowler,12.291867,2.0,Low Pass,107.6,67.8,,
3283,2,87,57,30,Manchester City,Pass,212,From Free Kick,20447,Richard Dunne,3,Right Center Back,109.9,30.6,,,3.3600595,2.0,Low Pass,112.6,32.6,Left Foot,Incomplete
3296,2,88,7,30,Manchester City,Pass,212,From Free Kick,15399,Robbie Fowler,15,Left Center Midfield,97.2,13.3,15519.0,Nicolas Anelka,20.032475,2.0,Low Pass,107.3,30.6,Right Foot,
