index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
5,1,0,0,30,Manchester United,Pass,2,From Kick Off,20175.0,Ryan Giggs,20.0,Left Attacking Midfield,61.0,40.1,19729.0,Ruud van Nistelrooy,2.1377559,1.0,Ground Pass,60.6,42.2,Left Foot,
8,1,0,1,30,Manchester United,Pass,2,From Kick Off,19729.0,Ruud van Nistelrooy,23.0,Center Forward,61.7,42.4,24805.0,Roy Keane,6.8264194,1.0,Ground Pass,54.9,41.8,Right Foot,
11,1,0,3,30,Manchester United,Pass,2,From Kick Off,24805.0,Roy Keane,10.0,Center Defensive Midfield,58.8,41.1,20175.0,Ryan Giggs,16.804762,2.0,Low Pass,69.2,27.9,Right Foot,
15,1,0,7,30,Manchester United,Pass,2,From Kick Off,20175.0,Ryan Giggs,20.0,Left Attacking Midfield,71.0,32.4,19729.0,Ruud van Nistelrooy,2.1377559,1.0,Ground Pass,71.4,34.5,Right Foot,Incomplete
43,1,0,27,30,Manchester United,Pass,4,Regular Play,5207.0,Cristiano Ronaldo dos Santos Aveiro,18.0,Right Attacking Midfield,50.4,61.8,20175.0,Ryan Giggs,28.497192,1.0,Ground Pass,55.7,33.8,Right Foot,
46,1,0,29,30,Manchester United,Pass,4,Regular Play,20175.0,Ryan Giggs,20.0,Left Attacking Midfield,55.7,34.0,16890.0,John O''Shea,24.472433,1.0,Ground Pass,40.4,14.9,Left Foot,
49,1,0,31,30,Manchester United,Pass,4,Regular Play,16890.0,John O''Shea,6.0,Left Back,40.2,19.0,24805.0,Roy Keane,13.124405,1.0,Ground Pass,44.5,31.4,Left Foot,
52,1,0,34,30,Manchester United,Pass,4,Regular Play,24805.0,Roy Keane,10.0,Center Defensive Midfield,43.9,31.6,20175.0,Ryan Giggs,23.11017,1.0,Ground Pass,65.1,22.4,Right Foot,
59,1,0,38,30,Manchester United,Pass,4,Regular Play,20175.0,Ryan Giggs,20.0,Left Attacking Midfield,83.3,14.3,19729.0,Ruud van Nistelrooy,25.849566,1.0,Ground Pass,94.7,37.5,Left Foot,Incomplete
76,1,1,13,30,Manchester United,Pass,6,From Free Kick,16890.0,John O''Shea,6.0,Left Back,67.4,5.1,19729.0,Ruud van Nistelrooy,59.193665,3.0,High Pass,113.2,42.6,Right Foot,Incomplete
124,1,2,5,30,Manchester United,Pass,8,Regular Play,16890.0,John O''Shea,6.0,Left Back,25.2,21.2,24805.0,Roy Keane,13.912944,3.0,High Pass,37.8,27.1,Head,
127,1,2,8,30,Manchester United,Pass,8,Regular Play,24805.0,Roy Keane,10.0,Center Defensive Midfield,33.7,29.8,20171.0,Rio Ferdinand,22.99413,1.0,Ground Pass,22.9,50.1,Right Foot,
130,1,2,10,30,Manchester United,Pass,8,Regular Play,20171.0,Rio Ferdinand,3.0,Right Center Back,22.6,50.8,15402.0,Gary Neville,13.644413,1.0,Ground Pass,23.7,64.4,Left Foot,
133,1,2,13,30,Manchester United,Pass,8,Regular Play,15402.0,Gary Neville,2.0,Right Back,25.0,68.3,5207.0,Cristiano Ronaldo dos Santos Aveiro,42.54057,3.0,High Pass,65.9,80.0,Right Foot,Out
165,1,3,5,30,Manchester United,Pass,12,From Keeper,13042.0,Tim Howard,1.0,Goalkeeper,11.9,45.5,24805.0,Roy Keane,15.75373,1.0,Ground Pass,27.6,44.2,Keeper Arm,
168,1,3,8,30,Manchester United,Pass,13,Regular Play,24805.0,Roy Keane,10.0,Center Defensive Midfield,33.1,46.7,20175.0,Ryan Giggs,23.7135,1.0,Ground Pass,56.8,47.5,Right Foot,
170,1,3,9,30,Manchester United,Pass,14,Regular Play,20175.0,Ryan Giggs,20.0,Left Attacking Midfield,56.6,47.7,40246.0,Quinton Fortune Kolobea,10.307764,1.0,Ground Pass,52.6,38.2,Left Foot,
173,1,3,11,30,Manchester United,Pass,15,Regular Play,40246.0,Quinton Fortune Kolobea,15.0,Left Center Midfield,52.9,38.7,20175.0,Ryan Giggs,12.304471,1.0,Ground Pass,61.7,47.3,Left Foot,
176,1,3,12,30,Manchester United,Pass,16,Regular Play,20175.0,Ryan Giggs,20.0,Left Attacking Midfield,61.9,47.1,19729.0,Ruud van Nistelrooy,12.5032,2.0,Low Pass,72.7,40.8,Left Foot,
