index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
29,1,0,29,30,Manchester United,Pass,4,From Free Kick,15402.0,Gary Neville,2.0,Right Back,50.2,61.0,20341.0,Mikaël Silvestre,29.740545,1.0,Ground Pass,37.1,34.3,Right Foot,
32,1,0,32,30,Manchester United,Pass,4,From Free Kick,20341.0,Mikaël Silvestre,5.0,Left Center Back,37.3,31.3,16890.0,John O''Shea,27.772108,1.0,Ground Pass,49.8,6.5,Left Foot,
34,1,0,33,30,Manchester United,Pass,4,From Free Kick,16890.0,John O''Shea,6.0,Left Back,50.0,6.9,,,28.555386,3.0,High Pass,77.1,15.9,Right Foot,Incomplete
39,1,0,38,30,Manchester United,Pass,4,From Free Kick,24805.0,Roy Keane,15.0,Left Center Midfield,63.0,28.5,40365.0,Eric Daniel Djemba-Djemba,11.403947,2.0,Low Pass,57.9,38.7,Right Foot,
42,1,0,41,30,Manchester United,Pass,4,From Free Kick,40365.0,Eric Daniel Djemba-Djemba,13.0,Right Center Midfield,47.7,45.7,15402.0,Gary Neville,24.377243,1.0,Ground Pass,42.9,69.6,Right Foot,
45,1,0,44,30,Manchester United,Pass,4,From Free Kick,15402.0,Gary Neville,2.0,Right Back,49.0,67.1,15666.0,Paul Scholes,63.7942,3.0,High Pass,104.7,36.0,Right Foot,
89,1,2,8,30,Manchester United,Pass,8,From Throw In,16890.0,John O''Shea,6.0,Left Back,111.1,0.1,24805.0,Roy Keane,24.291769,2.0,Low Pass,89.1,10.4,,
92,1,2,11,30,Manchester United,Pass,8,From Throw In,24805.0,Roy Keane,15.0,Left Center Midfield,81.0,16.4,4022.0,Darren Fletcher,33.952465,3.0,High Pass,102.1,43.0,Right Foot,Incomplete
95,1,2,29,30,Manchester United,Pass,9,From Throw In,16890.0,John O''Shea,6.0,Left Back,92.4,0.1,24805.0,Roy Keane,10.704205,3.0,High Pass,92.7,10.8,,
98,1,2,31,30,Manchester United,Pass,9,From Throw In,24805.0,Roy Keane,15.0,Left Center Midfield,92.7,11.2,16890.0,John O''Shea,15.717824,3.0,High Pass,107.1,4.9,Right Foot,
102,1,2,34,30,Manchester United,Pass,9,From Throw In,16890.0,John O''Shea,6.0,Left Back,112.2,4.9,,,18.847015,1.0,Ground Pass,108.6,23.4,Left Foot,Incomplete
104,1,2,56,30,Manchester United,Pass,10,From Corner,4022.0,Darren Fletcher,12.0,Right Midfield,120.0,0.1,,,43.512985,3.0,High Pass,115.7,43.4,Right Foot,Incomplete
106,1,3,26,30,Manchester United,Pass,11,From Corner,20175.0,Ryan Giggs,16.0,Left Midfield,120.0,80.0,,,41.765297,3.0,High Pass,115.3,38.5,Right Foot,Incomplete
110,1,3,32,30,Manchester United,Pass,11,From Corner,4022.0,Darren Fletcher,12.0,Right Midfield,87.7,21.4,19729.0,Ruud van Nistelrooy,33.960712,3.0,High Pass,113.4,43.6,Right Foot,Incomplete
116,1,3,42,30,Manchester United,Pass,12,From Throw In,15402.0,Gary Neville,2.0,Right Back,71.5,80.0,15666.0,Paul Scholes,8.628442,3.0,High Pass,70.8,71.4,,
118,1,3,43,30,Manchester United,Pass,12,From Throw In,15666.0,Paul Scholes,19.0,Center Attacking Midfield,70.8,71.4,40365.0,Eric Daniel Djemba-Djemba,7.6967525,3.0,High Pass,63.8,74.6,Other,
125,1,3,46,30,Manchester United,Pass,12,From Throw In,40365.0,Eric Daniel Djemba-Djemba,13.0,Right Center Midfield,57.9,66.9,40366.0,Wes Brown,14.623953,2.0,Low Pass,49.4,55.0,Right Foot,
128,1,3,49,30,Manchester United,Pass,12,From Throw In,40366.0,Wes Brown,3.0,Right Center Back,49.2,50.1,24805.0,Roy Keane,17.82414,1.0,Ground Pass,51.3,32.4,Right Foot,
131,1,3,51,30,Manchester United,Pass,12,From Throw In,24805.0,Roy Keane,15.0,Left Center Midfield,51.7,31.3,16890.0,John O''Shea,26.794403,1.0,Ground Pass,64.2,7.6,Right Foot,
134,1,3,54,30,Manchester United,Pass,12,From Throw In,16890.0,John O''Shea,6.0,Left Back,63.6,8.9,24805.0,Roy Keane,16.046495,1.0,Ground Pass,57.9,23.9,Right Foot,
137,1,3,57,30,Manchester United,Pass,12,From Throw In,24805.0,Roy Keane,15.0,Left Center Midfield,56.4,26.9,20175.0,Ryan Giggs,24.242525,2.0,Low Pass,80.1,32.0,Right Foot,
140,1,3,58,30,Manchester United,Pass,12,From Throw In,20175.0,Ryan Giggs,16.0,Left Midfield,82.2,34.0,15666.0,Paul Scholes,4.365776,2.0,Low Pass,83.7,29.9,Right Foot,
143,1,3,59,30,Manchester United,Pass,12,From Throw In,15666.0,Paul Scholes,19.0,Center Attacking Midfield,85.2,28.9,20175.0,Ryan Giggs,5.6044626,1.0,Ground Pass,83.7,34.3,Right Foot,
159,1,4,25,30,Manchester United,Pass,14,From Throw In,16890.0,John O''Shea,6.0,Left Back,21.9,0.1,24805.0,Roy Keane,10.903669,2.0,Low Pass,23.4,10.9,,
161,1,4,26,30,Manchester United,Pass,14,From Throw In,24805.0,Roy Keane,15.0,Left Center Midfield,23.4,10.9,16890.0,John O''Shea,7.5504966,2.0,Low Pass,21.9,3.5,Right Foot,
163,1,4,26,30,Manchester United,Pass,14,From Throw In,16890.0,John O''Shea,6.0,Left Back,21.6,4.3,19729.0,Ruud van Nistelrooy,62.96896,3.0,High Pass,78.1,32.1,Right Foot,Incomplete
170,1,4,38,30,Manchester United,Pass,14,From Throw In,15402.0,Gary Neville,2.0,Right Back,43.9,76.5,40364.0,Roy Carroll,35.595085,2.0,Low Pass,13.8,57.5,Left Foot,
173,1,4,42,30,Manchester United,Pass,14,From Throw In,40364.0,Roy Carroll,1.0,Goalkeeper,14.2,56.3,40366.0,Wes Brown,12.248265,1.0,Ground Pass,26.3,58.2,Right Foot,
176,1,4,48,30,Manchester United,Pass,14,From Throw In,40366.0,Wes Brown,3.0,Right Center Back,37.8,56.6,15666.0,Paul Scholes,36.15356,3.0,High Pass,69.6,39.4,Right Foot,
179,1,4,50,30,Manchester United,Pass,14,From Throw In,15666.0,Paul Scholes,19.0,Center Attacking Midfield,69.6,39.4,20175.0,Ryan Giggs,8.448076,2.0,Low Pass,67.2,47.5,Other,
209,1,6,4,30,Manchester United,Pass,17,From Goal Kick,40364.0,Roy Carroll,1.0,Goalkeeper,7.0,44.1,19729.0,Ruud van Nistelrooy,75.67886,3.0,High Pass,82.2,52.6,Right Foot,Incomplete
213,1,6,10,30,Manchester United,Pass,17,From Goal Kick,24805.0,Roy Keane,15.0,Left Center Midfield,64.6,46.8,4022.0,Darren Fletcher,26.93121,3.0,High Pass,75.1,71.6,Head,
217,1,6,12,30,Manchester United,Pass,17,From Goal Kick,4022.0,Darren Fletcher,12.0,Right Midfield,75.5,71.4,,,2.5495098,2.0,Low Pass,77.8,70.3,Right Foot,Incomplete
219,1,6,20,30,Manchester United,Pass,18,From Throw In,15402.0,Gary Neville,2.0,Right Back,89.5,80.0,15666.0,Paul Scholes,10.804628,3.0,High Pass,95.0,70.7,,
221,1,6,21,30,Manchester United,Pass,18,From Throw In,15666.0,Paul Scholes,19.0,Center Attacking Midfield,95.7,70.7,15402.0,Gary Neville,8.987213,2.0,Low Pass,89.6,77.3,Right Foot,
225,1,6,23,30,Manchester United,Pass,18,From Throw In,15402.0,Gary Neville,2.0,Right Back,85.0,77.7,,,4.883646,1.0,Ground Pass,84.1,72.9,Left Foot,Incomplete
256,1,6,54,30,Manchester United,Pass,21,Regular Play,40366.0,Wes Brown,3.0,Right Center Back,25.7,60.4,4022.0,Darren Fletcher,13.50037,1.0,Ground Pass,30.8,72.9,Right Foot,
259,1,6,58,30,Manchester United,Pass,21,Regular Play,4022.0,Darren Fletcher,12.0,Right Midfield,37.5,75.4,19729.0,Ruud van Nistelrooy,40.388737,3.0,High Pass,69.3,50.5,Right Foot,
263,1,7,3,30,Manchester United,Pass,21,Regular Play,19729.0,Ruud van Nistelrooy,23.0,Center Forward,70.0,34.3,20175.0,Ryan Giggs,50.545128,1.0,Ground Pass,110.0,3.4,Left Foot,
267,1,7,10,30,Manchester United,Pass,21,Regular Play,20175.0,Ryan Giggs,16.0,Left Midfield,108.2,4.9,16890.0,John O''Shea,20.500975,1.0,Ground Pass,88.0,8.4,Left Foot,
269,1,7,11,30,Manchester United,Pass,21,Regular Play,16890.0,John O''Shea,6.0,Left Back,86.1,9.0,24805.0,Roy Keane,13.7186,1.0,Ground Pass,95.7,18.8,Right Foot,
300,1,8,15,30,Manchester United,Pass,24,Regular Play,20341.0,Mikaël Silvestre,5.0,Left Center Back,15.9,32.9,24805.0,Roy Keane,9.394147,1.0,Ground Pass,24.2,28.5,Left Foot,
303,1,8,17,30,Manchester United,Pass,24,Regular Play,24805.0,Roy Keane,15.0,Left Center Midfield,24.9,27.0,16890.0,John O''Shea,12.677539,1.0,Ground Pass,26.3,14.4,Right Foot,
305,1,8,18,30,Manchester United,Pass,24,Regular Play,16890.0,John O''Shea,6.0,Left Back,26.1,13.9,24805.0,Roy Keane,20.72414,3.0,High Pass,40.4,28.9,Right Foot,
313,1,8,25,30,Manchester United,Pass,24,Regular Play,15666.0,Paul Scholes,19.0,Center Attacking Midfield,42.9,18.2,,,8.203658,2.0,Low Pass,48.8,23.9,Right Foot,Incomplete
327,1,9,9,30,Manchester United,Pass,27,Regular Play,19729.0,Ruud van Nistelrooy,23.0,Center Forward,63.6,75.8,15402.0,Gary Neville,18.741665,2.0,Low Pass,45.0,78.1,Right Foot,
330,1,9,13,30,Manchester United,Pass,27,Regular Play,15402.0,Gary Neville,2.0,Right Back,45.0,78.1,4022.0,Darren Fletcher,18.013605,1.0,Ground Pass,63.0,78.8,Right Foot,
334,1,9,14,30,Manchester United,Pass,27,Regular Play,4022.0,Darren Fletcher,12.0,Right Midfield,63.4,78.0,19729.0,Ruud van Nistelrooy,9.822932,1.0,Ground Pass,69.1,70.0,Right Foot,
341,1,9,19,30,Manchester United,Pass,27,Regular Play,19729.0,Ruud van Nistelrooy,23.0,Center Forward,74.6,73.7,4022.0,Darren Fletcher,20.698067,1.0,Ground Pass,95.0,77.2,Right Foot,
361,1,10,13,30,Manchester United,Pass,29,Regular Play,40364.0,Roy Carroll,1.0,Goalkeeper,3.9,26.9,20175.0,Ryan Giggs,21.415882,1.0,Ground Pass,8.1,5.9,Right Foot,
364,1,10,18,30,Manchester United,Pass,29,Regular Play,20175.0,Ryan Giggs,16.0,Left Midfield,9.1,5.9,20341.0,Mikaël Silvestre,16.933104,1.0,Ground Pass,6.3,22.6,Left Foot,
367,1,10,21,30,Manchester United,Pass,29,Regular Play,20341.0,Mikaël Silvestre,5.0,Left Center Back,7.4,11.4,40365.0,Eric Daniel Djemba-Djemba,28.938902,3.0,High Pass,36.3,12.9,Left Foot,
373,1,10,26,30,Manchester United,Pass,29,Regular Play,20175.0,Ryan Giggs,16.0,Left Midfield,28.2,4.2,,,37.600132,3.0,High Pass,63.8,16.3,Left Foot,Incomplete
393,1,10,45,30,Manchester United,Pass,31,Regular Play,16890.0,John O''Shea,6.0,Left Back,22.0,15.5,20341.0,Mikaël Silvestre,7.940403,2.0,Low Pass,21.2,23.4,Head,
396,1,10,48,30,Manchester United,Pass,31,Regular Play,20341.0,Mikaël Silvestre,5.0,Left Center Back,24.6,22.6,24805.0,Roy Keane,9.80816,1.0,Ground Pass,27.4,32.0,Left Foot,
398,1,10,49,30,Manchester United,Pass,31,Regular Play,24805.0,Roy Keane,15.0,Left Center Midfield,26.9,32.0,40365.0,Eric Daniel Djemba-Djemba,5.1,1.0,Ground Pass,22.4,29.6,Right Foot,
402,1,10,50,30,Manchester United,Pass,31,Regular Play,40365.0,Eric Daniel Djemba-Djemba,13.0,Right Center Midfield,24.9,28.8,16890.0,John O''Shea,23.201939,1.0,Ground Pass,29.7,6.1,Right Foot,
405,1,10,53,30,Manchester United,Pass,31,Regular Play,16890.0,John O''Shea,6.0,Left Back,29.7,6.1,,,28.063143,2.0,Low Pass,46.2,28.8,Right Foot,Incomplete
416,1,11,14,30,Manchester United,Pass,33,Regular Play,40364.0,Roy Carroll,1.0,Goalkeeper,11.3,32.5,20175.0,Ryan Giggs,37.70968,3.0,High Pass,45.4,16.4,Keeper Arm,
431,1,11,35,30,Manchester United,Pass,33,Regular Play,20341.0,Mikaël Silvestre,5.0,Left Center Back,34.1,26.9,24805.0,Roy Keane,12.519585,1.0,Ground Pass,34.8,39.4,Left Foot,
434,1,11,37,30,Manchester United,Pass,33,Regular Play,24805.0,Roy Keane,15.0,Left Center Midfield,34.8,40.2,4022.0,Darren Fletcher,25.019993,1.0,Ground Pass,49.0,60.8,Right Foot,
437,1,11,47,30,Manchester United,Pass,33,Regular Play,4022.0,Darren Fletcher,12.0,Right Midfield,80.8,68.4,40365.0,Eric Daniel Djemba-Djemba,14.705441,1.0,Ground Pass,76.3,54.4,Left Foot,
440,1,11,51,30,Manchester United,Pass,33,Regular Play,40365.0,Eric Daniel Djemba-Djemba,13.0,Right Center Midfield,82.2,60.1,4022.0,Darren Fletcher,11.204463,1.0,Ground Pass,89.5,68.6,Right Foot,
443,1,11,53,30,Manchester United,Pass,33,Regular Play,4022.0,Darren Fletcher,12.0,Right Midfield,92.4,68.8,20175.0,Ryan Giggs,35.36453,3.0,High Pass,109.6,37.9,Right Foot,Incomplete
447,1,12,22,30,Manchester United,Pass,34,From Corner,4022.0,Darren Fletcher,12.0,Right Midfield,120.0,0.1,40365.0,Eric Daniel Djemba-Djemba,50.59506,3.0,High Pass,93.5,43.2,Right Foot,
457,1,12,47,30,Manchester United,Pass,35,From Corner,4022.0,Darren Fletcher,12.0,Right Midfield,120.0,0.1,20175.0,Ryan Giggs,18.270195,1.0,Ground Pass,106.4,12.3,Right Foot,
460,1,12,49,30,Manchester United,Pass,35,From Corner,20175.0,Ryan Giggs,16.0,Left Midfield,106.8,12.3,40365.0,Eric Daniel Djemba-Djemba,26.44012,1.0,Ground Pass,85.6,28.1,Left Foot,
463,1,12,53,30,Manchester United,Pass,35,From Corner,40365.0,Eric Daniel Djemba-Djemba,13.0,Right Center Midfield,86.3,30.3,15666.0,Paul Scholes,18.754467,1.0,Ground Pass,80.1,48.0,Right Foot,
466,1,12,55,30,Manchester United,Pass,35,From Corner,15666.0,Paul Scholes,19.0,Center Attacking Midfield,83.6,50.5,,,4.418144,3.0,High Pass,88.0,50.1,Right Foot,Incomplete
470,1,13,1,30,Manchester United,Pass,35,From Corner,15402.0,Gary Neville,2.0,Right Back,44.1,62.6,15666.0,Paul Scholes,8.5906925,1.0,Ground Pass,47.7,54.8,Right Foot,
473,1,13,5,30,Manchester United,Pass,35,From Corner,15666.0,Paul Scholes,19.0,Center Attacking Midfield,48.4,54.0,20341.0,Mikaël Silvestre,18.51513,2.0,Low Pass,56.8,37.5,Right Foot,
477,1,13,8,30,Manchester United,Pass,35,From Corner,20341.0,Mikaël Silvestre,5.0,Left Center Back,54.7,37.9,40365.0,Eric Daniel Djemba-Djemba,13.024976,2.0,Low Pass,64.9,46.0,Left Foot,
483,1,13,11,30,Manchester United,Pass,35,From Corner,40365.0,Eric Daniel Djemba-Djemba,13.0,Right Center Midfield,68.1,50.0,15666.0,Paul Scholes,6.44748,3.0,High Pass,74.0,52.6,,
487,1,13,13,30,Manchester United,Pass,35,From Corner,15666.0,Paul Scholes,19.0,Center Attacking Midfield,73.6,53.4,19729.0,Ruud van Nistelrooy,18.384777,3.0,High Pass,91.8,50.8,Right Foot,Incomplete
491,1,13,17,30,Manchester United,Pass,35,From Corner,15666.0,Paul Scholes,19.0,Center Attacking Midfield,77.4,54.8,4022.0,Darren Fletcher,26.395643,3.0,High Pass,90.7,77.6,Head,
