id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,out,shot,goalkeeper,clearance,ball_recovery,counterpress,dribble,duel,interception,off_camera,foul_won,foul_committed,block,substitution,miscontrol,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_switch,related_events,clearance_head,clearance_body_part_id,clearance_body_part_name,ball_recovery_recovery_failure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,clearance_left_foot,related_events_3,interception_outcome_id,interception_outcome_name,pass_cross,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate
2c17a047-ab2f-4484-9710-f57afecbdf20,5,1,00:00:00.661,0,0,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.403676,,a8ce7fec-4d17-4cbe-9471-c28b5489f4c3,5246,Luis Alberto Suárez Díaz,23,Center Forward,61.0,41.0,5503.0,Lionel Andrés Messi Cuccittini,2.408319,-1.6539376,1.0,Ground Pass,60.8,38.6,40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8ce7fec-4d17-4cbe-9471-c28b5489f4c3,6,1,00:00:01.065,0,1,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,2c17a047-ab2f-4484-9710-f57afecbdf20,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,60.8,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604eee16-9402-458a-835b-c86381f954cd,7,1,00:00:01.065,0,1,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.280024,,a8ce7fec-4d17-4cbe-9471-c28b5489f4c3,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,60.8,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eac561e4-db28-4d9f-9a90-33210d339316,61.7,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eac561e4-db28-4d9f-9a90-33210d339316,8,1,00:00:01.345,0,1,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.180719,,015998a8-d26b-4000-9efc-0be123129f63,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,61.7,41.1,6379.0,Sergi Roberto Carnicer,14.205632,3.113431,1.0,Ground Pass,47.5,41.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015998a8-d26b-4000-9efc-0be123129f63,9,1,00:00:02.526,0,2,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,eac561e4-db28-4d9f-9a90-33210d339316,6379,Sergi Roberto Carnicer,10,Center Defensive Midfield,47.5,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b72ad107-fd1d-42b5-94d3-2be0f3f1a9ef,10,1,00:00:02.526,0,2,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.700281,,015998a8-d26b-4000-9efc-0be123129f63,6379,Sergi Roberto Carnicer,10,Center Defensive Midfield,47.5,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80eaee3c-61ed-40fa-90b0-f818bd8cc5c8,47.5,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80eaee3c-61ed-40fa-90b0-f818bd8cc5c8,11,1,00:00:03.226,0,3,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,1.4993,,75c782bd-ad2a-4640-a936-9addde622484,6379,Sergi Roberto Carnicer,10,Center Defensive Midfield,47.5,41.5,11094.0,Arda Turan,11.884864,1.315614,1.0,Ground Pass,50.5,53.0,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75c782bd-ad2a-4640-a936-9addde622484,12,1,00:00:04.725,0,4,42,Ball Receipt*,2,217,Barcelona,9,From Kick Off,217,Barcelona,,,80eaee3c-61ed-40fa-90b0-f818bd8cc5c8,11094,Arda Turan,13,Right Center Midfield,50.5,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68875ff3-dd53-4fe2-9c89-1d88bc9cf6a8,13,1,00:00:04.725,0,4,43,Carry,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.92,,75c782bd-ad2a-4640-a936-9addde622484,11094,Arda Turan,13,Right Center Midfield,50.5,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b9697cc0-4a7e-4dd1-81ba-b9856327fe92,50.5,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9697cc0-4a7e-4dd1-81ba-b9856327fe92,14,1,00:00:05.645,0,5,30,Pass,2,217,Barcelona,9,From Kick Off,217,Barcelona,0.985,,28b20da2-0bad-4b34-9e3d-f88b2eb218a2,11094,Arda Turan,13,Right Center Midfield,50.5,60.4,4324.0,Daniel Alves da Silva,16.414932,1.5281392,1.0,Ground Pass,51.2,76.8,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
