index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
3174,2,83,22,30,Barcelona,Pass,171,From Kick Off,5246,Luis Alberto Suárez Díaz,24,Left Center Forward,61.0,41.0,5216.0,Andrés Iniesta Luján,2.0248456,1.0,Ground Pass,60.3,42.9,Right Foot,
3176,2,83,23,30,Barcelona,Pass,171,From Kick Off,5216,Andrés Iniesta Luján,15,Left Center Midfield,60.3,42.9,5470.0,Ivan Rakitić,11.681182,1.0,Ground Pass,50.4,49.1,Right Foot,
3178,2,83,24,30,Barcelona,Pass,171,From Kick Off,5470,Ivan Rakitić,13,Right Center Midfield,50.4,49.1,5506.0,Javier Alejandro Mascherano,12.536347,1.0,Ground Pass,43.4,38.7,Right Foot,
3182,2,83,26,30,Barcelona,Pass,171,From Kick Off,5506,Javier Alejandro Mascherano,5,Left Center Back,44.4,39.1,5213.0,Gerard Piqué Bernabéu,12.332072,1.0,Ground Pass,46.2,51.3,Right Foot,
3185,2,83,30,30,Barcelona,Pass,171,From Kick Off,5213,Gerard Piqué Bernabéu,3,Right Center Back,50.2,63.5,5246.0,Luis Alberto Suárez Díaz,16.617159,1.0,Ground Pass,66.4,59.8,Right Foot,
3188,2,83,33,30,Barcelona,Pass,171,From Kick Off,5246,Luis Alberto Suárez Díaz,24,Left Center Forward,68.8,52.8,5470.0,Ivan Rakitić,12.870509,1.0,Ground Pass,81.0,56.9,Left Foot,
3191,2,83,36,30,Barcelona,Pass,171,From Kick Off,5470,Ivan Rakitić,13,Right Center Midfield,88.9,60.4,6616.0,Munir El Haddadi Mohamed,31.405731,1.0,Ground Pass,120.3,59.8,Right Foot,
3207,2,84,48,30,Barcelona,Pass,173,From Throw In,5470,Ivan Rakitić,13,Right Center Midfield,38.4,80.0,5213.0,Gerard Piqué Bernabéu,17.896648,2.0,Low Pass,25.4,67.7,,
3210,2,84,51,30,Barcelona,Pass,173,From Throw In,5213,Gerard Piqué Bernabéu,3,Right Center Back,27.1,67.7,5506.0,Javier Alejandro Mascherano,32.290245,1.0,Ground Pass,30.6,35.6,Right Foot,
3213,2,84,57,30,Barcelona,Pass,173,From Throw In,5506,Javier Alejandro Mascherano,5,Left Center Back,35.5,36.2,5470.0,Ivan Rakitić,25.159094,1.0,Ground Pass,56.2,50.5,Right Foot,
3216,2,85,2,30,Barcelona,Pass,173,From Throw In,5470,Ivan Rakitić,13,Right Center Midfield,66.3,60.1,4324.0,Daniel Alves da Silva,17.86309,1.0,Ground Pass,76.0,75.1,Right Foot,
3219,2,85,5,30,Barcelona,Pass,173,From Throw In,4324,Daniel Alves da Silva,2,Right Back,76.0,75.1,6616.0,Munir El Haddadi Mohamed,17.167994,1.0,Ground Pass,90.3,65.6,Right Foot,
3256,2,86,23,30,Barcelona,Pass,175,From Goal Kick,20055,Marc-André ter Stegen,1,Goalkeeper,7.0,45.0,4324.0,Daniel Alves da Silva,54.23329,3.0,High Pass,48.0,80.5,Left Foot,Out
