id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,out,under_pressure,ball_receipt,counterpress,ball_recovery,interception,duel,dribble,shot,goalkeeper,off_camera,miscontrol,block,clearance,foul_won,50_50,foul_committed,substitution,bad_behaviour,pass,related_events_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,related_events_2,related_events_3,pass_aerial_won,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,related_events,carry_end_location_0,carry_end_location_1,pass_cross,pass_switch,pass_outswinging,pass_technique_id,pass_technique_name,ball_recovery_recovery_failure,foul_won_defensive,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,duel_outcome_id,duel_outcome_name,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,player,position,location,foul_committed_advantage,foul_won_advantage,pass_through_ball,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_one_on_one
71eb123b-483c-4cec-bf06-220288189848,2084,2,00:06:47.159,51,47,30,Pass,120,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,2.48615,,853bbe05-5872-4922-aa57-67f7b03d154e,26685.0,Nicolás Ladislao Fedor Flores,23.0,Center Forward,61.0,40.1,6852.0,Jozabed Sánchez Ruiz,17.123083,0.3956896,1.0,Ground Pass,76.8,46.7,40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853bbe05-5872-4922-aa57-67f7b03d154e,2085,2,00:06:49.646,51,49,42,Ball Receipt*,120,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,71eb123b-483c-4cec-bf06-220288189848,6852.0,Jozabed Sánchez Ruiz,9.0,Right Defensive Midfield,76.8,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7d3a9f5-eb4e-4b31-899f-b6f812604121,2096,2,00:09:04.092,54,4,30,Pass,123,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,2.988126,,64975f38-380d-46c7-8db5-6959f8f3b366,24255.0,Juan Carlos Martín Corral,1.0,Goalkeeper,7.0,36.1,11542.0,Javier Guerra Rodríguez,70.908676,-0.14149818,3.0,High Pass,77.2,26.1,40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,True,,,,,,,,,,ad3809ce-fa3b-4bbe-bf37-07ffc396bf83,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64975f38-380d-46c7-8db5-6959f8f3b366,2097,2,00:09:07.080,54,7,42,Ball Receipt*,123,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,,,b7d3a9f5-eb4e-4b31-899f-b6f812604121,11542.0,Javier Guerra Rodríguez,19.0,Center Attacking Midfield,78.2,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fb36815-26b1-4778-a71f-cef5a46185e5,2098,2,00:09:07.080,54,7,4,Duel,123,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,0.0,,ad3809ce-fa3b-4bbe-bf37-07ffc396bf83,11542.0,Javier Guerra Rodríguez,19.0,Center Attacking Midfield,77.2,26.1,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad3809ce-fa3b-4bbe-bf37-07ffc396bf83,2099,2,00:09:07.080,54,7,30,Pass,123,360,Rayo Vallecano,7,From Goal Kick,220,Real Madrid,1.151249,,2fb36815-26b1-4778-a71f-cef5a46185e5,20016.0,Kléper Laveran Lima Ferreira,3.0,Right Center Back,42.9,54.0,4926.0,Francisco Román Alarcón Suárez,17.632357,-0.88985527,3.0,High Pass,54.0,40.3,,,66.0,Recovery,,,True,,,,,,,,,,,,,,,,,,,9638bf2c-53b9-47bd-af0b-9eb59b376869,9.0,Incomplete,,,,,b7d3a9f5-eb4e-4b31-899f-b6f812604121,e1305be7-ba9e-42bf-91a3-edeab7839372,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1305be7-ba9e-42bf-91a3-edeab7839372,2100,2,00:09:08.232,54,8,42,Ball Receipt*,123,360,Rayo Vallecano,7,From Goal Kick,220,Real Madrid,,,ad3809ce-fa3b-4bbe-bf37-07ffc396bf83,4926.0,Francisco Román Alarcón Suárez,15.0,Left Center Midfield,57.2,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9638bf2c-53b9-47bd-af0b-9eb59b376869,2101,2,00:09:08.232,54,8,30,Pass,123,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,2.099061,,19b36a11-3f20-4009-ab93-b5b8d41bafa4,24138.0,Joaquín José Marín Ruiz,2.0,Right Back,66.1,39.8,11542.0,Javier Guerra Rodríguez,26.604698,-0.34909213,3.0,High Pass,91.1,30.7,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,ad3809ce-fa3b-4bbe-bf37-07ffc396bf83,9.0,Incomplete,,,,,af243a63-c563-4854-9b8b-6a180aaa6dae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af243a63-c563-4854-9b8b-6a180aaa6dae,2102,2,00:09:10.331,54,10,42,Ball Receipt*,123,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,,,9638bf2c-53b9-47bd-af0b-9eb59b376869,11542.0,Javier Guerra Rodríguez,19.0,Center Attacking Midfield,93.0,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9d19fd6-6b8b-4e4e-8e4d-51501f134017,2103,2,00:09:10.331,54,10,4,Duel,123,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,0.0,,19b36a11-3f20-4009-ab93-b5b8d41bafa4,11542.0,Javier Guerra Rodríguez,19.0,Center Attacking Midfield,91.1,30.7,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
