id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,off_camera,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,dribble,duel,interception,out,miscontrol,foul_won,clearance,foul_committed,substitution,shot,goalkeeper,ball_recovery,block,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,related_events_3,interception_outcome_id,interception_outcome_name,pass_outswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_aerial_won,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,foul_committed_card_id,foul_committed_card_name,ball_recovery_recovery_failure,player,position,location,tactics_formation,tactics_lineup_0_player_id,tactics_lineup_0_player_name,tactics_lineup_0_position_id,tactics_lineup_0_position_name,tactics_lineup_0_jersey_number,tactics_lineup_1_player_id,tactics_lineup_1_player_name,tactics_lineup_1_position_id,tactics_lineup_1_position_name,tactics_lineup_1_jersey_number,tactics_lineup_2_player_id,tactics_lineup_2_player_name,tactics_lineup_2_position_id,tactics_lineup_2_position_name,tactics_lineup_2_jersey_number,tactics_lineup_3_player_id,tactics_lineup_3_player_name,tactics_lineup_3_position_id,tactics_lineup_3_position_name,tactics_lineup_3_jersey_number,tactics_lineup_4_player_id,tactics_lineup_4_player_name,tactics_lineup_4_position_id,tactics_lineup_4_position_name,tactics_lineup_4_jersey_number,tactics_lineup_5_player_id,tactics_lineup_5_player_name,tactics_lineup_5_position_id,tactics_lineup_5_position_name,tactics_lineup_5_jersey_number,tactics_lineup_6_player_id,tactics_lineup_6_player_name,tactics_lineup_6_position_id,tactics_lineup_6_position_name,tactics_lineup_6_jersey_number,tactics_lineup_7_player_id,tactics_lineup_7_player_name,tactics_lineup_7_position_id,tactics_lineup_7_position_name,tactics_lineup_7_jersey_number,tactics_lineup_8_player_id,tactics_lineup_8_player_name,tactics_lineup_8_position_id,tactics_lineup_8_position_name,tactics_lineup_8_jersey_number,tactics_lineup_9_player_id,tactics_lineup_9_player_name,tactics_lineup_9_position_id,tactics_lineup_9_position_name,tactics_lineup_9_jersey_number,tactics_lineup_10_player_id,tactics_lineup_10_player_name,tactics_lineup_10_position_id,tactics_lineup_10_position_name,tactics_lineup_10_jersey_number,block_offensive,block_deflection
a57ec950-7d86-444f-8ca1-744d95d7f521,385,1,00:11:25.516,11,25,30,Pass,25,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.729159,,940985eb-5141-4737-9e05-a739c9c2feeb,,26690.0,Alberto Mateus Contreiras Gonçalves,23.0,Center Forward,61.0,40.1,26848.0,Roberto Trashorras Gayoso,2.6305892,1.7234457,1.0,Ground Pass,60.6,42.7,38.0,Left Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940985eb-5141-4737-9e05-a739c9c2feeb,386,1,00:11:26.245,11,26,42,Ball Receipt*,25,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,a57ec950-7d86-444f-8ca1-744d95d7f521,,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,60.6,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009366-fbd6-4dd0-b7fd-c144ece636c7,387,1,00:11:26.245,11,26,43,Carry,25,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,2.286256,,5d60c97e-1913-48ca-a098-a509b3b95304,,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,60.6,42.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940985eb-5141-4737-9e05-a739c9c2feeb,60.1,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d60c97e-1913-48ca-a098-a509b3b95304,388,1,00:11:28.532,11,28,30,Pass,25,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.480134,,4332d896-6863-4abc-8216-1a3b0825051a,,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,60.1,51.5,24138.0,Joaquín José Marín Ruiz,22.361797,2.0444436,1.0,Ground Pass,49.9,71.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4332d896-6863-4abc-8216-1a3b0825051a,389,1,00:11:30.012,11,30,42,Ball Receipt*,25,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,5d60c97e-1913-48ca-a098-a509b3b95304,,24138.0,Joaquín José Marín Ruiz,2.0,Right Back,49.9,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fde086e-3ba2-4394-8cb4-ab3c15711883,390,1,00:11:30.012,11,30,43,Carry,25,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.274956,,2f51348d-5b45-451b-b54e-c4847f734ba0,,24138.0,Joaquín José Marín Ruiz,2.0,Right Back,49.9,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4332d896-6863-4abc-8216-1a3b0825051a,49.9,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f51348d-5b45-451b-b54e-c4847f734ba0,391,1,00:11:31.287,11,31,30,Pass,25,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.059108,,d1dc4279-c300-4934-b72c-a86e657411f8,,24138.0,Joaquín José Marín Ruiz,2.0,Right Back,49.9,71.4,6713.0,Diego Javier Llorente Ríos,17.44133,-2.429235,1.0,Ground Pass,36.7,60.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1dc4279-c300-4934-b72c-a86e657411f8,392,1,00:11:32.346,11,32,42,Ball Receipt*,25,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,2f51348d-5b45-451b-b54e-c4847f734ba0,,6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,36.7,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6aca41c-4615-4f08-8cd5-ad8054172540,393,1,00:11:32.346,11,32,43,Carry,25,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.537313,,7cc2cb0f-d908-494c-8521-0c189c39e7a2,,6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,36.7,60.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,ac100cec-c8f6-4f45-bf25-d711b05b16f3,36.7,59.4,d1dc4279-c300-4934-b72c-a86e657411f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac100cec-c8f6-4f45-bf25-d711b05b16f3,394,1,00:11:32.446,11,32,17,Pressure,25,360,Rayo Vallecano,9,From Kick Off,209,Celta Vigo,0.446896,,7cc2cb0f-d908-494c-8521-0c189c39e7a2,,5217.0,Iago Aspas Juncal,23.0,Center Forward,81.8,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b6aca41c-4615-4f08-8cd5-ad8054172540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
