id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,counterpress,goalkeeper,dribble,duel,foul_committed,off_camera,clearance,shot,foul_won,interception,out,ball_recovery,bad_behaviour,substitution,pass,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,related_events_1,pass_aerial_won,related_events,carry_end_location_0,carry_end_location_1,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,related_events_2,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,related_events_3,pass_cross,foul_won_defensive,player,position,location
a09508a2-aa14-4770-817a-4a2260cbcf9b,2975,2,00:41:32.074,86,32,30,Pass,186,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.24,,b84aa709-1545-4662-93ba-32577c3a9c60,26690.0,Alberto Mateus Contreiras Gonçalves,23.0,Center Forward,61.0,40.1,7900.0,Tiago Manuel Dias Correia,2.1633308,-2.158799,1.0,Ground Pass,59.8,38.3,40.0,Right Foot,65.0,Kick Off,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b84aa709-1545-4662-93ba-32577c3a9c60,2976,2,00:41:32.314,86,32,42,Ball Receipt*,186,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,a09508a2-aa14-4770-817a-4a2260cbcf9b,7900.0,Tiago Manuel Dias Correia,17.0,Right Wing,59.8,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed3502c7-02d2-47b7-a048-5de44d9693f1,2977,2,00:41:32.634,86,32,30,Pass,186,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.390821,,30b9327c-3f92-4137-b090-ec85a646ab0e,7900.0,Tiago Manuel Dias Correia,17.0,Right Wing,59.9,38.3,,,28.539446,-1.6233793,1.0,Ground Pass,58.4,9.8,40.0,Right Foot,,,,,,,,,,,True,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,
21d39e3a-2bf0-4d5d-8e20-151df538c04d,3004,2,00:42:41.118,87,41,30,Pass,189,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.703707,,669fa4a5-e267-45e3-8d99-fd151900e6e1,10727.0,Răzvan Dincă Raț,6.0,Left Back,30.2,0.1,26690.0,Alberto Mateus Contreiras Gonçalves,30.371038,0.22581168,3.0,High Pass,59.8,6.9,,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669fa4a5-e267-45e3-8d99-fd151900e6e1,3005,2,00:42:42.821,87,42,42,Ball Receipt*,189,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,21d39e3a-2bf0-4d5d-8e20-151df538c04d,26690.0,Alberto Mateus Contreiras Gonçalves,23.0,Center Forward,59.8,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59c6277a-cb77-405d-9bfc-50c302c745ec,3006,2,00:42:42.821,87,42,4,Duel,189,360,Rayo Vallecano,4,From Throw In,213,Sevilla,0.0,,216c44e6-c50c-453f-90b3-dd23c07deb0a,7154.0,Sebastián Carlos Cristóforo Pepe,11.0,Left Defensive Midfield,60.4,72.4,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,
216c44e6-c50c-453f-90b3-dd23c07deb0a,3007,2,00:42:42.821,87,42,30,Pass,189,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,1.835422,,59c6277a-cb77-405d-9bfc-50c302c745ec,26690.0,Alberto Mateus Contreiras Gonçalves,23.0,Center Forward,59.7,7.7,23761.0,Alhassane Bangoura,20.8,1.1760052,2.0,Low Pass,67.7,26.9,,,,,,True,,,,,,,,,,,,,,,,,,,,,ff3389ee-4f86-489b-be0e-cd4f063cb493,True,,,,,,,,,,,,,,,,,,,,,,,
a06a5455-01d6-403e-8640-cf95a271d2e4,3008,2,00:42:44.463,87,44,17,Pressure,189,360,Rayo Vallecano,4,From Throw In,213,Sevilla,0.16419,,,10476.0,Timothée Kolodziejczak,5.0,Left Center Back,50.6,52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff3389ee-4f86-489b-be0e-cd4f063cb493,3009,2,00:42:44.657,87,44,42,Ball Receipt*,189,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,216c44e6-c50c-453f-90b3-dd23c07deb0a,23761.0,Alhassane Bangoura,21.0,Left Wing,67.7,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71978dde-9aff-47b6-bace-4e6119653b78,3010,2,00:42:44.657,87,44,43,Carry,189,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.057856,,d096d358-cb75-4726-8b41-ed16ac47d269,23761.0,Alhassane Bangoura,21.0,Left Wing,67.7,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff3389ee-4f86-489b-be0e-cd4f063cb493,,,67.6,28.6,,,,,,,,,,,,,,,,,,,,
d096d358-cb75-4726-8b41-ed16ac47d269,3011,2,00:42:44.715,87,44,30,Pass,189,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,0.597089,,74687c2f-1b2c-4bd5-82d4-a5e01ba1eac9,23761.0,Alhassane Bangoura,21.0,Left Wing,67.6,28.6,,,11.774549,-2.7768579,1.0,Ground Pass,56.6,24.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,
23478265-0ef7-4437-bdce-626805c75c79,3028,2,00:43:27.044,88,27,23,Goal Keeper,192,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,0.0,,f209f2f6-fc6a-44e6-97b4-fa9b06cb27f1,26070.0,Antonio Rodríguez Martínez,1.0,Goalkeeper,8.0,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,Collected,15.0,Success,,,,,,,,,,,,,,,,
3a1b7cce-3953-4182-b61a-ee7945ddf503,3029,2,00:43:27.044,88,27,43,Carry,192,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,9.239879,,23478265-0ef7-4437-bdce-626805c75c79,26070.0,Antonio Rodríguez Martínez,1.0,Goalkeeper,8.0,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e42caf42-952b-4072-bd51-af09e742d39d,,,14.2,53.7,,,,,,,,,,,,,,,,,,,,
e42caf42-952b-4072-bd51-af09e742d39d,3030,2,00:43:36.284,88,36,30,Pass,192,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,2.056116,,16fe0b36-84f5-4504-9073-c2f18aed3d7c,26070.0,Antonio Rodríguez Martínez,1.0,Goalkeeper,14.2,53.7,11298.0,José Ignacio Martínez García,38.06166,0.47774774,3.0,High Pass,48.0,71.2,69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16fe0b36-84f5-4504-9073-c2f18aed3d7c,3031,2,00:43:38.340,88,38,42,Ball Receipt*,192,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,e42caf42-952b-4072-bd51-af09e742d39d,11298.0,José Ignacio Martínez García,2.0,Right Back,48.0,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8890d7b5-b30e-446d-a0e8-a96d09199293,3032,2,00:43:38.340,88,38,43,Carry,192,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,3.234148,,16fe0b36-84f5-4504-9073-c2f18aed3d7c,11298.0,José Ignacio Martínez García,2.0,Right Back,48.0,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b6c80afc-7a1c-440b-ac2a-79105474641d,,,62.1,77.6,,,,,,,,,,,,,,,,,,,,
b6c80afc-7a1c-440b-ac2a-79105474641d,3033,2,00:43:41.574,88,41,30,Pass,192,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,1.62283,,ac9268a3-ef24-42a7-9e38-6bdc4cff2fe9,11298.0,José Ignacio Martínez García,2.0,Right Back,62.1,77.6,23761.0,Alhassane Bangoura,17.663805,0.13629264,1.0,Ground Pass,79.6,80.0,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac9268a3-ef24-42a7-9e38-6bdc4cff2fe9,3034,2,00:43:43.197,88,43,42,Ball Receipt*,192,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,b6c80afc-7a1c-440b-ac2a-79105474641d,23761.0,Alhassane Bangoura,21.0,Left Wing,73.6,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,
