id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry,under_pressure,ball_receipt,counterpress,ball_recovery,interception,duel,dribble,shot,goalkeeper,off_camera,out,clearance,foul_committed,foul_won,block,substitution,miscontrol,injury_stoppage,pass,related_events_1,carry_end_location_0,carry_end_location_1,related_events,duel_type_id,duel_type_name,dribble_outcome_id,dribble_outcome_name,related_events_2,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_switch,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_aerial_won,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,pass_inswinging,pass_technique_id,pass_technique_name,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_aerial_won,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate
844be939-8e01-4bd6-a990-d3918cfe43f6,948,1,00:22:11.590,22,11,30,Pass,51,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.149349,,c987840a-9dca-4486-a38e-473c46fab524,11542,Javier Guerra Rodríguez,23,Center Forward,61.0,40.1,26848.0,Roberto Trashorras Gayoso,17.465681,3.0037441,1.0,Ground Pass,43.7,42.5,65.0,Kick Off,40.0,Right Foot,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c987840a-9dca-4486-a38e-473c46fab524,949,1,00:22:12.739,22,12,42,Ball Receipt*,51,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,844be939-8e01-4bd6-a990-d3918cfe43f6,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,43.7,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75cd7122-ad47-4cb5-ac4b-471fdb2c97be,950,1,00:22:12.739,22,12,30,Pass,51,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.880818,,c8a04409-1ab3-4de5-b99c-62a09c4cceb5,26848,Roberto Trashorras Gayoso,9,Right Defensive Midfield,43.9,31.4,10727.0,Răzvan Dincă Raț,23.117525,-1.6097376,1.0,Ground Pass,43.0,8.3,,,40.0,Right Foot,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8a04409-1ab3-4de5-b99c-62a09c4cceb5,951,1,00:22:14.620,22,14,42,Ball Receipt*,51,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,75cd7122-ad47-4cb5-ac4b-471fdb2c97be,10727,Răzvan Dincă Raț,6,Left Back,43.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ec50c4fc-3bab-43ef-a147-868f41b5bc48,952,1,00:22:15.926,22,15,30,Pass,51,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.76249,,5ac72cab-30ef-4bdc-84b5-6e6ea14ebeaa,10727,Răzvan Dincă Raț,6,Left Back,42.4,6.4,11542.0,Javier Guerra Rodríguez,38.42096,0.20709409,3.0,High Pass,80.0,14.3,,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ac72cab-30ef-4bdc-84b5-6e6ea14ebeaa,953,1,00:22:17.689,22,17,42,Ball Receipt*,51,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,ec50c4fc-3bab-43ef-a147-868f41b5bc48,11542,Javier Guerra Rodríguez,23,Center Forward,80.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63ade4ad-ed65-49c5-9d2d-1afbac8ba35d,954,1,00:22:17.689,22,17,43,Carry,51,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.022138001,,5ac72cab-30ef-4bdc-84b5-6e6ea14ebeaa,11542,Javier Guerra Rodríguez,23,Center Forward,80.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c6dcdb1a-053d-464d-a215-75822ef59e73,80.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6dcdb1a-053d-464d-a215-75822ef59e73,955,1,00:22:17.711,22,17,38,Miscontrol,51,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.0,,,11542,Javier Guerra Rodríguez,23,Center Forward,80.0,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff8a2041-e7da-4f2d-9e36-076012ea5b32,956,1,00:22:19.097,22,19,4,Duel,51,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.0,,cb8f5638-7eeb-4e73-b23e-c4e9dc517571,11542,Javier Guerra Rodríguez,23,Center Forward,79.2,9.8,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05022a8b-13c4-40ae-8eee-2e4b7929be2e,1006,1,00:23:37.018,23,37,30,Pass,55,360,Rayo Vallecano,3,From Free Kick,360,Rayo Vallecano,1.413192,,2094dbd7-0db4-40c8-a70c-73da2a4e9a10,26070,Antonio Rodríguez Martínez,1,Goalkeeper,10.3,37.6,26848.0,Roberto Trashorras Gayoso,18.527008,0.9812967,1.0,Ground Pass,20.6,53.0,62.0,Free Kick,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
