id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,duel,counterpress,ball_receipt,foul_won,shot,block,goalkeeper,off_camera,out,clearance,interception,foul_committed,dribble,ball_recovery,substitution,miscontrol,pass,related_events_1,carry_end_location_0,carry_end_location_1,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events_2,related_events_3,pass_aerial_won,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,related_events,miscontrol_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,goalkeeper_end_location_0,goalkeeper_end_location_1,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,player,position,location
a8d82f63-1b8c-4a3d-87c5-e98b0acaea15,3061,2,00:41:23.565,86,23,30,Pass,204,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.838316,,0b72e303-5baf-40e2-b94b-7774d21afa50,26690.0,Alberto Mateus Contreiras Gonçalves,17.0,Right Wing,61.0,40.1,11542.0,Javier Guerra Rodríguez,1.7029387,-1.6295521,1.0,Ground Pass,60.9,38.4,40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b72e303-5baf-40e2-b94b-7774d21afa50,3062,2,00:41:24.404,86,24,42,Ball Receipt*,204,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,a8d82f63-1b8c-4a3d-87c5-e98b0acaea15,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,60.9,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c43b9a2d-246f-4c81-ae7d-63c1a05286bb,3063,2,00:41:24.404,86,24,43,Carry,204,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.088112,,0b72e303-5baf-40e2-b94b-7774d21afa50,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,60.9,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1dbcda18-4089-4aa6-be07-a6bc98326e98,65.6,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1dbcda18-4089-4aa6-be07-a6bc98326e98,3064,2,00:41:25.492,86,25,30,Pass,204,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,2.433192,,9e8ad8c2-3527-447d-a2fb-7ff37e08ac78,11542.0,Javier Guerra Rodríguez,23.0,Center Forward,65.6,38.5,26685.0,Nicolás Ladislao Fedor Flores,37.215588,-0.53581125,3.0,High Pass,97.6,19.5,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,c1928ef6-beda-4fb6-9777-f3a6f3e3bb25,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1928ef6-beda-4fb6-9777-f3a6f3e3bb25,3065,2,00:41:27.925,86,27,42,Ball Receipt*,204,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,1dbcda18-4089-4aa6-be07-a6bc98326e98,26685.0,Nicolás Ladislao Fedor Flores,19.0,Center Attacking Midfield,95.6,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e8ad8c2-3527-447d-a2fb-7ff37e08ac78,3066,2,00:41:27.925,86,27,30,Pass,204,360,Rayo Vallecano,9,From Kick Off,222,Villarreal,2.192832,,1dbcda18-4089-4aa6-be07-a6bc98326e98,3324.0,Eric Bertrand Bailly,2.0,Right Back,22.5,60.6,6609.0,Denis Suárez Fernández,29.567043,0.256463,2.0,Low Pass,51.1,68.1,37.0,Head,64.0,Interception,,,,,,,,,,,,,,,,,,,,737b82e2-c012-41c6-852f-52d4dc23f013,,,9.0,Incomplete,,,ff45cdb4-6fbc-4433-bc6e-81187e16ee8a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737b82e2-c012-41c6-852f-52d4dc23f013,3067,2,00:41:30.118,86,30,42,Ball Receipt*,204,360,Rayo Vallecano,9,From Kick Off,222,Villarreal,,,9e8ad8c2-3527-447d-a2fb-7ff37e08ac78,6609.0,Denis Suárez Fernández,12.0,Right Midfield,43.4,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff45cdb4-6fbc-4433-bc6e-81187e16ee8a,3068,2,00:41:30.118,86,30,30,Pass,204,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.340653,,0c0dac19-ca8c-4cbb-ac12-6eefac7b75ea,6914.0,Roberto Román Triguero,6.0,Left Back,69.0,12.0,26685.0,Nicolás Ladislao Fedor Flores,17.82414,0.11809203,2.0,Low Pass,86.7,14.1,40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,0e71608e-86cf-4a0c-92d1-87b8be1d2b24,,,9.0,Incomplete,,,9e8ad8c2-3527-447d-a2fb-7ff37e08ac78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e71608e-86cf-4a0c-92d1-87b8be1d2b24,3069,2,00:41:31.459,86,31,42,Ball Receipt*,204,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,ff45cdb4-6fbc-4433-bc6e-81187e16ee8a,26685.0,Nicolás Ladislao Fedor Flores,19.0,Center Attacking Midfield,84.8,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c0dac19-ca8c-4cbb-ac12-6eefac7b75ea,3070,2,00:41:31.459,86,31,30,Pass,204,360,Rayo Vallecano,9,From Kick Off,222,Villarreal,2.505561,,0cafdabc-de50-4057-9c29-da795d96e101,3324.0,Eric Bertrand Bailly,2.0,Right Back,33.4,66.0,26009.0,Roberto Soldado Rillo,31.000645,0.22776596,3.0,High Pass,63.6,73.0,,,66.0,Recovery,,True,,,,,,,,,,,,,,,,,,2956d903-c7e5-46cb-b4f0-b28f672bc2f2,,,9.0,Incomplete,,,e1bf187d-4e8d-4f12-938e-6bcbe43b05a8,ff45cdb4-6fbc-4433-bc6e-81187e16ee8a,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
