id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,ball_receipt,duel,off_camera,interception,out,clearance,shot,goalkeeper,counterpress,dribble,ball_recovery,foul_committed,foul_won,bad_behaviour,substitution,injury_stoppage,block,pass,related_events_1,pass_cross,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,related_events_2,carry_end_location_0,carry_end_location_1,interception_outcome_id,interception_outcome_name,related_events,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_assisted_shot_id,pass_goal_assist,pass_technique_id,pass_technique_name,pass_outswinging,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate,shot_freeze_frame_7_location_0,shot_freeze_frame_7_location_1,shot_freeze_frame_7_player_id,shot_freeze_frame_7_player_name,shot_freeze_frame_7_position_id,shot_freeze_frame_7_position_name,shot_freeze_frame_7_teammate,shot_freeze_frame_8_location_0,shot_freeze_frame_8_location_1,shot_freeze_frame_8_player_id,shot_freeze_frame_8_player_name,shot_freeze_frame_8_position_id,shot_freeze_frame_8_position_name,shot_freeze_frame_8_teammate,shot_freeze_frame_9_location_0,shot_freeze_frame_9_location_1,shot_freeze_frame_9_player_id,shot_freeze_frame_9_player_name,shot_freeze_frame_9_position_id,shot_freeze_frame_9_position_name,shot_freeze_frame_9_teammate,shot_freeze_frame_10_location_0,shot_freeze_frame_10_location_1,shot_freeze_frame_10_player_id,shot_freeze_frame_10_player_name,shot_freeze_frame_10_position_id,shot_freeze_frame_10_position_name,shot_freeze_frame_10_teammate,shot_freeze_frame_11_location_0,shot_freeze_frame_11_location_1,shot_freeze_frame_11_player_id,shot_freeze_frame_11_player_name,shot_freeze_frame_11_position_id,shot_freeze_frame_11_position_name,shot_freeze_frame_11_teammate,shot_freeze_frame_12_location_0,shot_freeze_frame_12_location_1,shot_freeze_frame_12_player_id,shot_freeze_frame_12_player_name,shot_freeze_frame_12_position_id,shot_freeze_frame_12_position_name,shot_freeze_frame_12_teammate,shot_freeze_frame_13_location_0,shot_freeze_frame_13_location_1,shot_freeze_frame_13_player_id,shot_freeze_frame_13_player_name,shot_freeze_frame_13_position_id,shot_freeze_frame_13_position_name,shot_freeze_frame_13_teammate,shot_freeze_frame_14_location_0,shot_freeze_frame_14_location_1,shot_freeze_frame_14_player_id,shot_freeze_frame_14_player_name,shot_freeze_frame_14_position_id,shot_freeze_frame_14_position_name,shot_freeze_frame_14_teammate,shot_freeze_frame_15_location_0,shot_freeze_frame_15_location_1,shot_freeze_frame_15_player_id,shot_freeze_frame_15_player_name,shot_freeze_frame_15_position_id,shot_freeze_frame_15_position_name,shot_freeze_frame_15_teammate
dbd02b3c-7b29-4341-813b-538d678821ee,115,1,00:03:37.719,3,37,30,Pass,8,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.431445,,072e5648-b66a-4490-8f49-d60c4cc47a68,11542,Javier Guerra Rodríguez,23,Center Forward,61.0,40.1,6852.0,Jozabed Sánchez Ruiz,30.170183,1.6770612,1.0,Ground Pass,57.8,70.1,40.0,Right Foot,65.0,Kick Off,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072e5648-b66a-4490-8f49-d60c4cc47a68,116,1,00:03:38.151,3,38,42,Ball Receipt*,8,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,dbd02b3c-7b29-4341-813b-538d678821ee,6852,Jozabed Sánchez Ruiz,19,Center Attacking Midfield,57.8,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b48de18a-d24b-46a5-bac9-f50202be5f6c,117,1,00:03:38.743,3,38,30,Pass,8,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,5.009703,,890f3109-488c-480f-8869-1d040d855755,6852,Jozabed Sánchez Ruiz,19,Center Attacking Midfield,72.8,71.1,23761.0,Alhassane Bangoura,36.306747,0.019281358,3.0,High Pass,109.1,71.8,40.0,Right Foot,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890f3109-488c-480f-8869-1d040d855755,118,1,00:03:43.753,3,43,42,Ball Receipt*,8,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,b48de18a-d24b-46a5-bac9-f50202be5f6c,23761,Alhassane Bangoura,17,Right Wing,109.1,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8360c7de-701e-4934-bcdb-da87cd51f2ff,119,1,00:03:44.790,3,44,30,Pass,8,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.091213,,ab2ca09d-a68e-461c-bef2-c4150bd5d8f7,23761,Alhassane Bangoura,17,Right Wing,111.3,71.4,11542.0,Javier Guerra Rodríguez,29.85649,-1.4161098,1.0,Ground Pass,115.9,41.9,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,c8a427da-0bf4-4ff1-8858-ad3b20a445c2,True,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8a427da-0bf4-4ff1-8858-ad3b20a445c2,120,1,00:03:45.881,3,45,42,Ball Receipt*,8,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,8360c7de-701e-4934-bcdb-da87cd51f2ff,11542,Javier Guerra Rodríguez,23,Center Forward,111.0,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61cc23c1-5252-44bf-a05c-5f806dd11a73,136,1,00:04:04.143,4,4,4,Duel,10,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,0.0,,d5dede1d-5c30-4995-9d03-115d6434e003,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,78.3,79.0,,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,11.0,Tackle,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9572cdf-2d73-4bb5-89a2-eccd7fdc2a3e,137,1,00:04:04.143,4,4,43,Carry,10,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,3.735714,,31371c19-1118-43e8-be8f-4f3a3e65b3f6,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,78.3,79.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,47085602-7f23-4a6d-a14e-749d89e1fe95,,,,,,,,,,61cc23c1-5252-44bf-a05c-5f806dd11a73,82.9,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47085602-7f23-4a6d-a14e-749d89e1fe95,138,1,00:04:06.481,4,6,17,Pressure,10,360,Rayo Vallecano,1,Regular Play,220,Real Madrid,1.421356,,31371c19-1118-43e8-be8f-4f3a3e65b3f6,5552,Marcelo Vieira da Silva Júnior,6,Left Back,44.5,2.1,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,d9572cdf-2d73-4bb5-89a2-eccd7fdc2a3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31371c19-1118-43e8-be8f-4f3a3e65b3f6,139,1,00:04:07.878,4,7,30,Pass,10,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,1.092687,,47085602-7f23-4a6d-a14e-749d89e1fe95,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,82.9,72.5,4711.0,Pablo Hernández Domínguez,24.535076,-1.7593992,1.0,Ground Pass,78.3,48.4,40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,a907a55a-a93e-448b-8333-2fe61bda95db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
