id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,duration,tactics,related_events_0,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry,under_pressure,out,ball_receipt,off_camera,duel,clearance,counterpress,dribble,foul_committed,foul_won,interception,shot,goalkeeper,block,ball_recovery,substitution,pass,related_events_1,related_events_2,carry_end_location_0,carry_end_location_1,duel_type_id,duel_type_name,pass_aerial_won,pass_cross,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,related_events,location,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_goal_assist,shot_open_goal,shot_statsbomb_xg,shot_end_location_0,shot_end_location_1,shot_end_location_2,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame_0_location_0,shot_freeze_frame_0_location_1,shot_freeze_frame_0_player_id,shot_freeze_frame_0_player_name,shot_freeze_frame_0_position_id,shot_freeze_frame_0_position_name,shot_freeze_frame_0_teammate,shot_freeze_frame_1_location_0,shot_freeze_frame_1_location_1,shot_freeze_frame_1_player_id,shot_freeze_frame_1_player_name,shot_freeze_frame_1_position_id,shot_freeze_frame_1_position_name,shot_freeze_frame_1_teammate,shot_freeze_frame_2_location_0,shot_freeze_frame_2_location_1,shot_freeze_frame_2_player_id,shot_freeze_frame_2_player_name,shot_freeze_frame_2_position_id,shot_freeze_frame_2_position_name,shot_freeze_frame_2_teammate,shot_freeze_frame_3_location_0,shot_freeze_frame_3_location_1,shot_freeze_frame_3_player_id,shot_freeze_frame_3_player_name,shot_freeze_frame_3_position_id,shot_freeze_frame_3_position_name,shot_freeze_frame_3_teammate,shot_freeze_frame_4_location_0,shot_freeze_frame_4_location_1,shot_freeze_frame_4_player_id,shot_freeze_frame_4_player_name,shot_freeze_frame_4_position_id,shot_freeze_frame_4_position_name,shot_freeze_frame_4_teammate,shot_freeze_frame_5_location_0,shot_freeze_frame_5_location_1,shot_freeze_frame_5_player_id,shot_freeze_frame_5_player_name,shot_freeze_frame_5_position_id,shot_freeze_frame_5_position_name,shot_freeze_frame_5_teammate,shot_freeze_frame_6_location_0,shot_freeze_frame_6_location_1,shot_freeze_frame_6_player_id,shot_freeze_frame_6_player_name,shot_freeze_frame_6_position_id,shot_freeze_frame_6_position_name,shot_freeze_frame_6_teammate
ed176c7a-3691-44b1-8cf9-1c47d9cde1a4,2013,2,00:08:52.447,53,52,30,Pass,120,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,1.4233,,19ff9a57-41b3-4e57-b6d1-98e4d9adfd9b,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,61.0,40.1,26848.0,Roberto Trashorras Gayoso,21.780725,-2.3432083,1.0,Ground Pass,45.8,24.5,40.0,Right Foot,65.0,Kick Off,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19ff9a57-41b3-4e57-b6d1-98e4d9adfd9b,2014,2,00:08:53.870,53,53,42,Ball Receipt*,120,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,ed176c7a-3691-44b1-8cf9-1c47d9cde1a4,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,45.8,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76a5f6dd-eaa8-4d07-83f7-103c4ad7cce9,2015,2,00:08:54.020,53,54,30,Pass,120,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.9944,,4e87e5ed-6ce7-4ced-8b1b-8dddd2be12cb,26848,Roberto Trashorras Gayoso,15,Left Center Midfield,46.9,15.6,11539.0,Adrián Embarba Blázquez,20.900957,0.6530702,1.0,Ground Pass,63.5,28.3,38.0,Left Foot,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c82fd35d-fd9a-4014-89a9-1bbe3f26629f,2016,2,00:08:54.966,53,54,17,Pressure,120,360,Rayo Vallecano,9,From Kick Off,217,Barcelona,0.980037,,4e87e5ed-6ce7-4ced-8b1b-8dddd2be12cb,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,56.6,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8eb6f147-a0e7-4b5b-8545-354f192fc713,b60403bb-faf0-4f25-9cac-bb760d5c397b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e87e5ed-6ce7-4ced-8b1b-8dddd2be12cb,2017,2,00:08:55.015,53,55,42,Ball Receipt*,120,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,,,76a5f6dd-eaa8-4d07-83f7-103c4ad7cce9,11539,Adrián Embarba Blázquez,17,Right Wing,63.5,28.3,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,c82fd35d-fd9a-4014-89a9-1bbe3f26629f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b60403bb-faf0-4f25-9cac-bb760d5c397b,2018,2,00:08:55.015,53,55,43,Carry,120,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.6661,,4e87e5ed-6ce7-4ced-8b1b-8dddd2be12cb,11539,Adrián Embarba Blázquez,17,Right Wing,63.5,28.3,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,8eb6f147-a0e7-4b5b-8545-354f192fc713,c82fd35d-fd9a-4014-89a9-1bbe3f26629f,65.1,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8eb6f147-a0e7-4b5b-8545-354f192fc713,2019,2,00:08:55.681,53,55,3,Dispossessed,120,360,Rayo Vallecano,9,From Kick Off,360,Rayo Vallecano,0.0,,c82fd35d-fd9a-4014-89a9-1bbe3f26629f,11539,Adrián Embarba Blázquez,17,Right Wing,65.1,25.9,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,e4ab8a9c-2c40-4c20-8a87-2c5031884ba6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63f36109-b8a8-4c96-8680-f2bfd414fbc8,2066,2,00:09:56.648,54,56,30,Pass,122,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,1.7414,,7003a26a-c4c8-42c1-87f4-4127033bbc8a,24255,Juan Carlos Martín Corral,1,Goalkeeper,7.0,44.1,26690.0,Alberto Mateus Contreiras Gonçalves,69.23121,0.3912356,3.0,High Pass,71.0,70.5,40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7003a26a-c4c8-42c1-87f4-4127033bbc8a,2067,2,00:09:58.389,54,58,42,Ball Receipt*,122,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,,,63f36109-b8a8-4c96-8680-f2bfd414fbc8,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,71.0,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e7c407f-c02b-4f6c-9cc8-259a35f15ffa,2068,2,00:09:58.429,54,58,4,Duel,122,360,Rayo Vallecano,7,From Goal Kick,217,Barcelona,0.0,,635d225c-de69-46b3-a727-9224184dd7eb,10609,Jérémy Mathieu,6,Left Back,49.1,10.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635d225c-de69-46b3-a727-9224184dd7eb,2069,2,00:09:58.429,54,58,30,Pass,122,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,2.926627,,308654f5-d6bb-49e5-8067-3bc22429d66e,26690,Alberto Mateus Contreiras Gonçalves,23,Center Forward,71.0,69.9,11539.0,Adrián Embarba Blázquez,26.652767,0.20401798,2.0,Low Pass,97.1,75.3,,,,,,True,,,,,,,,,,,,,,,,,9e7c407f-c02b-4f6c-9cc8-259a35f15ffa,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308654f5-d6bb-49e5-8067-3bc22429d66e,2070,2,00:10:01.356,55,1,42,Ball Receipt*,122,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,,,635d225c-de69-46b3-a727-9224184dd7eb,11539,Adrián Embarba Blázquez,17,Right Wing,97.1,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8702d778-a786-419b-942b-6b7259b2b8c6,2071,2,00:10:01.356,55,1,43,Carry,122,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,1.585873,,308654f5-d6bb-49e5-8067-3bc22429d66e,11539,Adrián Embarba Blázquez,17,Right Wing,97.1,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64663cbb-9094-470e-869a-dfb59942ea54,,108.2,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64663cbb-9094-470e-869a-dfb59942ea54,2072,2,00:10:02.942,55,2,30,Pass,122,360,Rayo Vallecano,7,From Goal Kick,360,Rayo Vallecano,1.869113,,abf79623-27b7-47ed-93ac-8dc39d251782,11539,Adrián Embarba Blázquez,17,Right Wing,108.2,75.8,26797.0,Francisco Medina Luna,30.602613,-1.1890763,3.0,High Pass,119.6,47.4,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
