index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
49,1,0,50,30,Rayo Vallecano,Pass,3,From Goal Kick,26070.0,Antonio Rodríguez Martínez,1.0,Goalkeeper,6.0,36.0,26607.0,José Raúl Baena Urdiales,11.871394,1.0,Ground Pass,17.8,37.3,Right Foot,
51,1,0,54,30,Rayo Vallecano,Pass,3,From Goal Kick,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,22.2,24.7,26222.0,José Eduardo Rosa Vale de Castro,20.660349,1.0,Ground Pass,28.1,4.9,Right Foot,
54,1,0,57,30,Rayo Vallecano,Pass,3,From Goal Kick,26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,28.1,7.1,26848.0,Roberto Trashorras Gayoso,24.87127,1.0,Ground Pass,36.8,30.4,Right Foot,
57,1,1,1,30,Rayo Vallecano,Pass,3,From Goal Kick,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,37.9,37.1,6914.0,Roberto Román Triguero,51.385796,3.0,High Pass,72.6,75.0,Right Foot,
61,1,1,4,30,Rayo Vallecano,Pass,3,From Goal Kick,6914.0,Roberto Román Triguero,2.0,Right Back,69.1,73.7,6713.0,Diego Javier Llorente Ríos,22.323082,1.0,Ground Pass,48.5,65.1,Right Foot,
64,1,1,8,30,Rayo Vallecano,Pass,3,From Goal Kick,6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,45.7,60.1,26607.0,José Raúl Baena Urdiales,18.393476,1.0,Ground Pass,33.1,46.7,Right Foot,
67,1,1,14,30,Rayo Vallecano,Pass,3,From Goal Kick,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,41.8,41.1,6713.0,Diego Javier Llorente Ríos,27.501637,1.0,Ground Pass,41.5,68.6,Right Foot,
70,1,1,18,30,Rayo Vallecano,Pass,3,From Goal Kick,6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,45.2,65.9,9246.0,Patrick Ebert,17.297688,1.0,Ground Pass,61.6,60.4,Left Foot,
73,1,1,19,30,Rayo Vallecano,Pass,3,From Goal Kick,9246.0,Patrick Ebert,12.0,Right Midfield,61.4,68.1,6914.0,Roberto Román Triguero,16.76216,1.0,Ground Pass,73.5,79.7,Right Foot,Out
77,1,1,45,30,Rayo Vallecano,Pass,5,Regular Play,26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,34.4,51.1,26685.0,Nicolás Ladislao Fedor Flores,17.318487,3.0,High Pass,51.7,51.9,,
80,1,1,47,30,Rayo Vallecano,Pass,5,Regular Play,26685.0,Nicolás Ladislao Fedor Flores,22.0,Right Center Forward,51.2,51.7,7900.0,Tiago Manuel Dias Correia,12.432618,3.0,High Pass,45.6,40.6,,
84,1,1,51,30,Rayo Vallecano,Pass,5,Regular Play,7900.0,Tiago Manuel Dias Correia,16.0,Left Midfield,52.6,34.3,11298.0,José Ignacio Martínez García,37.93046,1.0,Ground Pass,70.2,0.7,Right Foot,
86,1,1,55,30,Rayo Vallecano,Pass,5,Regular Play,11298.0,José Ignacio Martínez García,6.0,Left Back,70.2,0.7,26690.0,Alberto Mateus Contreiras Gonçalves,41.258698,1.0,Ground Pass,111.4,2.9,Left Foot,Incomplete
93,1,2,5,30,Rayo Vallecano,Pass,5,Regular Play,11298.0,José Ignacio Martínez García,6.0,Left Back,89.5,1.6,26848.0,Roberto Trashorras Gayoso,9.265528,1.0,Ground Pass,88.4,10.8,Other,
96,1,2,7,30,Rayo Vallecano,Pass,5,Regular Play,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,84.8,14.2,6713.0,Diego Javier Llorente Ríos,29.954632,1.0,Ground Pass,68.0,39.0,Right Foot,
100,1,2,11,30,Rayo Vallecano,Pass,5,Regular Play,6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,71.0,48.8,6914.0,Roberto Román Triguero,36.554752,1.0,Ground Pass,99.0,72.3,Right Foot,
106,1,2,31,30,Rayo Vallecano,Pass,6,From Throw In,6914.0,Roberto Román Triguero,2.0,Right Back,111.8,80.0,26690.0,Alberto Mateus Contreiras Gonçalves,27.009073,3.0,High Pass,112.5,53.0,,
109,1,2,33,30,Rayo Vallecano,Pass,6,From Throw In,26690.0,Alberto Mateus Contreiras Gonçalves,24.0,Left Center Forward,112.5,53.0,26685.0,Nicolás Ladislao Fedor Flores,10.904128,3.0,High Pass,106.2,44.1,,Incomplete
113,1,2,36,30,Rayo Vallecano,Pass,6,From Throw In,11298.0,José Ignacio Martínez García,6.0,Left Back,90.3,30.9,7900.0,Tiago Manuel Dias Correia,9.984989,2.0,Low Pass,99.0,26.0,Other,
129,1,3,51,30,Rayo Vallecano,Pass,11,From Throw In,6914.0,Roberto Román Triguero,2.0,Right Back,7.4,80.0,,,28.992758,3.0,High Pass,34.1,68.7,,Unknown
132,1,4,9,30,Rayo Vallecano,Pass,12,From Free Kick,6914.0,Roberto Román Triguero,2.0,Right Back,34.1,68.7,26222.0,José Eduardo Rosa Vale de Castro,63.870495,1.0,Ground Pass,37.1,4.9,Right Foot,
135,1,4,12,30,Rayo Vallecano,Pass,12,From Free Kick,26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,33.6,4.2,26607.0,José Raúl Baena Urdiales,18.124569,1.0,Ground Pass,29.7,21.9,Right Foot,
138,1,4,14,30,Rayo Vallecano,Pass,12,From Free Kick,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,31.1,24.9,26848.0,Roberto Trashorras Gayoso,37.631504,1.0,Ground Pass,46.8,59.1,Right Foot,
142,1,4,19,30,Rayo Vallecano,Pass,12,From Free Kick,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,42.1,37.6,26607.0,José Raúl Baena Urdiales,14.091132,1.0,Ground Pass,28.1,36.0,Right Foot,
145,1,4,21,30,Rayo Vallecano,Pass,12,From Free Kick,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,28.4,36.0,26070.0,Antonio Rodríguez Martínez,19.300259,1.0,Ground Pass,9.1,35.9,Left Foot,
147,1,4,23,30,Rayo Vallecano,Pass,12,From Free Kick,26070.0,Antonio Rodríguez Martínez,1.0,Goalkeeper,8.8,35.9,,,67.20305,3.0,High Pass,72.3,57.9,Left Foot,Incomplete
150,1,4,41,30,Rayo Vallecano,Pass,13,From Throw In,6914.0,Roberto Román Triguero,2.0,Right Back,52.6,80.0,6713.0,Diego Javier Llorente Ríos,23.70232,2.0,Low Pass,32.4,67.6,,
153,1,4,44,30,Rayo Vallecano,Pass,13,From Throw In,6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,33.6,61.6,26222.0,José Eduardo Rosa Vale de Castro,34.77542,1.0,Ground Pass,27.3,27.4,Right Foot,
156,1,4,50,30,Rayo Vallecano,Pass,13,From Throw In,26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,47.3,12.8,7900.0,Tiago Manuel Dias Correia,15.17432,1.0,Ground Pass,57.2,1.3,Right Foot,
159,1,4,54,30,Rayo Vallecano,Pass,13,From Throw In,7900.0,Tiago Manuel Dias Correia,16.0,Left Midfield,57.3,1.6,26690.0,Alberto Mateus Contreiras Gonçalves,36.34969,2.0,Low Pass,82.6,27.7,Right Foot,
167,1,5,3,30,Rayo Vallecano,Pass,13,From Throw In,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,63.8,51.9,6914.0,Roberto Román Triguero,25.662813,1.0,Ground Pass,76.5,74.2,Right Foot,
169,1,5,4,30,Rayo Vallecano,Pass,13,From Throw In,6914.0,Roberto Román Triguero,2.0,Right Back,76.5,74.2,6713.0,Diego Javier Llorente Ríos,10.220078,1.0,Ground Pass,68.3,68.1,Right Foot,
172,1,5,5,30,Rayo Vallecano,Pass,13,From Throw In,6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,68.3,68.1,26848.0,Roberto Trashorras Gayoso,15.673225,1.0,Ground Pass,64.1,53.0,Right Foot,
176,1,5,8,30,Rayo Vallecano,Pass,13,From Throw In,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,63.3,51.7,11298.0,José Ignacio Martínez García,32.93888,1.0,Ground Pass,64.9,18.8,Right Foot,
179,1,5,9,30,Rayo Vallecano,Pass,13,From Throw In,11298.0,José Ignacio Martínez García,6.0,Left Back,63.6,18.8,7900.0,Tiago Manuel Dias Correia,20.601456,1.0,Ground Pass,76.7,2.9,Left Foot,
189,1,5,26,30,Rayo Vallecano,Pass,16,Regular Play,26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,39.3,24.7,26607.0,José Raúl Baena Urdiales,13.601471,3.0,High Pass,50.3,16.7,Head,
192,1,5,29,30,Rayo Vallecano,Pass,16,Regular Play,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,49.6,7.6,7900.0,Tiago Manuel Dias Correia,8.653901,1.0,Ground Pass,57.6,4.3,Left Foot,
196,1,5,33,30,Rayo Vallecano,Pass,16,Regular Play,7900.0,Tiago Manuel Dias Correia,16.0,Left Midfield,43.0,2.1,11298.0,José Ignacio Martínez García,15.498387,1.0,Ground Pass,28.4,7.3,Right Foot,
199,1,5,36,30,Rayo Vallecano,Pass,16,Regular Play,11298.0,José Ignacio Martínez García,6.0,Left Back,28.4,7.3,26848.0,Roberto Trashorras Gayoso,8.640023,1.0,Ground Pass,35.3,12.5,Left Foot,
202,1,5,38,30,Rayo Vallecano,Pass,16,Regular Play,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,35.3,12.5,7900.0,Tiago Manuel Dias Correia,12.121056,1.0,Ground Pass,42.7,2.9,Right Foot,
206,1,5,39,30,Rayo Vallecano,Pass,16,Regular Play,7900.0,Tiago Manuel Dias Correia,16.0,Left Midfield,41.8,1.6,26607.0,José Raúl Baena Urdiales,13.842326,1.0,Ground Pass,48.7,13.6,Left Foot,Incomplete
213,1,5,45,30,Rayo Vallecano,Pass,16,Regular Play,26685.0,Nicolás Ladislao Fedor Flores,22.0,Right Center Forward,54.2,15.8,9246.0,Patrick Ebert,38.428246,1.0,Ground Pass,70.5,50.6,Right Foot,
216,1,5,48,30,Rayo Vallecano,Pass,16,Regular Play,9246.0,Patrick Ebert,12.0,Right Midfield,70.8,51.4,6914.0,Roberto Román Triguero,19.349419,1.0,Ground Pass,73.2,70.6,Right Foot,
219,1,5,50,30,Rayo Vallecano,Pass,16,Regular Play,6914.0,Roberto Román Triguero,2.0,Right Back,75.2,70.8,9246.0,Patrick Ebert,24.5,1.0,Ground Pass,99.7,70.8,Right Foot,
222,1,5,54,30,Rayo Vallecano,Pass,16,Regular Play,9246.0,Patrick Ebert,12.0,Right Midfield,110.7,70.3,26690.0,Alberto Mateus Contreiras Gonçalves,24.151398,1.0,Ground Pass,113.4,46.3,Right Foot,Incomplete
227,1,5,57,30,Rayo Vallecano,Pass,16,Regular Play,26685.0,Nicolás Ladislao Fedor Flores,22.0,Right Center Forward,106.2,42.3,26848.0,Roberto Trashorras Gayoso,12.56702,1.0,Ground Pass,95.0,48.0,Right Foot,
285,1,7,27,30,Rayo Vallecano,Pass,21,Regular Play,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,34.1,47.0,9246.0,Patrick Ebert,10.4,1.0,Ground Pass,34.1,57.4,Right Foot,
288,1,7,28,30,Rayo Vallecano,Pass,21,Regular Play,9246.0,Patrick Ebert,12.0,Right Midfield,34.1,57.4,26848.0,Roberto Trashorras Gayoso,4.3965898,1.0,Ground Pass,38.3,56.1,Right Foot,Incomplete
294,1,7,58,30,Rayo Vallecano,Pass,22,From Free Kick,6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,36.6,59.4,26607.0,José Raúl Baena Urdiales,9.035485,1.0,Ground Pass,40.8,51.4,Right Foot,
296,1,7,59,30,Rayo Vallecano,Pass,22,From Free Kick,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,40.8,51.4,6713.0,Diego Javier Llorente Ríos,9.848858,1.0,Ground Pass,36.8,60.4,Left Foot,
299,1,8,1,30,Rayo Vallecano,Pass,22,From Free Kick,6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,36.8,60.4,26607.0,José Raúl Baena Urdiales,10.55462,1.0,Ground Pass,35.0,50.0,Right Foot,
303,1,8,5,30,Rayo Vallecano,Pass,22,From Free Kick,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,52.5,61.6,6914.0,Roberto Román Triguero,21.343384,1.0,Ground Pass,65.0,78.9,Left Foot,Out
311,1,8,40,30,Rayo Vallecano,Pass,24,From Throw In,6914.0,Roberto Román Triguero,2.0,Right Back,56.7,80.0,26690.0,Alberto Mateus Contreiras Gonçalves,19.734488,3.0,High Pass,71.0,66.4,,Incomplete
317,1,8,56,30,Rayo Vallecano,Pass,26,Regular Play,26070.0,Antonio Rodríguez Martínez,1.0,Goalkeeper,12.7,26.0,11298.0,José Ignacio Martínez García,38.79639,2.0,Low Pass,45.7,5.6,Keeper Arm,
320,1,9,2,30,Rayo Vallecano,Pass,26,Regular Play,11298.0,José Ignacio Martínez García,6.0,Left Back,73.5,3.8,26685.0,Nicolás Ladislao Fedor Flores,15.184531,1.0,Ground Pass,88.6,5.4,Left Foot,
325,1,9,3,30,Rayo Vallecano,Pass,26,Regular Play,26685.0,Nicolás Ladislao Fedor Flores,22.0,Right Center Forward,88.4,3.8,7900.0,Tiago Manuel Dias Correia,7.088018,1.0,Ground Pass,86.4,10.6,Right Foot,
359,1,9,24,30,Rayo Vallecano,Pass,28,Regular Play,6713.0,Diego Javier Llorente Ríos,3.0,Right Center Back,8.3,55.7,9246.0,Patrick Ebert,14.073024,1.0,Ground Pass,22.2,57.9,Right Foot,
363,1,9,26,30,Rayo Vallecano,Pass,28,Regular Play,9246.0,Patrick Ebert,12.0,Right Midfield,22.8,58.3,26607.0,José Raúl Baena Urdiales,9.180959,1.0,Ground Pass,17.8,50.6,Right Foot,
365,1,9,27,30,Rayo Vallecano,Pass,28,Regular Play,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,17.8,50.6,6914.0,Roberto Román Triguero,21.445745,1.0,Ground Pass,19.2,72.0,Left Foot,
368,1,9,29,30,Rayo Vallecano,Pass,28,Regular Play,6914.0,Roberto Román Triguero,2.0,Right Back,19.2,72.0,26848.0,Roberto Trashorras Gayoso,17.088007,1.0,Ground Pass,28.4,57.6,Right Foot,
371,1,9,35,30,Rayo Vallecano,Pass,28,Regular Play,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,45.6,40.8,26685.0,Nicolás Ladislao Fedor Flores,23.671291,1.0,Ground Pass,56.9,20.0,Right Foot,
374,1,9,37,30,Rayo Vallecano,Pass,28,Regular Play,26685.0,Nicolás Ladislao Fedor Flores,22.0,Right Center Forward,55.6,12.0,11298.0,José Ignacio Martínez García,12.869344,1.0,Ground Pass,46.5,2.9,Right Foot,
376,1,9,39,30,Rayo Vallecano,Pass,28,Regular Play,11298.0,José Ignacio Martínez García,6.0,Left Back,46.0,4.6,26848.0,Roberto Trashorras Gayoso,16.593975,1.0,Ground Pass,50.4,20.6,Left Foot,
379,1,9,41,30,Rayo Vallecano,Pass,28,Regular Play,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,51.7,18.4,26685.0,Nicolás Ladislao Fedor Flores,29.811743,1.0,Ground Pass,81.2,22.7,Right Foot,Incomplete
396,1,10,27,30,Rayo Vallecano,Pass,31,Regular Play,9246.0,Patrick Ebert,12.0,Right Midfield,28.9,63.4,26690.0,Alberto Mateus Contreiras Gonçalves,12.228655,2.0,Low Pass,36.6,53.9,Right Foot,
401,1,10,30,30,Rayo Vallecano,Pass,31,Regular Play,26690.0,Alberto Mateus Contreiras Gonçalves,24.0,Left Center Forward,36.6,53.0,7900.0,Tiago Manuel Dias Correia,33.5276,1.0,Ground Pass,40.5,19.7,Left Foot,
474,1,12,14,30,Rayo Vallecano,Pass,34,Regular Play,26222.0,José Eduardo Rosa Vale de Castro,5.0,Left Center Back,31.4,36.0,26690.0,Alberto Mateus Contreiras Gonçalves,18.958902,1.0,Ground Pass,45.2,23.0,Right Foot,
477,1,12,16,30,Rayo Vallecano,Pass,34,Regular Play,26690.0,Alberto Mateus Contreiras Gonçalves,24.0,Left Center Forward,42.1,19.7,26607.0,José Raúl Baena Urdiales,8.4386015,1.0,Ground Pass,35.7,25.2,Left Foot,
480,1,12,17,30,Rayo Vallecano,Pass,34,Regular Play,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,35.7,25.2,9246.0,Patrick Ebert,18.528357,1.0,Ground Pass,49.0,12.3,Left Foot,
484,1,12,20,30,Rayo Vallecano,Pass,34,Regular Play,9246.0,Patrick Ebert,12.0,Right Midfield,50.0,12.0,7900.0,Tiago Manuel Dias Correia,65.49114,3.0,High Pass,70.5,74.2,Right Foot,
544,1,14,34,30,Rayo Vallecano,Pass,38,Regular Play,6914.0,Roberto Román Triguero,2.0,Right Back,27.2,53.6,26607.0,José Raúl Baena Urdiales,10.532331,1.0,Ground Pass,29.4,43.3,Right Foot,
546,1,14,34,30,Rayo Vallecano,Pass,38,Regular Play,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,29.4,43.3,26848.0,Roberto Trashorras Gayoso,9.78366,1.0,Ground Pass,36.8,49.7,Right Foot,
550,1,14,37,30,Rayo Vallecano,Pass,38,Regular Play,26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,42.7,51.1,,,22.240728,1.0,Ground Pass,60.6,64.3,Right Foot,Unknown
553,1,15,0,30,Rayo Vallecano,Pass,39,From Free Kick,26607.0,José Raúl Baena Urdiales,11.0,Left Defensive Midfield,50.0,56.6,6713.0,Diego Javier Llorente Ríos,13.8351,1.0,Ground Pass,55.0,69.5,Left Foot,
