index,period,minute,second,type_id,team_name,type_name,possession,play_pattern_name,player_id,player_name,position_id,position_name,location_0,location_1,pass_recipient_id,pass_recipient_name,pass_length,pass_height_id,pass_height_name,pass_end_location_0,pass_end_location_1,pass_body_part_name,pass_outcome_name
38,1,0,21,30,Rayo Vallecano,Pass,3,Regular Play,7900,Tiago Manuel Dias Correia,21,Left Wing,62.6,14.1,,,1.5811388,1.0,Ground Pass,63.1,15.6,Right Foot,Incomplete
46,1,0,33,30,Rayo Vallecano,Pass,4,From Free Kick,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,68.6,15.6,7900.0,Tiago Manuel Dias Correia,40.0005,3.0,High Pass,108.4,11.6,Right Foot,
63,1,1,22,30,Rayo Vallecano,Pass,6,Regular Play,6713,Diego Javier Llorente Ríos,9,Right Defensive Midfield,69.7,62.0,26848.0,Roberto Trashorras Gayoso,2.9698484,1.0,Ground Pass,67.6,59.9,Right Foot,
66,1,1,23,30,Rayo Vallecano,Pass,6,Regular Play,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,67.6,59.9,6713.0,Diego Javier Llorente Ríos,10.551303,3.0,High Pass,70.3,70.1,Left Foot,
68,1,1,25,30,Rayo Vallecano,Pass,6,Regular Play,6713,Diego Javier Llorente Ríos,9,Right Defensive Midfield,71.7,70.6,26848.0,Roberto Trashorras Gayoso,8.653901,2.0,Low Pass,68.4,62.6,Head,
71,1,1,27,30,Rayo Vallecano,Pass,6,Regular Play,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,68.4,62.4,24138.0,Joaquín José Marín Ruiz,14.732956,1.0,Ground Pass,62.5,75.9,Right Foot,
78,1,1,31,30,Rayo Vallecano,Pass,6,Regular Play,24138,Joaquín José Marín Ruiz,2,Right Back,60.6,69.9,7900.0,Tiago Manuel Dias Correia,56.544582,3.0,High Pass,105.4,35.4,Right Foot,Incomplete
110,1,2,12,30,Rayo Vallecano,Pass,8,Regular Play,4711,Pablo Hernández Domínguez,17,Right Wing,39.0,72.6,26685.0,Nicolás Ladislao Fedor Flores,15.261062,1.0,Ground Pass,53.9,75.9,Right Foot,
114,1,2,15,30,Rayo Vallecano,Pass,8,Regular Play,26685,Nicolás Ladislao Fedor Flores,23,Center Forward,55.4,77.0,4711.0,Pablo Hernández Domínguez,4.5891175,1.0,Ground Pass,50.9,77.9,Left Foot,
118,1,2,16,30,Rayo Vallecano,Pass,8,Regular Play,4711,Pablo Hernández Domínguez,17,Right Wing,50.9,77.9,26848.0,Roberto Trashorras Gayoso,9.500526,1.0,Ground Pass,50.8,68.4,Right Foot,
122,1,2,17,30,Rayo Vallecano,Pass,8,Regular Play,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,51.4,67.7,24138.0,Joaquín José Marín Ruiz,10.840664,1.0,Ground Pass,42.8,74.3,Left Foot,
126,1,2,19,30,Rayo Vallecano,Pass,8,Regular Play,24138,Joaquín José Marín Ruiz,2,Right Back,42.8,74.3,4711.0,Pablo Hernández Domínguez,0.0,1.0,Ground Pass,42.8,74.3,Right Foot,
130,1,2,20,30,Rayo Vallecano,Pass,8,Regular Play,4711,Pablo Hernández Domínguez,17,Right Wing,51.4,77.9,24138.0,Joaquín José Marín Ruiz,0.0,1.0,Ground Pass,51.4,77.9,Right Foot,
133,1,2,21,30,Rayo Vallecano,Pass,8,Regular Play,24138,Joaquín José Marín Ruiz,2,Right Back,45.4,71.6,26848.0,Roberto Trashorras Gayoso,7.220111,1.0,Ground Pass,51.2,67.3,Right Foot,
136,1,2,23,30,Rayo Vallecano,Pass,8,Regular Play,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,51.2,67.3,6852.0,Jozabed Sánchez Ruiz,20.616741,2.0,Low Pass,54.8,47.0,Right Foot,
142,1,2,40,30,Rayo Vallecano,Pass,9,From Free Kick,6914,Roberto Román Triguero,3,Right Center Back,53.9,44.5,11543.0,José Antonio Dorado Ramírez,21.414948,1.0,Ground Pass,53.1,23.1,Right Foot,
145,1,2,43,30,Rayo Vallecano,Pass,9,From Free Kick,11543,José Antonio Dorado Ramírez,5,Left Center Back,53.7,23.1,11298.0,José Ignacio Martínez García,32.890728,1.0,Ground Pass,79.5,2.7,Left Foot,
148,1,2,46,30,Rayo Vallecano,Pass,9,From Free Kick,11298,José Ignacio Martínez García,6,Left Back,94.4,5.7,26685.0,Nicolás Ladislao Fedor Flores,38.79923,3.0,High Pass,108.1,42.0,Left Foot,Incomplete
151,1,3,21,30,Rayo Vallecano,Pass,10,From Corner,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,120.0,80.0,11543.0,José Antonio Dorado Ramírez,26.870058,3.0,High Pass,116.2,53.4,Right Foot,Incomplete
155,1,3,38,30,Rayo Vallecano,Pass,11,From Corner,26848,Roberto Trashorras Gayoso,11,Left Defensive Midfield,120.0,80.0,,,31.196955,3.0,High Pass,116.5,49.0,Right Foot,Incomplete
