,inDegree_players,inDegree_players,inDegree_players,outDegree_players,outDegree_players,outDegree_players,clustering_coefficients,clustering_coefficients,clustering_coefficients,betweenness_centralities,betweenness_centralities,betweenness_centralities,closeness_centralities,closeness_centralities,closeness_centralities,eigenvector_centrality,eigenvector_centrality,eigenvector_centrality,eccentricity,eccentricity,eccentricity
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,4.8,0.75,5,5.4,1.02,5,0.68,0.0,1,0.04,0.0,1,0.71,0.0,1,0.2,0.0,1,2.0,0.0,1
0_2,0.5,0.5,2,2.0,0.0,2,0.5,0.0,1,0.0,0.0,1,0.0,0.0,1,0.34,0.0,1,3.0,0.0,1
1_2,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.08,0.0,1,0.37,0.0,1,0.2,0.0,1,2.0,0.0,1
1_0,6.75,1.92,8,6.25,1.79,8,0.46,0.0,1,0.14,0.0,1,0.67,0.0,1,0.33,0.0,1,2.0,0.0,1
2_0,2.67,1.89,6,2.67,1.89,6,0.58,0.0,1,0.03,0.0,1,0.59,0.0,1,0.22,0.0,1,2.0,0.0,1
3_0,4.14,1.46,7,4.14,0.99,7,0.32,0.0,1,0.19,0.0,1,0.67,0.0,1,0.26,0.0,1,2.0,0.0,1
4_0,3.6,1.96,5,4.8,2.04,5,0.53,0.0,1,0.1,0.0,1,0.62,0.0,1,0.26,0.0,1,2.0,0.0,1
5_0,4.0,2.0,2,5.0,1.0,2,0.28,0.0,1,0.22,0.0,1,0.67,0.0,1,0.39,0.0,1,3.0,0.0,1
6_0,3.0,0.0,1,3.0,0.0,1,0.17,0.0,1,0.12,0.0,1,0.56,0.0,1,0.3,0.0,1,3.0,0.0,1
7_0,3.0,0.0,1,3.0,0.0,1,0.17,0.0,1,0.12,0.0,1,0.56,0.0,1,0.56,0.0,1,0.56,0.0,1
8_0,3.0,0.0,1,3.0,0.0,1,0.17,0.0,1,0.12,0.0,1,0.56,0.0,1,0.56,0.0,1,0.56,0.0,1
1_1,2.8,1.6,5,3.2,1.72,5,0.7,0.0,1,0.04,0.0,1,0.67,0.0,1,0.3,0.0,1,2.0,0.0,1
2_1,4.43,2.26,7,4.29,2.6,7,0.0,0.0,1,0.0,0.0,1,0.36,0.0,1,0.02,0.0,1,3.0,0.0,1
3_1,5.0,2.45,4,5.75,2.95,4,0.5,0.0,1,0.03,0.0,1,0.35,0.0,1,0.28,0.0,1,2.0,0.0,1
4_1,3.0,0.0,1,5.0,0.0,1,0.56,0.0,1,0.03,0.0,1,0.55,0.0,1,0.23,0.0,1,3.0,0.0,1
0_3,5.0,0.0,1,5.0,0.0,1,0.64,0.0,1,0.03,0.0,1,0.67,0.0,1,0.22,0.0,1,2.0,0.0,1
1_3,3.0,0.0,1,5.0,0.0,1,0.73,0.0,1,0.01,0.0,1,0.52,0.0,1,0.15,0.0,1,2.0,0.0,1
1_4,3.0,0.0,1,5.0,0.0,1,0.73,0.0,1,0.01,0.0,1,0.52,0.0,1,0.52,0.0,1,0.52,0.0,1
5_1,5.0,2.0,2,5.0,3.0,2,0.64,0.0,1,0.06,0.0,1,0.73,0.0,1,0.35,0.0,1,2.0,0.0,1
5_2,1.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.08,0.0,1,0.15,0.0,1,0.15,0.0,1,0.15,0.0,1
2_2,3.0,1.0,2,1.5,1.5,2,1.0,0.0,1,0.0,0.0,1,0.42,0.0,1,0.42,0.0,1,0.42,0.0,1
6_1,3.0,1.0,2,1.5,1.5,2,1.0,0.0,1,0.0,0.0,1,0.42,0.0,1,0.42,0.0,1,0.42,0.0,1
