,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
5216,6.32,2.31,19,6.11,2.51,19,0.81,,1,0.02,,1,0.83,,1
5203,6.62,2.9,24,6.75,2.59,24,0.76,,1,0.06,,1,1.0,,1
5211,6.52,2.4,21,5.9,2.07,21,0.43,,1,0.12,,1,0.71,,1
4320,6.79,2.11,24,6.0,2.09,24,0.53,,1,0.04,,1,0.67,,1
5506,5.96,1.77,23,6.52,2.31,23,0.81,,1,0.01,,1,0.77,,1
4324,6.22,2.53,18,7.39,1.58,18,0.82,,1,0.02,,1,0.91,,1
5503,6.5,1.91,24,6.17,1.88,24,0.44,,1,0.13,,1,0.77,,1
7068,7.0,1.73,3,6.33,2.08,3,0.6,,1,0.08,,1,0.79,,1
5470,6.22,2.37,23,6.3,2.36,23,0.57,,1,0.06,,1,0.56,,1
4691,2.7,1.33,23,4.3,2.05,23,0.3,,1,0.03,,1,0.45,,1
5246,5.46,2.47,26,3.5,1.75,26,0.55,,1,0.01,,1,0.62,,1
6379,5.87,1.55,15,6.13,1.88,15,0.44,,1,0.16,,1,0.71,,1
5213,5.67,2.15,21,6.95,2.2,21,0.28,,1,0.07,,1,0.53,,1
20055,2.25,1.89,4,3.25,2.22,4,1.0,,1,0.0,,1,0.44,,1
6400,3.6,2.07,5,3.8,2.17,5,0.5,,1,0.08,,1,0.62,,1
6332,5.6,3.36,5,5.2,2.77,5,0.46,,1,0.05,,1,0.48,,1
6998,6.5,3.54,2,5.0,0.0,2,0.91,,1,0.0,,1,0.61,,1
22102,5.5,3.11,4,5.5,3.42,4,0.78,,1,0.01,,1,0.77,,1
6616,5.83,3.06,6,5.33,2.88,6,0.8,,1,0.0,,1,0.48,,1
3508,7.0,0.0,2,6.5,0.71,2,0.85,,1,0.01,,1,0.77,,1
10609,6.75,2.05,8,6.25,1.91,8,0.46,,1,0.14,,1,0.67,,1
11094,4.0,2.19,6,3.67,2.42,6,0.52,,1,0.04,,1,0.67,,1
