,inD,inD,inD,outD,outD,outD,clust,clust,clust,betw,betw,betw,clos,clos,clos,eigenv,eigenv,eigenv,ecce,ecce,ecce
,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,5.86,1.46,7,6.86,1.46,7,0.63,0.0,1,0.04,0.0,1,0.71,0.0,1,0.31,0.0,1,3.0,0.0,1
0_2,3.0,1.0,2,4.5,1.5,2,0.39,0.0,1,0.1,0.0,1,0.43,0.0,1,0.06,0.0,1,2.0,0.0,1
1_2,5.67,0.94,3,4.67,1.25,3,0.72,0.0,1,0.02,0.0,1,0.65,0.0,1,0.24,0.0,1,2.0,0.0,1
1_0,6.52,2.34,21,5.9,2.02,21,0.43,0.0,1,0.12,0.0,1,0.71,0.0,1,0.38,0.0,1,2.0,0.0,1
2_0,6.93,2.24,15,6.07,2.24,15,0.33,0.0,1,0.06,0.0,1,0.53,0.0,1,0.23,0.0,1,5.0,0.0,1
3_0,6.9,2.02,10,6.1,2.07,10,0.74,0.0,1,0.04,0.0,1,0.83,0.0,1,0.32,0.0,1,2.0,0.0,1
4_0,4.22,1.87,9,5.22,2.62,9,0.54,0.0,1,0.15,0.0,1,0.71,0.0,1,0.26,0.0,1,2.0,0.0,1
5_0,3.5,1.12,4,3.25,0.83,4,0.38,0.0,1,0.11,0.0,1,0.59,0.0,1,0.3,0.0,1,2.0,0.0,1
6_0,2.5,0.5,2,2.5,0.5,2,0.25,0.0,1,0.09,0.0,1,0.53,0.0,1,0.29,0.0,1,3.0,0.0,1
7_0,2.5,0.5,2,2.5,0.5,2,0.25,0.0,1,0.09,0.0,1,0.53,0.0,1,0.53,0.0,1,0.53,0.0,1
8_0,2.5,0.5,2,2.5,0.5,2,0.25,0.0,1,0.09,0.0,1,0.53,0.0,1,0.53,0.0,1,0.53,0.0,1
1_1,3.78,1.81,9,4.44,2.36,9,0.61,0.0,1,0.01,0.0,1,0.53,0.0,1,0.2,0.0,1,2.0,0.0,1
2_1,5.89,1.66,9,5.89,1.37,9,0.73,0.0,1,0.02,0.0,1,0.67,0.0,1,0.34,0.0,1,3.0,0.0,1
3_1,4.0,2.16,3,5.33,1.7,3,0.83,0.0,1,0.0,0.0,1,0.45,0.0,1,0.06,0.0,1,2.0,0.0,1
4_1,4.0,2.16,3,5.33,1.7,3,0.83,0.0,1,0.0,0.0,1,0.45,0.0,1,0.06,0.0,1,2.0,0.0,1
0_3,4.0,2.16,3,5.33,1.7,3,0.83,0.0,1,0.0,0.0,1,0.45,0.0,1,0.06,0.0,1,2.0,0.0,1
1_3,4.0,2.16,3,5.33,1.7,3,0.83,0.0,1,0.0,0.0,1,0.45,0.0,1,0.06,0.0,1,2.0,0.0,1
1_4,4.0,2.16,3,5.33,1.7,3,0.83,0.0,1,0.0,0.0,1,0.45,0.0,1,0.45,0.0,1,0.45,0.0,1
5_1,2.0,0.0,1,3.0,0.0,1,0.06,0.0,1,0.33,0.0,1,0.32,0.0,1,0.06,0.0,1,2.0,0.0,1
5_2,0.0,0.0,1,1.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2_2,2.0,0.0,1,3.0,0.0,1,0.33,0.0,1,0.27,0.0,1,0.36,0.0,1,0.36,0.0,1,0.36,0.0,1
6_1,1.0,0.0,1,2.0,0.0,1,0.0,0.0,1,0.03,0.0,1,0.21,0.0,1,0.21,0.0,1,0.21,0.0,1
