,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
4324,6.82,2.27,11,6.18,1.6,11,0.78,,1,0.02,,1,0.91,,1,0.37,,1,2.0,,1
5470,6.43,2.5,14,6.64,2.21,14,0.0,,1,0.08,,1,0.37,,1,0.17,,1,5.0,,1
5503,6.29,2.09,14,6.5,2.47,14,0.2,,1,0.18,,1,0.5,,1,0.44,,1,6.0,,1
5211,6.79,2.33,14,6.0,2.39,14,0.33,,1,0.06,,1,0.53,,1,0.23,,1,5.0,,1
7068,4.0,4.24,2,4.0,4.24,2,0.79,,1,0.03,,1,0.77,,1,0.28,,1,2.0,,1
5216,6.83,1.95,12,6.92,2.23,12,0.49,,1,0.09,,1,0.71,,1,0.41,,1,2.0,,1
4320,5.47,2.13,15,5.27,2.09,15,0.39,,1,0.13,,1,0.5,,1,0.39,,1,4.0,,1
5506,6.0,2.88,14,6.0,2.51,14,0.64,,1,0.05,,1,0.59,,1,0.19,,1,2.0,,1
5203,6.27,2.02,15,7.47,1.68,15,0.66,,1,0.05,,1,0.77,,1,0.3,,1,2.0,,1
5246,6.5,1.41,16,4.38,1.45,16,0.21,,1,0.19,,1,0.62,,1,0.43,,1,5.0,,1
4691,2.0,1.3,14,3.36,1.74,14,0.0,,1,0.11,,1,0.29,,1,0.05,,1,4.0,,1
5213,5.87,2.0,15,6.6,2.23,15,0.0,,1,0.21,,1,0.34,,1,0.12,,1,4.0,,1
6379,4.89,2.42,9,4.56,1.67,9,0.33,,1,0.3,,1,0.45,,1,0.33,,1,3.0,,1
20055,2.67,1.53,3,4.33,3.06,3,0.84,,1,0.01,,1,0.62,,1,0.17,,1,2.0,,1
6400,4.5,1.91,4,4.25,2.36,4,0.17,,1,0.02,,1,0.4,,1,0.21,,1,6.0,,1
11094,5.8,1.1,5,6.0,2.12,5,0.21,,1,0.45,,1,0.67,,1,0.47,,1,4.0,,1
22102,7.0,0.0,2,7.5,0.71,2,0.72,,1,0.03,,1,0.77,,1,0.28,,1,2.0,,1
6332,3.0,2.83,2,3.5,2.12,2,0.33,,1,0.04,,1,0.24,,1,0.02,,1,4.0,,1
6616,4.0,2.19,6,3.67,1.75,6,1.0,,1,0.0,,1,0.53,,1,0.18,,1,3.0,,1
10609,3.0,2.12,5,3.0,2.12,5,0.58,,1,0.03,,1,0.59,,1,0.22,,1,2.0,,1
3508,4.0,,1,2.0,,1,0.93,,1,0.0,,1,0.62,,1,0.23,,1,3.0,,1
