,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
0_1,0.47,0.22,21,0.43,0.19,21,3.54,1.56,13.0
1_0,0.49,0.17,16,0.44,0.16,16,3.21,0.7,14.0
1_1,0.51,0.22,17,0.46,0.18,17,3.0,0.6,12.0
2_1,0.47,0.29,6,0.44,0.24,6,2.75,0.5,4.0
1_2,0.4,0.21,13,0.35,0.13,13,3.5,1.73,4.0
1_3,0.49,0.29,4,0.48,0.25,4,2.5,0.71,2.0
2_3,0.3,0.26,3,0.34,0.1,3,,,
0_2,0.46,0.3,9,0.44,0.22,9,3.14,1.07,7.0
2_0,0.48,0.23,7,0.42,0.19,7,3.0,0.82,4.0
3_1,0.35,0.18,3,0.37,0.16,3,3.0,0.0,2.0
3_0,0.35,0.25,4,0.32,0.04,4,4.0,0.0,2.0
2_2,0.43,0.2,7,0.35,0.15,7,3.2,0.45,5.0
1_4,0.07,0.1,2,0.22,0.05,2,,,
1_5,0.24,0.01,2,0.26,0.01,2,4.5,0.71,2.0
2_5,0.51,0.14,2,0.5,0.12,2,2.5,0.71,2.0
0_3,0.64,0.05,2,0.61,0.09,2,2.5,0.71,2.0
2_8,0.67,,1,0.41,,1,4.0,,1.0
2_9,0.64,,1,0.4,,1,,,
2_10,0.56,,1,0.49,,1,3.0,,1.0
2_4,0.63,,1,0.51,,1,3.0,,1.0
2_6,0.27,,1,0.29,,1,5.0,,1.0
2_7,0.73,,1,0.57,,1,3.0,,1.0
