,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
11542,0.0,,1,1.0,,1,0.0,,1,0.0,,1,0.0,,1
6852,1.0,,1,1.0,,1,0.0,,1,0.33,,1,0.33,,1
11543,1.0,,1,1.0,,1,0.0,,1,0.33,,1,0.44,,1
9246,1.0,,1,0.0,,1,0.0,,1,0.0,,1,0.5,,1
6914,1.0,,1,3.0,,1,0.08,,1,0.31,,1,0.43,,1
7900,1.0,,1,1.0,,1,0.5,,1,0.01,,1,0.32,,1
26848,6.0,,1,3.0,,1,0.09,,1,0.54,,1,0.67,,1
6743,1.0,,1,2.0,,1,0.0,,1,0.11,,1,0.33,,1
18404,1.0,,1,1.0,,1,0.0,,1,0.04,,1,0.27,,1
24138,1.0,,1,3.0,,1,0.5,,1,0.01,,1,0.37,,1
11539,3.0,,1,2.0,,1,0.25,,1,0.22,,1,0.56,,1
24255,0.0,,1,2.0,,1,0.0,,1,0.0,,1,0.0,,1
26690,3.0,,1,1.0,,1,0.0,,1,0.12,,1,0.48,,1
27144,0.0,,1,1.0,,1,0.0,,1,0.0,,1,0.0,,1
24782,3.0,,1,1.0,,1,0.08,,1,0.06,,1,0.56,,1
