,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count,Mean,Std,Count
26685,3.0,1.41,2,1.0,0.0,2,0.39,,1,0.02,,1,0.58,,1,0.12,,1.0,4.0,,1.0
26222,2.0,0.0,2,3.5,0.71,2,0.13,,1,0.12,,1,0.2,,1,0.19,,1.0,3.0,,1.0
26848,4.0,2.0,3,4.0,2.65,3,0.3,,1,0.17,,1,0.5,,1,0.2,,1.0,3.0,,1.0
24138,3.0,0.0,2,3.5,0.71,2,0.32,,1,0.11,,1,0.54,,1,0.31,,1.0,3.0,,1.0
4711,3.5,0.71,2,3.5,0.71,2,0.5,,1,0.05,,1,0.54,,1,0.26,,1.0,3.0,,1.0
23761,5.0,,1,4.0,,1,0.53,,1,0.06,,1,0.67,,1,0.4,,1.0,2.0,,1.0
6713,4.0,3.0,3,3.67,3.51,3,0.32,,1,0.4,,1,0.7,,1,0.47,,1.0,3.0,,1.0
6852,2.67,1.53,3,2.67,1.53,3,0.0,,1,0.5,,1,0.5,,1,0.23,,1.0,3.0,,1.0
11298,2.33,0.58,3,2.33,1.53,3,1.0,,1,0.0,,1,0.44,,1,0.33,,1.0,4.0,,1.0
24255,1.5,2.12,2,2.5,0.71,2,0.5,,1,0.0,,1,0.0,,1,0.22,,1.0,3.0,,1.0
6914,2.0,1.41,2,2.5,0.71,2,0.17,,1,0.02,,1,0.1,,1,0.28,,1.0,3.0,,1.0
7900,2.0,2.83,2,1.5,0.71,2,0.0,,1,0.0,,1,0.0,,1,,,,,,
10727,2.0,,1,2.0,,1,0.42,,1,0.14,,1,0.5,,1,0.2,,1.0,3.0,,1.0
11542,1.0,0.0,2,0.5,0.71,2,0.0,,1,0.0,,1,0.67,,1,0.07,,1.0,4.0,,1.0
11539,2.0,,1,2.0,,1,0.8,,1,0.05,,1,0.54,,1,0.37,,1.0,4.0,,1.0
27144,4.0,,1,4.0,,1,0.33,,1,0.35,,1,0.64,,1,0.55,,1.0,3.0,,1.0
26607,2.0,,1,3.0,,1,0.62,,1,0.17,,1,0.54,,1,0.37,,1.0,2.0,,1.0
